strategy_id,economic_quantity_dislocated,current_payoff_object,correct_payoff_object_candidate,mismatch_type,gen2_hypothesis_family
ALPHA1_S001,BASIS,DIRECTIONAL_PERP,SPOT_PERP_BASIS,WRONG_CARRIER,FAM_A_GEN2
ALPHA1_S002,BASIS,SPOT_PERP_BASIS,SPOT_PERP_BASIS,CORRECT_CARRIER_BUT_CONCENTRATED,FAM_A_GEN2
ALPHA1_S003,BASIS_TRANSITION,DIRECTIONAL_PERP,SPOT_PERP_BASIS,WRONG_CARRIER,FAM_A_GEN2
ALPHA1_S004,BASIS_PLUS_FUNDING,DIRECTIONAL_PERP,FUNDING_CARRY_OR_STAND_DOWN,WRONG_CARRIER,FAM_B_GEN2
ALPHA1_S005,BASIS_PLUS_CROWDING,DIRECTIONAL_PERP,STAND_DOWN_FILTER,NO_TRADEABLE_QUANTITY,FAM_G_GEN2
ALPHA1_S006,BASIS_PLUS_FUNDING_ACCEL,DIRECTIONAL_PERP,STAND_DOWN_FILTER,NO_TRADEABLE_QUANTITY,FAM_G_GEN2
ALPHA1_S007,BASIS_PLUS_VOL,DIRECTIONAL_PERP,SPOT_PERP_BASIS,WRONG_CARRIER,FAM_C_GEN2
ALPHA1_S008,BASIS_PLUS_VOL,SPOT_PERP_BASIS,STAND_DOWN_FILTER,NO_TRADEABLE_QUANTITY,FAM_G_GEN2
ALPHA1_S009,ETH_RELATIVE_STATE,DIRECTIONAL_PERP,STAND_DOWN_FILTER,NO_TRADEABLE_QUANTITY,FAM_G_GEN2
ALPHA1_S010,ETH_SPECIFIC,DIRECTIONAL_PERP,STAND_DOWN_FILTER,NO_TRADEABLE_QUANTITY,FAM_G_GEN2
ALPHA1_S011,EXTREME_FUNDING,DIRECTIONAL_PERP,FUNDING_CARRY,WRONG_CARRIER,FAM_B_GEN2
ALPHA1_S012,EXTREME_FUNDING,SPOT_PERP_BASIS,FUNDING_CARRY,WRONG_CARRIER,FAM_B_GEN2
ALPHA1_S013,NORMAL_BASIS,DIRECTIONAL_PERP,STAND_DOWN_FILTER,CONTROL_BASELINE,N/A
