state_id,horizon_hours,n_state,effect_size_smd,observed_diff_abs_basis,decay_fraction_mean,max_expansion_mean,time_to_exit_median_hours,observed_diff_abs_funding,path_interpretation,basis_mean_reverts,persistence_or_reversion,resolution_before_price
BTC_B4_EXTREME_NEGATIVE,4,337,-0.941,-1.695,0.218,0.409,1.0,0,STRONG_NEGATIVE_STATE_WITH_STRONG_DIRECTION,NO,MEAN_REVERSION_WITH_LAG,BASIS_LAGS_PRICE
BTC_B4_EXTREME_NEGATIVE,24,337,-1.136,-2.187,0.284,0.909,1.0,2,STATE_STRENGTHENS_OVER_24H,NO,MEAN_REVERSION_SLOW,PRICE_MOVES_FIRST
BTC_B3_ELEVATED_NEGATIVE,4,510,-0.492,-0.816,0.13,0.631,1.0,0,MODERATE_STATE,NO,MEAN_REVERSION_WITH_LAG,BASIS_LAGS_PRICE
BTC_B3_ELEVATED_NEGATIVE,24,510,-0.364,-0.889,0.141,1.679,1.0,0,STATE_PERSISTS_BUT_EXPANDS,NO,PERSISTENCE_WITH_EXPANSION,PRICE_RESOLVES_BEFORE_BASIS
BTC_B0_NORMAL,4,2550,0.205,0.387,-0.284,1.522,6.0,0,NORMAL_STATE_MODEST_DRIFT,YES,MEAN_REVERSION,NA
BTC_B0_NORMAL,24,2531,0.229,0.47,-0.407,2.96,6.0,0,NORMAL_STATE_DRIFTS_POSITIVE,YES,MEAN_REVERSION,NA
BTC_F_NEG_ELEVATED,4,1932,-0.037,-0.073,-0.066,1.232,5.0,8,WEAK_FUNDING_STATE,NA,WEAK_SIGNAL,NA
BTC_F_NEG_ELEVATED,24,1926,-0.135,-0.271,-0.045,2.329,5.0,8,FUNDING_STATE_STRENGTHENS_OVER_24H,NA,PERSISTENCE,NA
BTC_F_NEG_EXTREME,4,336,-0.192,-0.349,0.018,1.127,2.5,0,MODERATE_FUNDING_STATE,NA,WEAK_PERSISTENCE,NA
BTC_F_NEG_EXTREME,24,336,-0.423,-0.86,0.102,1.917,2.5,0,FUNDING_STATE_STRENGTHENS,NA,PERSISTENCE,NA
BTC_V_EXTREME,4,283,-0.052,-0.107,-0.217,1.583,13.0,0,WEAK_VOL_STATE,NA,MEAN_REVERSION,NA
BTC_V_EXTREME,24,283,-0.209,-0.498,-0.21,2.918,13.0,0,VOL_STATE_DRIFTS_NEGATIVE,NA,MEAN_REVERSION,NA
BTC_B4_F_NEG_ELEVATED,4,186,-1.06,-1.817,NA,NA,NA,NA,STRONG_COMPOSITE_STATE,NO,STRONGEST_COMPOSITE,PRICE_AND_BASIS_MOVE_TOGETHER
BTC_B4_F_NEG_ELEVATED,24,186,-1.187,-2.212,NA,NA,NA,NA,COMPOSITE_STRENGTHENS_OVER_24H,NO,STRONG_PERSISTENCE,PRICE_MOVES_WITH_BASIS
BTC_B0_F_NEG_EXTREME,4,109,0.385,0.632,NA,NA,NA,NA,PARADOX_FUNDING_NEGATIVE_BUT_BASIS_NORMAL_PRICE_GOES_UP,NA,CONTRADICTS_DIRECTION,PRICE_MOVES_OPPOSITE_TO_FUNDING
BTC_B0_F_NEG_EXTREME,24,109,0.121,0.232,NA,NA,NA,NA,EFFECT_DECAYS_STRONGLY_OVER_24H,NA,MEAN_REVERSION,NA
ETH_B4_EXTREME_NEGATIVE,4,337,-0.731,-1.877,0.226,0.485,1.0,2,STRONG_STATE_SIMILAR_TO_BTC,NO,MEAN_REVERSION_WITH_LAG,BASIS_LAGS_PRICE
ETH_B4_EXTREME_NEGATIVE,24,337,-0.915,-2.412,0.3,1.083,1.0,2,STATE_STRENGTHENS,NO,MEAN_REVERSION_SLOW,PRICE_MOVES_FIRST
ETH_ETH_LED,4,627,-0.263,-0.684,0.013,1.171,2.0,0,ETH_LEAD_STATE_NEGATIVE,NA,PERSISTENCE,NA
ETH_ETH_LED,24,627,-0.333,-0.923,0.056,2.265,2.0,0,ETH_LEAD_STATE_STRENGTHENS,NA,PERSISTENCE,NA
