strategy_id,state_selection,direction,entry,execution_delay,payoff_object,exit_resolution,holding_period,cost,funding,concentration,control_relative_value
ALPHA1_S001,WEAK,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,WEAK,1h_median,DESTROYS_EDGE,NEGLIGIBLE,N/A,N/A
ALPHA1_S002,SUPPORTED,N/A,N/A,N/A,SPOT_PERP_BASIS,SUPPORTED,9h_median,DESTROYS_EDGE,CONTRIBUTES_0.26,F6_F7_SOURCES,C001_BEATEN
ALPHA1_S003,SUPPORTED,N/A,N/A,N/A,DIRECTIONAL_PERP,WEAK,1h_median,DESTROYS_EDGE,CONTRIBUTES_0.35,F6_F7_SOURCES,C001_BEATEN
ALPHA1_S004,WEAK,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,WEAK,2h_median,DESTROYS_EDGE,CONTRIBUTES_0.05,N/A,N/A
ALPHA1_S005,NOT_SUPPORTED,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,NOT_SUPPORTED,3h_median,NOT_PRIMARY_DESTROYER,N/A,F6_F7_SOURCES,C002_BEATEN
ALPHA1_S006,NOT_SUPPORTED,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,NOT_SUPPORTED,4h_median,NOT_PRIMARY_DESTROYER,N/A,F7_SOURCE,C002_BEATEN
ALPHA1_S007,WEAK,N/A,N/A,N/A,DIRECTIONAL_PERP,WEAK,1h_median,DESTROYS_EDGE,CONTRIBUTES_0.12,F6_F7_SOURCES,C003_BEATEN
ALPHA1_S008,NOT_SUPPORTED,NOT_SUPPORTED,N/A,N/A,SPOT_PERP_BASIS,NOT_SUPPORTED,2h_median,DESTROYS_EDGE,NEGLIGIBLE,N/A,N/A
ALPHA1_S009,NOT_SUPPORTED,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,NOT_SUPPORTED,1h_median,DESTROYS_EDGE,NEGLIGIBLE,N/A,C004_BEATEN
ALPHA1_S010,WEAK,NOT_SUPPORTED,N/A,N/A,DIRECTIONAL_PERP,WEAK,1h_median,DESTROYS_EDGE,NEGLIGIBLE,N/A,C004_BEATEN
ALPHA1_S011,SUPPORTED,WEAK,N/A,N/A,DIRECTIONAL_PERP,WEAK,1h_median,DESTROYS_EDGE,CONTRIBUTES_0.26,F6_F7_SOURCES,C005_BEATEN
ALPHA1_S012,SUPPORTED,WEAK,N/A,N/A,SPOT_PERP_BASIS,WEAK,1h_median,DESTROYS_EDGE,CONTRIBUTES_0.03,F6_F7_SOURCES,C005_BEATEN
ALPHA1_S013,SUPPORTED,WEAK,N/A,N/A,DIRECTIONAL_PERP,WEAK,3h_median,DESTROYS_EDGE,NEGATIVE,N/A,N/A
