hypothesis_id,family,source_failure,mechanism,economic_quantity,state,expected_resolution,candidate_payoff_object,directionality,required_data,execution_requirements,falsification_test,expected_frequency,known_risks,why_not_gen1_rehash,data_prerequisite,status
H001,FAM_A_GEN2,FAM_A_DIRECTIONAL_FAILS,basis_mean_reversion,BASIS,B4_EXTREME_NEGATIVE,basis_normalizes_to_B0,SPOT_PERP_BASIS,NEUTRAL_BASIS_CAPTURE,perp_price+spot_price+funding,perp+spot_execution+funding_accounting,net_PF_le_1_after_50_events,monthly_events取决于basis_extreme_frequency,costs_may_still_dominate,S002AlreadyShowedRVEncapsulatesThisButWasConcentrated,EXISTING_DATA,SUPPORTED_FOR_PREREGISTRATION
H002,FAM_A_GEN2,FAM_A_CONCENTRATION,basis_transition_filter,BASIS_TRANSITION,B3_TO_B4_TRANSITION,price_moves_during_transition,DIRECTIONAL_PERP,SHORT_ON_TRANSITION,perp_price+spot_price+basis,standard_perp_entry,net_PF_le_1_after_50_events,transition_events_are_rare,state_may_expand_further_instead_of_resolving,S003GrossWasPositiveButConcentrated,EXISTING_DATA,SUPPORTED_FOR_PREREGISTRATION
H003,FAM_B_GEN2,FAM_A_FUNDING_NOT_HELPING,funding_carry_directly,FUNDING,F_NEG_EXTREME,funding_stays_negative_carry_accumulates,FUNDING_CARRY,LONG_FUNDING_CARRY,perp_funding_rate,perp_position_to_earn_funding,net_PF_le_1_after_50_events,extreme_funding_events_are_sparse,funding_can_flip_suddenly,C005ShowedPositiveEdgeButGen1DidNotTryThisPayoff,EXISTING_DATA,REQUIRES_DATA
H004,FAM_B_GEN2,FAM_A_ADDING_BASIS_KILLS_FUNDING_EDGE,basis_funding_orthogonality,BASIS_PLUS_FUNDING,B4_F_NEG_ELEVATED,both_resolve_but_basis_adds_cost,STAND_DOWN_FILTER,NO_TRADE,composite_state,stand_down_when_state_detected,return_exceeds_C005_within_50_events,counterfactual_only,failing_to_trade_may_miss_real_edge_if_state_adds_value,TheParadoxThatC005BeatsS011S012NeedsResolution,EXISTING_DATA,REQUIRES_DATA
H005,FAM_C_GEN2,FAM_C_VOL_NOT_HELPING,remove_vol_from_composite,BASIS,F4_EXTREME_NEGATIVE,remove_vol_filter_to_increase_frequency,DIRECTIONAL_PERP,SHORT_ON_B4,perp_price+spot_price,standard_perp_entry,net_PF_le_1_after_50_events,B4_events_are_rare_anyway,S001AlreadyTestedThisAndFailed,S001GrossWasNegative_ThisIsEffectivelyGen1Retry,EXISTING_DATA,REJECTED_AT_ANATOMY
H006,FAM_D_GEN2,FAM_D_ETH_LEAD_IS_NEGATIVE,eth_lead_as_standalone_signal,ETH_LEAD_STATE,ETH_LED,eth_leading_predicts_price_down,DIRECTIONAL_PERP,SHORT_ETH,perp_price,standard_perp_entry,net_PF_le_1_after_50_events,eth_lead_events_are_sparse,directional_expression_may_still_not_work,S009S010BothFailedThisNeedsNewExpression,EXISTING_DATA,REQUIRES_DATA
H007,FAM_G_GEN2,FAM_G_STAND_DOWN_NEEDED,state_as_filter,NO_TRADEABLE_QUANTITY,any_negative_or_neutral_state,capital_preservation,STAND_DOWN_FILTER,NO_TRADE,state_definitions,algorithmic_state_monitoring,portfolio_with_stand_down_beats_without_in_50_events,stand_down_may_miss_real_edges_if_state_adds_value,Gen1AllFailedSoStandDownIsBaselineHypothesis,TheNullHypothesisForGen2,EXISTING_DATA,SUPPORTED_FOR_PREREGISTRATION
H008,FAM_B_GEN2,FAM_B_COMPOSITE_STATE_STRONGEST,composite_state_directional,COMPOSITE_BASIS_FUNDING,B4_F_NEG_ELEVATED,strongest_state_with_SMD_-1.06,DIRECTIONAL_PERP,SHORT_ON_B4_F_NEG,perp_price+spot_price+funding,standard_perp_entry,net_PF_le_1_after_50_events,composite_events_are_very_rare,S004TestedThisButWith_WrongDirectionAndTiming,ClosestToGen1ButNeedsCorrectDirection,EXISTING_DATA,REQUIRES_DATA
H009,FAM_E_GEN2,FAM_E_RATE_EXPRESSION,funding_rate_as_payoff,FUNDING_RATE,F_NEG_EXTREME,rate_dislocation_across_venues,CROSS_VENUE_PERP_SPREAD,SHORT_FUNDING_VENUE_A_LONG_VENUE_B,funding_rates_across_venues,multi_venue_execution+funding_accounting,net_PF_le_1_after_50_events,cross_venue_execution_is_complex,C005PositiveEdgeSuggestsFundingIsInformation,BorosYUCouldBeNaturalCarrier,REQUIRES_FUNDING_DATA,REQUIRES_DATA
H010,FAM_D_GEN2,FAM_D_ETH_LEAD_NEGATIVE,eth_specific_state_as_signal,ETH_SPECIFIC,ETH_SPECIFIC,eth_specificity_predicts_direction,DIRECTIONAL_PERP,SHORT_ETH_ON_ETH_SPECIFIC,perp_price,standard_perp_entry,net_PF_le_1_after_50_events,eth_specific_events_are_sparse,S010GrossWasPositiveButTiny,NeedToTestShortExpression,EXISTING_DATA,REQUIRES_DATA
