hypothesis_id,data_prerequisite,checkpoint_needed,data_status,can_proceed_with_existing,data_gap_description
H001,EXISTING_DATA,NONE,AVAILABLE,YES,btc_eth_perp_spot_funding_data_frozen_in_ALPHA_2R1
H002,EXISTING_DATA,NONE,AVAILABLE,YES,same_data_as_H001_with_transition_detection
H003,EXISTING_DATA,NONE,AVAILABLE,YES,perp_funding_rate_already_available_from_hyperliquid
H004,EXISTING_DATA,NONE,AVAILABLE,YES,stand_down_analysis_can_use_existing_data
H005,EXISTING_DATA,NONE,AVAILABLE,YES,but_S001AlreadyTestedThis_direction
H006,EXISTING_DATA,NONE,AVAILABLE,YES,eth_lead_state_data_in_MECH_2
H007,EXISTING_DATA,NONE,AVAILABLE,YES,stand_down_can_be_tested_retrospectively
H008,EXISTING_DATA,NONE,AVAILABLE,YES,composite_state_data_in_MECH_2
H009,REQUIRES_FUNDING_DATA,CRYPTO-RATES-DATA-0,NOT_AVAILABLE,NO,cross_venue_funding_rates_need_Boros_and_multi_venue_data
H010,EXISTING_DATA,NONE,AVAILABLE,YES,eth_specific_state_data_in_MECH_2
