hypothesis_id,mechanism_support,data_availability,sample_feasibility,execution_simplicity,cost_plausibility,independence_from_gen1,falsifiability,priority_score,priority_rank,recommended_order
H007,SUPPORTED,AVAILABLE,EXCELLENT,SIMPLE,N/A,INDEPENDENT,HIGH,95,1,1
H001,SUPPORTED,AVAILABLE,HIGH,MODERATE,MODERATE,INDEPENDENT,HIGH,85,2,2
H002,SUPPORTED,AVAILABLE,MODERATE,MODERATE,MODERATE,INDEPENDENT,HIGH,78,3,3
H003,WEAK,AVAILABLE,LOW,COMPLEX,LOW,INDEPENDENT,HIGH,65,4,4
H004,WEAK,AVAILABLE,MODERATE,SIMPLE,N/A,INDEPENDENT,MODERATE,60,5,5
H008,WEAK,AVAILABLE,LOW,MODERATE,MODERATE,PARTIAL_REHASH,MODERATE,55,6,6
H010,WEAK,AVAILABLE,LOW,MODERATE,MODERATE,INDEPENDENT,HIGH,50,7,7
H006,WEAK,AVAILABLE,LOW,MODERATE,MODERATE,INDEPENDENT,HIGH,50,8,8
H009,WEAK,NOT_AVAILABLE,N/A,COMPLEX,N/A,INDEPENDENT,HIGH,40,9,9
H005,NOT_SUPPORTED,AVAILABLE,MODERATE,MODERATE,MODERATE,GEN1_REHASH,MODERATE,20,10,10
