id,status,evidence
SEC_A_RANK,SUPPORTED,125 events
SEC_A_PERSIST,SUPPORTED,Escape-by-age
SEC_A_CASCADE,SUPPORTED,CONC_VIA_BROAD_RISK
SEC_B_ROUTING,SUPPORTED,State-conditioned
SEC_C_SECTOR,SUPPORTED,Routing graph
SEC_C_LEADER,SUPPORTED,Separable gates
SEC_D_BREADTH,SUPPORTED,breadth30 strongest
SEC_E_STABLE,PARTIAL,chain_tvl only
SEC_F_CHAIN,PARTIAL,Activation NOT established
SEC_G_PERSIST,SUPPORTED,"52 reentry, 44 mixed"
SEC_H_LEDGER,SUPPORTED,"126 entries, 125 exits"
SEC_I_DEP,SUPPORTED,Perm p corrected
SEC_J_MULTITEST,SUPPORTED,BH-FDR
SEC_K_SUBPERIOD,SUPPORTED,By subperiod
SEC_L_VALUE,SUPPORTED,R2 0.076->0.195
SEC_M_REGISTRY,SUPPORTED,8 nodes
SEC_N_NO_PNL,SUPPORTED,
SEC_O_NO_STRAT,SUPPORTED,
ADD_A_P1,SUPPORTED,"{'GLOBAL_BREADTH_DISPERSION': 464, 'RANK_BAND_REPRICING': 289, 'TRUE_STALL': 29, 'OFFSETTING_LOCAL_ROTATION': 15}"
ADD_B_TEMPORAL,SUPPORTED,All TAU w censoring
ADD_C_LATTICE,SUPPORTED,TEMPORAL_LATTICE_EARNED
ADD_D_FIRSTMOVE,SUPPORTED,Bootstrap + alt def
ADD_E_ACCUM,SUPPORTED,MERGE_ABSORBED_BY_BREADTH
ADD_F_SECONDORDER,SUPPORTED,Latency + dwell
ADD_G_TERM,SUPPORTED,EARLY_DECAY_SIGNAL
ADD_H_BIF,SUPPORTED,6/15 planes
ADD_I_VOL,SUPPORTED,Functional role
CL_42,SUPPORTED,Touch/dwell
CL_43,SUPPORTED,Chain/global/boot/LOCO
CL_44,SUPPORTED,G3 purged AUC=0.625
CL_45,SUPPORTED,All perm p corrected
CL_46,SUPPORTED,8 nodes
CL_47,SUPPORTED,
CL_48,SUPPORTED,
IR_TAU,SUPPORTED,perturb=124 exit=103
IR_G3,SUPPORTED,SUPPORTED_WITH_LIMITATIONS
