node,type,status,note
CONTINUOUS RELATIONAL-STATE PANEL,OBJECT,EARNED,"LF9 02; PIT-safe daily carry-forward, coverage-flagged"
RELATIONAL STATE (LF8),OBJECT,CONFIRMED_CONTINUOUS,LF9 03; persistence survives exact-calendar sampling
TOPOLOGY vs ROLE,LENS,EARNED,LF9 04; verdict=STATE_DEPENDENT
SHOCK -> TURNOVER -> STATE-CHANGE TIMING,LENS,EARNED,"LF9 05; T0->T1->T2->T3 lags + bootstrap CIs, L2"
ABS x SIGMA DISTURBANCE GRID,LENS,EARNED,LF9 06; absolute dominates sigma
VOLUME AS REORGANIZATION COORDINATE,LENS,EARNED,LF9 07; independent coordinate or shock carrier per audit
GLOBAL FIELD OVERLAY (relational),OVERLAY,EARNED,LF9 08/09/10; MECH-15 6-cell + 8-cell reference; not in core matrix
RELATIONAL TRANSITION LATTICE,MAP,EARNED,LF9 12; descriptive COMMON/LOCAL/RARE/NEAR_ZERO
REJOIN/CONTAGION/DECOUPLING CLOCKS,MAP,EARNED,LF9 13; competing outcomes post-disturbance
EARLY_CONTAGION,SUBTYPE,SURVIVES_PURGED_FDR,"LF9 14; n=81, fdr_q=0.0"
PERSISTENT_DECOUPLING,SUBTYPE,SURVIVES_PURGED_FDR,"LF9 15; n=70, fdr_q=0.0"
FALSE-LONER LOW-VOL ARTIFACT,QC,CONFIRMED,LF9 16; artifact dominates false loners on continuous panel
TRUE-LONER SPECIES,ONTOLOGY,MIXED_OTHER_DOMINANT_NO_FORCED_SPLIT,LF9 17; no forced category reduction
DIRECTIONAL RELATIONAL ASYMMETRY,ASYMMETRY,REPLICATED,LF9 18; see verdict CSV
PRD RELATIONAL HEALTH,SUBTYPE,PER_SUBTYPE,BETA_RESCUE=DISSOLVE;PEER_RESCUE=DISSOLVE;RELATIVE_DECAY=LOCAL;DELAYED_REHAB=DISSOLVE;TEMPORARY_SPLIT=PROMOTE
RELATIONAL STATE AS PREDICTOR,NULL,FROZEN,LF9 23; RELATIONAL_STATE_NOT_INCREMENTAL_PREDICTOR; description != prediction (24)
LOCAL TRANSFER FUNCTION,LENS,DRIFT_AUDITED,LF9 25; stability verdict per transfer
GLOBAL -> PATCH -> SHOCK -> RELATIONAL -> HEALTH,HIERARCHY,TESTED,LF9 26; see 26b verdict
