node,type,status,note
4-STATE BREADTH x DISPERSION,GLOBAL_STATE,EARNED,HH/HL/LH/LL with age + clocks
STATE_AGE / SURVIVAL QUALITY,COORDINATE,EARNED,birth+selection + mass migration
INITIATION GEOMETRY,LOCAL,EVALUATED,birth coords -> initiation (WS3/4)
CONSTRAINT-ENTROPY,COORDINATE,EARNED,age + spatial/temporal axes (WS5/6/8)
WATERFALL SUBTYPES,SEQUENCE,EVALUATED,threshold/subtype matrix (WS9/10)
PATCH RESPONSE,LOCAL,EARNED,response curves + heterogeneity (11/12)
METASTABILITY,LOCAL,RECHECKED,confirm-or-kill (WS13)
SHOCK MATERIALITY,DISTURBANCE,EVALUATED,abs x sigma geometry (14/15)
DIRECTIONAL ASYMMETRY,ASYMMETRY,EARNED,upside field-selective (16/17)
PRICE_RECOVERY_RANK_DECAY,HEALTH,EARNED,beta-rescue (MECH-10/11)
EARLY_SNAPBACK / BREADTH_FADE,MOTIF,EARNED,failure geometries (MECH-5/6)
TRUE vs FALSE LONER,PEER,EARNED,LF5/6 distinct geometry
SHMC / SHHM,MICROSTATE,LOCAL_NODE,opposite 2x2 corners
