node,operation,evidence,status
LIFECYCLE_DEEP_MAP,PROMOTE,WS1 state-specific lifecycle profiles,49 cell x stage rows
STATE_MASS_MIGRATION,PROMOTE,WS2 per cell x age law,4 cell laws
INITIATION_GEOMETRY,PROMOTE,WS3 birth coordinates,17 significant birth coordinates
INITIATION_PRIMITIVE_AUDIT,PROMOTE,WS4 necessity/sufficiency,0 NEC / 5 SUFF / 4 COND coords
ENTROPY_DEEP_MAP,PROMOTE,WS5,41 entropy groups
ENTROPY_PRIMITIVE_AUDIT,PROMOTE,WS6 entropy-collapse driver,GLOBAL_ENTROPY_COORDINATE
ENTROPY_PROPAGATION,DESCRIPTIVE,WS7 patch entropy propagation,WEAK_LOCAL_COLLAPSE
SPATIAL_TEMPORAL_CONSTRAINT_MATRIX,PROMOTE,WS8 2x2,INDEPENDENT_CONSTRAINT_DIMENSIONS
WATERFALL_SUBTYPE_MATRIX,PROMOTE,WS9 subtypes,1 named subtypes
ACTIVATION_THRESHOLD_SURFACES,PROMOTE,WS10,19 monotonic patch surfaces
PATCH_RESPONSE_CURVES,PROMOTE,WS11,140 patch x pert x amp rows
RESPONSE_CURVE_HETEROGENEITY,DESCRIPTIVE,WS12,HOMOGENEOUS_TRANSFER_FUNCTION
METASTABILITY_RECHECK,DISSOLVE,WS13 confirm-or-kill,0 metastable cells (shake-out)
ABSOLUTE_SIGMA_SHOCK,PROMOTE,WS14,15 shock cells
SHOCK_MATERIALITY,PROMOTE,WS15,MATERIALITY_PRIMITIVE
DIRECTIONAL_ASYMMETRY_ATLAS,PROMOTE,WS16 full map,ASYMMETRIC_FIELD_GEOMETRY
UPSIDE_GEOMETRY,PROMOTE,WS17 up,FIELD_SELECTIVE_UPSIDE
DOWNSIDE_GEOMETRY,DESCRIPTIVE,WS17 down,GLOBAL_FIELD_NEUTRAL
DIRECTIONAL_INFORMATION_GAIN,DESCRIPTIVE,WS18,DIRECTION_LOCALLY_CONSTRAINED
LOCAL_CONVERSION_PATHS,PROMOTE,WS19,LOCAL_CONVERSION_PATHS
