provider_id,sensor_family,role,promoted,implemented,adapter_id,adapter_version,framework_status,adapter_status,access_path,access_class,auth_mode,free_only_pass,history_scope,native_historical_mode,pagination_mode,resume_status,completion_status,pit_readiness,methodology_pin,evidence_refs,production_symbol_scope,redundancy_class,offline_conformance_pass,schema_pass,network_smoke_status,semantic_class,limitations
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,CURRENT_ONLY,True,True,DERIBIT,deribit-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,CURRENT_ONLY,,,n/a,n/a,PIT_READY_WITH_METHOD_VERSION,deribit-book_snapshot,deribit_book_snapshot_btc-perpetual_RECENT_CONTROL_book_snapshot,BTC-PERPETUAL,R2_TWO_INDEPENDENT,True,True,NOT_RUN,current-only raw book snapshot,none
DERIBIT,MECHANICAL_FUNDING,SECONDARY,True,True,DERIBIT,deribit-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-funding,deribit_funding_btc-perpetual_RECENT_CONTROL_1h|deribit_funding_btc-perpetual_2021_1h|deribit_funding_btc-perpetual_2022_1h|deribit_funding_btc-perpetual_2024_1h|deribit_funding_btc-perpetual_2026_1h,BTC-PERPETUAL,R3_THREE_PLUS_INDEPENDENT,True,True,NOT_RUN,provider-native funding records,no invented resume token
DERIBIT,MECHANICAL_LIQUIDATION,MECHANISM_MICROSCOPE,True,True,DERIBIT,deribit-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-trade-level-liquidation-anatomy,deribit_liquidation_btc-perpetual_RECENT_CONTROL_1h|deribit_liquidation_btc-perpetual_2022_1h,BTC-PERPETUAL,R3_THREE_PLUS_INDEPENDENT,True,True,NOT_RUN,trade-level mechanism microscope (forced-liquidation events),no invented resume token
DERIBIT,MECHANICAL_TRADE,MECHANISM_MICROSCOPE,True,True,DERIBIT,deribit-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-trade-level-liquidation-anatomy,deribit_trade_btc-perpetual_RECENT_CONTROL_raw_event|deribit_trade_btc-perpetual_2022_raw_event|deribit_trade_btc-perpetual_2021_raw_event|deribit_trade_btc-perpetual_2024_raw_event|deribit_trade_btc-perpetual_2026_raw_event,BTC-PERPETUAL,R3_THREE_PLUS_INDEPENDENT,True,True,NOT_RUN,trade-level mechanism microscope (native trade events),no invented resume token
GATE_FUTURES,MECHANICAL_FUNDING,SECONDARY,True,True,GATE_FUTURES,gate-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-funding,gate_futures_funding_btc_usdt_RECENT_CONTROL_1h|gate_futures_funding_btc_usdt_2026_1h,BTC_USDT,R3_THREE_PLUS_INDEPENDENT,True,True,NOT_RUN,provider-native funding records,no invented resume token
GATE_FUTURES,MECHANICAL_LIQUIDATION,SECONDARY,True,True,GATE_FUTURES,gate-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-liquidation,gate_futures_liquidation_btc_usdt_RECENT_CONTROL_1h|gate_futures_liquidation_btc_usdt_2022_1h|gate_futures_liquidation_btc_usdt_2026_1h,BTC_USDT,R3_THREE_PLUS_INDEPENDENT,True,True,NOT_RUN,provider-native mechanical analytics/interval view,no invented resume token
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,SECONDARY,True,True,GATE_FUTURES,gate-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-open_interest,gate_futures_open_interest_btc_usdt_RECENT_CONTROL_1h|gate_futures_open_interest_btc_usdt_2022_1h|gate_futures_open_interest_btc_usdt_2026_1h,BTC_USDT,R2_TWO_INDEPENDENT,True,True,NOT_RUN,provider-native mechanical analytics/interval view,no invented resume token
GATE_FUTURES,MECHANICAL_POSITIONING,SECONDARY,True,True,GATE_FUTURES,gate-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate-contract-stats-public-lsr,gate_futures_positioning_btc_usdt_RECENT_CONTROL_1h|gate_futures_positioning_btc_usdt_2022_1h|gate_futures_positioning_btc_usdt_2026_1h,BTC_USDT,R2_TWO_INDEPENDENT,True,True,NOT_RUN,provider-native mechanical analytics/interval view,no invented resume token
KRAKEN_FUTURES,MECHANICAL_BASIS,PRIMARY,True,True,KRAKEN_FUTURES,kraken-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-basis,kraken_futures_basis_pi_xbtusd_RECENT_CONTROL_1h|kraken_futures_basis_pi_xbtusd_2022_1h|kraken_futures_basis_pi_xbtusd_2021_1h|kraken_futures_basis_pi_xbtusd_2024_1h|kraken_futures_basis_pi_xbtusd_2026_1h,PI_XBTUSD,R1_SINGLE_INDEPENDENT,True,True,NOT_RUN,provider-native mechanical analytics/interval view,none
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,PRIMARY,True,True,KRAKEN_FUTURES,kraken-adapter-v1,COMMON_FRAMEWORK_READY,ADAPTER_READY,PUBLIC_REST,FREE_AUTOMATED,NO_AUTH,True,HISTORICAL,REST_RANGE,TIME_RANGE,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-book_metric,kraken_futures_book_metric_pi_xbtusd_RECENT_CONTROL_1h|kraken_futures_book_metric_pi_xbtusd_2021_1h|kraken_futures_book_metric_pi_xbtusd_2022_1h|kraken_futures_book_metric_pi_xbtusd_2024_1h|kraken_futures_book_metric_pi_xbtusd_2026_1h,PI_XBTUSD,R1_SINGLE_INDEPENDENT,True,True,NOT_RUN,provider-native mechanical analytics/interval view,none
