provider_id,sensor_family,role,adapter_id,adapter_version,production_symbol_scope,access_class,auth_mode,history_scope,resume_status,completion_status,pit_readiness,methodology_pin,offline_conformance_pass,schema_pass,network_validation_status,semantic_class,limitations,source_i09_record,runtime_overlay_ref,live_evidence_refs
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,CURRENT_ONLY,DERIBIT,deribit-adapter-v1,BTC-PERPETUAL,FREE_AUTOMATED,NO_AUTH,CURRENT_ONLY,n/a,n/a,PIT_READY_WITH_METHOD_VERSION,deribit-book_snapshot,True,True,PASS,current-only raw book snapshot,current-only raw snapshot; no historical coverage claimed,PRODUCTION_ADAPTER_MATRIX.csv:DERIBIT/MECHANICAL_BOOK_SNAPSHOT,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:DERIBIT/MECHANICAL_BOOK_SNAPSHOT,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
DERIBIT,MECHANICAL_FUNDING,SECONDARY,DERIBIT,deribit-adapter-v1,BTC-PERPETUAL,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-funding,True,True,PASS,provider-native funding records,funding continuation LIMITED (I08R1); trade/liq completion from source coverage; liquidation = trade-level microscope (never aggregated numerically with Gate/Kraken totals),PRODUCTION_ADAPTER_MATRIX.csv:DERIBIT/MECHANICAL_FUNDING,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:DERIBIT/MECHANICAL_FUNDING,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
DERIBIT,MECHANICAL_LIQUIDATION,MECHANISM_MICROSCOPE,DERIBIT,deribit-adapter-v1,BTC-PERPETUAL,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-trade-level-liquidation-anatomy,True,True,PASS,trade-level mechanism microscope (forced-liquidation events),funding continuation LIMITED (I08R1); trade/liq completion from source coverage; liquidation = trade-level microscope (never aggregated numerically with Gate/Kraken totals),PRODUCTION_ADAPTER_MATRIX.csv:DERIBIT/MECHANICAL_LIQUIDATION,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:DERIBIT/MECHANICAL_LIQUIDATION,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
DERIBIT,MECHANICAL_TRADE,MECHANISM_MICROSCOPE,DERIBIT,deribit-adapter-v1,BTC-PERPETUAL,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,deribit-trade-level-liquidation-anatomy,True,True,PASS,trade-level mechanism microscope (native trade events),funding continuation LIMITED (I08R1); trade/liq completion from source coverage; liquidation = trade-level microscope (never aggregated numerically with Gate/Kraken totals),PRODUCTION_ADAPTER_MATRIX.csv:DERIBIT/MECHANICAL_TRADE,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:DERIBIT/MECHANICAL_TRADE,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
GATE_FUTURES,MECHANICAL_FUNDING,SECONDARY,GATE_FUTURES,gate-adapter-v2,BTC_USDT,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-funding,True,True,PASS,provider-native funding records,LIMITED/LIMITED (frozen I09); contract_stats deep traversal UNRESOLVED; ~180-day rolling retention,PRODUCTION_ADAPTER_MATRIX.csv:GATE_FUTURES/MECHANICAL_FUNDING,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:GATE_FUTURES/MECHANICAL_FUNDING,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json|BLOC_03_I10R2_TARGETED_RECHECK_RESULTS.json
GATE_FUTURES,MECHANICAL_LIQUIDATION,SECONDARY,GATE_FUTURES,gate-adapter-v2,BTC_USDT,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-liquidation,True,True,PASS,provider-native mechanical analytics/interval view,LIMITED/LIMITED (frozen I09); contract_stats deep traversal UNRESOLVED; ~180-day rolling retention,PRODUCTION_ADAPTER_MATRIX.csv:GATE_FUTURES/MECHANICAL_LIQUIDATION,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:GATE_FUTURES/MECHANICAL_LIQUIDATION,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json|BLOC_03_I10R1_TARGETED_RECHECK_RESULTS.json|BLOC_03_I10R2_TARGETED_RECHECK_RESULTS.json
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,SECONDARY,GATE_FUTURES,gate-adapter-v2,BTC_USDT,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate_futures-open_interest,True,True,PASS,provider-native mechanical analytics/interval view,LIMITED/LIMITED (frozen I09); contract_stats deep traversal UNRESOLVED; ~180-day rolling retention,PRODUCTION_ADAPTER_MATRIX.csv:GATE_FUTURES/MECHANICAL_OPEN_INTEREST,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:GATE_FUTURES/MECHANICAL_OPEN_INTEREST,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json|BLOC_03_I10R1_TARGETED_RECHECK_RESULTS.json|BLOC_03_I10R2_TARGETED_RECHECK_RESULTS.json
GATE_FUTURES,MECHANICAL_POSITIONING,SECONDARY,GATE_FUTURES,gate-adapter-v2,BTC_USDT,FREE_AUTOMATED,NO_AUTH,HISTORICAL,LIMITED,LIMITED,PIT_READY_WITH_METHOD_VERSION,gate-contract-stats-public-lsr,True,True,PASS,provider-native mechanical analytics/interval view,LIMITED/LIMITED (frozen I09); contract_stats deep traversal UNRESOLVED; ~180-day rolling retention,PRODUCTION_ADAPTER_MATRIX.csv:GATE_FUTURES/MECHANICAL_POSITIONING,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:GATE_FUTURES/MECHANICAL_POSITIONING,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json|BLOC_03_I10R1_TARGETED_RECHECK_RESULTS.json|BLOC_03_I10R2_TARGETED_RECHECK_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_BASIS,PRIMARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-basis,True,True,PASS,provider-native mechanical analytics/interval view,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_BASIS,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_BASIS,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,PRIMARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-book_metric,True,True,PASS,provider-native mechanical analytics/interval view,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_BOOK_METRIC,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_BOOK_METRIC,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_FUNDING,SECONDARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-funding,True,True,PASS,provider-native funding records,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_FUNDING,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_FUNDING,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json|BLOC_03_I10R1_TARGETED_RECHECK_RESULTS.json|BLOC_03_I10R2_TARGETED_RECHECK_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_LIQUIDATION,PRIMARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken-market-analytics-liquidation-volume,True,True,PASS,provider-native mechanical analytics/interval view,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_LIQUIDATION,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_LIQUIDATION,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,PRIMARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_ETHUSD|PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-open_interest,True,True,PASS,provider-native mechanical analytics/interval view,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_OPEN_INTEREST,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_OPEN_INTEREST,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
KRAKEN_FUTURES,MECHANICAL_POSITIONING,PRIMARY,KRAKEN_FUTURES,kraken-adapter-v2,PI_XBTUSD,FREE_AUTOMATED,NO_AUTH,HISTORICAL,YES,YES,PIT_READY_WITH_METHOD_VERSION,kraken_futures-positioning,True,True,PASS,provider-native mechanical analytics/interval view,ragged historical boundaries per I14; bucket semantics not proven,PRODUCTION_ADAPTER_MATRIX.csv:KRAKEN_FUTURES/MECHANICAL_POSITIONING,BLOC_03_CURRENT_RUNTIME_ADAPTER_OVERLAY.json:KRAKEN_FUTURES/MECHANICAL_POSITIONING,BLOC_03_I10_NETWORK_SMOKE_RESULTS.json
