concept,status
STATIC RISK FRONTIER,VALIDATED
OVERLAP MATTERS (worst-day under real overlap > sequential),VALIDATED
EDGE DEGRADATION (frontier collapses below ~50% edge),VALIDATED
B FAMILY CAPITAL LIMITING (higher solo DD at every tested f),VALIDATED DESCRIPTIVE STATIC RESULT
WINNER/LOSER MAE SEPARATION (winners stay above ~-0.57R),VALIDATED DESCRIPTIVE
RECOVERY COLLAPSE AT -1R (0% historical recovery),VALIDATED DESCRIPTIVE OBSERVATION
"LATE PROFIT DELIVERY (~70% of final PnL by hour 3, winners peak hour 5)",VALIDATED DESCRIPTIVE
-1R HARD STOP,HYPOTHESIS_ONLY
HOUR-5 EARLY EXIT / PROFIT LOCK,HYPOTHESIS_ONLY
+1R BREAKEVEN/PARTIAL LOCK,HYPOTHESIS_ONLY
FAILURE-SPEED INVALIDATION (FAST reveal),HYPOTHESIS_ONLY
TIME+MAE INVALIDATION,HYPOTHESIS_ONLY
TRAILING STOP,NOT TESTED
DD-ADAPTIVE SIZING,NOT TESTED
CLUSTER/EPISODE SIZING,NOT TESTED
FAMILY-SPECIFIC ALLOCATION,NOT TESTED
KELLY / FRACTIONAL KELLY,NOT TESTED
COMPOUNDING-FAMILY LOGIC,NOT TESTED
HEAT CAPS / PORTFOLIO LIMITS,NOT TESTED
HYBRID RISK ENGINE,NOT TESTED
CEREBUS OVERLAY (Phase 8 negative result),REJECTED (no material improvement)
