node,operation,evidence,status
STATE_AGE_MECHANISM,CLASSIFY,BIRTH_AND_SELECTION,BIRTH_AND_SELECTION
LOCAL_ROUTE_GATES,LOCAL_NODE,stable gates: ['top500_dispersion_30d'],STABLE_GATE
PERMISSION_REALIZATION,KEEP,order not outcome-relevant,DESCRIPTIVE
PRICE_UP_RANK_DOWN_MECHANISM,NEW_NODE,6/14 coords separate PRD from PRU (FDR),PRIORITY_EARNED
STALL_AND_ROT,NEW_NODE,stall+rank-decay coherent phenotype,LOCAL_NODE
STRESS_RESPONSE_SEQUENCES,NEW_NODE,4 sequences >= 50 obs,LOCAL_HEALTH_PATHS
TRANSITION_VELOCITY,PARK,PARK_TRANSITION_VELOCITY,PARK_TRANSITION_VELOCITY
HH_BIRTH_QUALITY,PARK,DESCRIPTIVE_ROLE,DESCRIPTIVE_ROLE
VOLATILITY_INTENSITY,KEEP,intensity role by HH age mapped,LOCAL_ROLE_INTENSITY
SHMC_SHHM_LOCAL_PLACEMENT,LOCAL_NODE,locality depth by age/health produced,LOCAL_ROLE
