basket_id,leg,symbol,side,requested_lots,rounded_lots,order_ticket,status
R6T010200,L1,GBPAUD.PRO,LONG,0.012914086363289138,0.01,0,filled
R6T010200,L2,GBPNZD.PRO,SHORT,0.012067995660202904,0.01,0,filled
R6T010200,L3,AUDNZD.PRO,LONG,0.023055565659322198,0.02,0,filled
R6T020200,L1,GBPAUD.PRO,LONG,0.012914221714045467,0.01,0,filled
R6T020200,L2,GBPNZD.PRO,SHORT,0.012067995660202904,0.01,0,filled
R6T020200,L3,AUDNZD.PRO,LONG,0.023055565659322198,0.02,0,filled
R6T030201,L1,GBPAUD.PRO,LONG,0.012914221714045467,0.01,0,filled
R6T030201,L2,GBPNZD.PRO,SHORT,0.012067995660202904,0.01,0,filled
R6T030201,L3,AUDNZD.PRO,LONG,0.023055565659322198,0.02,0,filled
R6T040202,L1,GBPAUD.PRO,LONG,0.012914221714045467,0.01,0,filled
R6T040202,L2,GBPNZD.PRO,SHORT,0.012067995660202904,0.01,0,filled
R6T040202,L3,AUDNZD.PRO,LONG,0.023055565659322198,0.02,0,filled
R6T050202,L1,GBPAUD.PRO,LONG,0.012914221714045467,0.01,0,filled
R6T050202,L2,GBPNZD.PRO,SHORT,0.012067995660202904,0.01,0,filled
R6T050202,L3,AUDNZD.PRO,LONG,0.023055565659322198,0.02,0,filled
