source_id,kind,path,head,provides,truth_class,usable_as_cr_truth,reason
ERF-SYMBOLINFO,EXECUTION_RUNTIME_FOUNDATION,quant-lab/execution_runtime/types.py (SymbolInfo),62e6d0402a780d171a8b81c2070567045e341be7,"broker-neutral contract SHAPE: symbol, digits, point, contract_size, volume_min/max/step, trade_mode, trade_tick_size/value",UNKNOWN,no,shape only; values populated only at RUNTIME from a live MT5 session; no committed observation snapshot exists
ERF-MT5-SESSION,EXECUTION_RUNTIME_FOUNDATION,quant-lab/execution_runtime/brokers/mt5.py,62e6d0402a780d171a8b81c2070567045e341be7,future ACTUAL_OBSERVED source: live symbol_info / account reads via BrokerSession,UNKNOWN,no,no committed values; would require a real bound account session (Execution Runtime owns the client)
ERF-FAKE_MT5,EXECUTION_RUNTIME_FOUNDATION,quant-lab/execution_runtime/brokers/fake_mt5.py,62e6d0402a780d171a8b81c2070567045e341be7,test fixture symbol info,HYPOTHETICAL_DIAGNOSTIC,no,FakeMT5 values are NOT truth (explicit boundary)
ERF-SIM_BROKER,EXECUTION_RUNTIME_FOUNDATION,quant-lab/execution_runtime/brokers/sim_broker.py,62e6d0402a780d171a8b81c2070567045e341be7,"hardcoded contract_size=100000, volume_min=0.01, volume_step=0.01, volume_max=100",HYPOTHETICAL_DIAGNOSTIC,no,generic FX convention hardcoded in a simulator; NOT observed or documented truth
CR-MT5-SCHEDULE,CAPITAL_ROUTING_ARTIFACT,artifacts/audits/mt5_session_schedule_by_symbol.csv,aaf3e0548ec9bff85b38b7f8a853a7becffce4c3,USDJPY MT5 price-data availability / session schedule 2022-2026 (evidence that MT5 data exists),UNKNOWN,no,session/data evidence only; contains NO contract size or volume rules
TB-LOT-CONSTRAINTS,TB_FORWARD_ENGINE,artifacts/triangular_basis/research/TB_P5_BROKER_LOT_CONSTRAINTS.csv,b48fd35255b41865026a3cba333ae2a2a0d6a004,TB-A/TB-B lot-residual research at notional sizes,UNKNOWN,no,TB strategy/account research for a DIFFERENT book; TB fixtures are NOT CR USDJPY account truth
TB-EXEC-CONTRACT,TB_FORWARD_ENGINE,"artifacts/triangular_basis/live/execution/execution_contract.json, broker_fill_semantics.json, account_mode.json",b48fd35255b41865026a3cba333ae2a2a0d6a004,TB execution / fill / account-mode contracts,UNKNOWN,no,TB engineering reference only; not importable as CR account truth
USER-PROP-25K,USER_SPECIFIED,D1.2 brief,,"equity 25,000 USD; leverage 1:50 / 1:100 / 1:500",USER_SPECIFIED_SCENARIO,scenario_only,user operating assumptions; no instrument fields supplied
USER-OX,USER_SPECIFIED,D1.2 brief,,"high-leverage small balance scenario, up to 1:1000; equity unresolved",USER_SPECIFIED_SCENARIO,scenario_only,user operating assumption; equity + instrument fields unresolved
UNKNOWN,UNKNOWN,,,all unresolved quantity fields,UNKNOWN,no,no actual/documented evidence exists in the repository
