field,truth_class,source,blocking_for_d1_2b
actual_broker,UNKNOWN,UNKNOWN,yes
actual_account,UNKNOWN,UNKNOWN,yes
actual_broker_symbol,UNKNOWN,UNKNOWN,yes
product_type,UNKNOWN,UNKNOWN,yes
contract_size,UNKNOWN,UNKNOWN,yes
volume_min,UNKNOWN,UNKNOWN,yes
volume_step,UNKNOWN,UNKNOWN,yes
volume_max,UNKNOWN,UNKNOWN,yes
volume_limit,UNKNOWN,UNKNOWN,yes
account_currency,UNKNOWN,UNKNOWN,yes
margin_currency,UNKNOWN,UNKNOWN,yes
base_currency_contract,UNKNOWN,UNKNOWN,yes
quote_currency_contract,UNKNOWN,UNKNOWN,yes
trade_calc_mode,UNKNOWN,UNKNOWN,yes
hedging_netting,UNKNOWN,UNKNOWN,yes
trade_tick_size,UNKNOWN,UNKNOWN,yes
trade_tick_value,UNKNOWN,UNKNOWN,yes
point,UNKNOWN,UNKNOWN,yes
digits,UNKNOWN,UNKNOWN,yes
quantity_conversion_rule,UNKNOWN,UNKNOWN,yes
causal_conversion_source,UNKNOWN,UNKNOWN,yes
