provider_id,sensor_family,evidence_level,verified_history,access_mode,PIT_readiness,final_provider_role,promotion_eligible,promotion_scope,limitations,remaining_hazards,evidence_ids
BINANCE_USDM,MECHANICAL_BOOK_SNAPSHOT,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,BOOK_SNAPSHOT for BINANCE_USDM,,GEO_BLOCKED from operator region (no bypass attempted),binance_usdm_book_snapshot_btcusdt_RECENT_CONTROL_book_snapshot
BINANCE_USDM,MECHANICAL_FUNDING,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,FUNDING for BINANCE_USDM,,GEO_BLOCKED from operator region (no bypass attempted),binance_usdm_funding_btcusdt_RECENT_CONTROL_1h
BINANCE_USDM,MECHANICAL_OPEN_INTEREST,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-06-15Z,PUBLIC_REST,NOT_PIT_READY,ARCHIVE_ONLY,FALSE,OPEN_INTEREST for BINANCE_USDM,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence),SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | REST geo/auth-blocked from operator region; public archive independently reachable (REST_BLOCKED != ARCHIVE_BLOCKED),binance_usdm_open_interest_btcusdt_RECENT_CONTROL_1h | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15
BINANCE_USDM,MECHANICAL_TRADE,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-06-15Z,PUBLIC_REST,NOT_PIT_READY,ARCHIVE_ONLY,FALSE,TRADE for BINANCE_USDM,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence),SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | REST geo/auth-blocked from operator region; public archive independently reachable (REST_BLOCKED != ARCHIVE_BLOCKED),binance_usdm_trade_btcusdt_RECENT_CONTROL_raw_event | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15
BITFINEX_COMMUNITY_ARCHIVE,MECHANICAL_LIQUIDATION,E2_LIVE_RECENT_VERIFIED,2026-08-23T14:55:12.370177Z..2026-08-23T14:55:12.370177Z,COMMUNITY_ARCHIVE,NOT_PIT_READY,CORROBORATOR,FALSE,LIQUIDATION for BITFINEX_COMMUNITY_ARCHIVE,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence),SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | community archive corroboration; SOURCE_AVAILABILITY_VERIFIED only - row timestamps/schema not inspected; never first-party venue truth,bitfinex_community_archive_repo_characterization
BYBIT_LINEAR,MECHANICAL_BOOK_SNAPSHOT,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,BOOK_SNAPSHOT for BYBIT_LINEAR,,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_book_snapshot_btcusdt_RECENT_CONTROL_book_snapshot
BYBIT_LINEAR,MECHANICAL_FUNDING,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,FUNDING for BYBIT_LINEAR,,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_funding_btcusdt_RECENT_CONTROL_1h
BYBIT_LINEAR,MECHANICAL_OPEN_INTEREST,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,OPEN_INTEREST for BYBIT_LINEAR,,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_open_interest_btcusdt_RECENT_CONTROL_1h
BYBIT_LINEAR,MECHANICAL_TRADE,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,EXCLUDED,FALSE,TRADE for BYBIT_LINEAR,,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_trade_btcusdt_RECENT_CONTROL_raw_event
COINALYZE,MECHANICAL_FUNDING,E0_CLAIM_ONLY,current-only,FREE_API_KEY,NOT_PIT_READY,CORROBORATOR,FALSE,FUNDING for COINALYZE,CREDENTIAL_NOT_CONFIGURED (no local free key),"CREDENTIAL_NOT_CONFIGURED (no local free key) | THIRD_PARTY aggregator; free API key not configured locally (CREDENTIAL_NOT_CONFIGURED) - a local run prerequisite, never AUTH_BLOCKED / provider failure",coinalyze_funding_btcusdt_perp.binance_RECENT_CONTROL_crednote
COINALYZE,MECHANICAL_LIQUIDATION,E0_CLAIM_ONLY,current-only,FREE_API_KEY,NOT_PIT_READY,CORROBORATOR,FALSE,LIQUIDATION for COINALYZE,CREDENTIAL_NOT_CONFIGURED (no local free key),"CREDENTIAL_NOT_CONFIGURED (no local free key) | THIRD_PARTY aggregator; free API key not configured locally (CREDENTIAL_NOT_CONFIGURED) - a local run prerequisite, never AUTH_BLOCKED / provider failure",coinalyze_liquidation_btcusdt_perp.binance_RECENT_CONTROL_crednote
COINALYZE,MECHANICAL_OPEN_INTEREST,E0_CLAIM_ONLY,current-only,FREE_API_KEY,NOT_PIT_READY,CORROBORATOR,FALSE,OPEN_INTEREST for COINALYZE,CREDENTIAL_NOT_CONFIGURED (no local free key),"CREDENTIAL_NOT_CONFIGURED (no local free key) | THIRD_PARTY aggregator; free API key not configured locally (CREDENTIAL_NOT_CONFIGURED) - a local run prerequisite, never AUTH_BLOCKED / provider failure",coinalyze_open_interest_btcusdt_perp.binance_RECENT_CONTROL_crednote
