provider_id,sensor_family,final_role,reason,evidence_ids
BINANCE_USDM,MECHANICAL_BOOK_SNAPSHOT,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),binance_usdm_book_snapshot_btcusdt_RECENT_CONTROL_book_snapshot
BINANCE_USDM,MECHANICAL_FUNDING,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),binance_usdm_funding_btcusdt_RECENT_CONTROL_1h
BINANCE_USDM,MECHANICAL_OPEN_INTEREST,ARCHIVE_ONLY,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | REST geo/auth-blocked from operator region; public archive independently reachable (REST_BLOCKED != ARCHIVE_BLOCKED),binance_usdm_open_interest_btcusdt_RECENT_CONTROL_1h | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15 | binance_usdm_archive_metrics_btcusdt_2021-06-15 | binance_usdm_archive_metrics_btcusdt_2022-06-15 | binance_usdm_archive_metrics_btcusdt_2024-06-15 | binance_usdm_archive_metrics_btcusdt_2026-06-15
BINANCE_USDM,MECHANICAL_TRADE,ARCHIVE_ONLY,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | REST geo/auth-blocked from operator region; public archive independently reachable (REST_BLOCKED != ARCHIVE_BLOCKED),binance_usdm_trade_btcusdt_RECENT_CONTROL_raw_event | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15 | binance_usdm_archive_aggTrades_btcusdt_2021-06-15 | binance_usdm_archive_aggTrades_btcusdt_2022-06-15 | binance_usdm_archive_aggTrades_btcusdt_2024-06-15 | binance_usdm_archive_aggTrades_btcusdt_2026-06-15
BITFINEX_COMMUNITY_ARCHIVE,MECHANICAL_LIQUIDATION,CORROBORATOR,SOURCE_AVAILABILITY_VERIFIED only — row timestamps/schema not inspected (metadata/existence evidence) | community archive corroboration; SOURCE_AVAILABILITY_VERIFIED only - row timestamps/schema not inspected; never first-party venue truth,bitfinex_community_archive_repo_characterization
BYBIT_LINEAR,MECHANICAL_BOOK_SNAPSHOT,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_book_snapshot_btcusdt_RECENT_CONTROL_book_snapshot
BYBIT_LINEAR,MECHANICAL_FUNDING,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_funding_btcusdt_RECENT_CONTROL_1h
BYBIT_LINEAR,MECHANICAL_OPEN_INTEREST,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_open_interest_btcusdt_RECENT_CONTROL_1h
BYBIT_LINEAR,MECHANICAL_TRADE,EXCLUDED,GEO_BLOCKED from operator region (no bypass attempted),bybit_linear_trade_btcusdt_RECENT_CONTROL_raw_event
COINALYZE,MECHANICAL_FUNDING,CORROBORATOR,"CREDENTIAL_NOT_CONFIGURED (no local free key) | THIRD_PARTY aggregator; free API key not configured locally (CREDENTIAL_NOT_CONFIGURED) - a local run prerequisite, never AUTH_BLOCKED / provider failure",coinalyze_funding_btcusdt_perp.binance_RECENT_CONTROL_crednote
