provider_id,sensor_family,effective_timestamp_understood,observation_timestamp_understood,publication_delay_understood,forward_info_required,PIT_readiness,methodology_required,blocking_reason
BINANCE_USDM,MECHANICAL_BOOK_SNAPSHOT,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BINANCE_USDM,MECHANICAL_FUNDING,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BINANCE_USDM,MECHANICAL_OPEN_INTEREST,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BINANCE_USDM,MECHANICAL_TRADE,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BITFINEX_COMMUNITY_ARCHIVE,MECHANICAL_LIQUIDATION,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BYBIT_LINEAR,MECHANICAL_BOOK_SNAPSHOT,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BYBIT_LINEAR,MECHANICAL_FUNDING,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BYBIT_LINEAR,MECHANICAL_OPEN_INTEREST,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
BYBIT_LINEAR,MECHANICAL_TRADE,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
COINALYZE,MECHANICAL_FUNDING,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
COINALYZE,MECHANICAL_LIQUIDATION,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
COINALYZE,MECHANICAL_OPEN_INTEREST,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
COINALYZE,MECHANICAL_POSITIONING,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
DERIBIT,MECHANICAL_FUNDING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
DERIBIT,MECHANICAL_LIQUIDATION,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
DERIBIT,MECHANICAL_TRADE,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
GATE_FUTURES,MECHANICAL_BOOK_SNAPSHOT,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
GATE_FUTURES,MECHANICAL_FUNDING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
GATE_FUTURES,MECHANICAL_LIQUIDATION,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
GATE_FUTURES,MECHANICAL_POSITIONING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
GATE_FUTURES,MECHANICAL_TRADE,UNKNOWN,UNKNOWN,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
KRAKEN_FUTURES,MECHANICAL_BASIS,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_BOOK_SNAPSHOT,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
KRAKEN_FUTURES,MECHANICAL_FUNDING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_LIQUIDATION,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_POSITIONING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
KRAKEN_FUTURES,MECHANICAL_TRADE,NO,NO,UNKNOWN,NO,NOT_PIT_READY,NO,effective timestamp meaning unresolved (PIT requires it)
OKX_SWAP,MECHANICAL_BOOK_SNAPSHOT,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
OKX_SWAP,MECHANICAL_FUNDING,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
OKX_SWAP,MECHANICAL_TRADE,YES,YES,UNKNOWN,NO,PIT_READY_WITH_METHOD_VERSION,YES,
