node,operation,evidence,status
MECH13_REPAIR,REPAIR,WS1/WS11 ledger + waterfall revalidation,CORRECTED
STATE_AGE_INTERACTION,PROMOTE,WS2 STATE x AGE x STATE*AGE,STATE_AGE_INTERACTION
LIFECYCLE_PHASE,LOCAL_NODE,WS3 phase vs raw age,AGE_SUFFICIENT
AGE_RESIDUALIZED_ENTROPY,PROMOTE,WS4 per-day branch entropy aged-out,ENTROPY_INDEPENDENT_COORDINATE
BRANCH_CLOSURE,LOCAL_NODE,WS5 entropy floor shape,BRANCH_CLOSURE_MAPPED
SURVIVAL_CONDITIONED_BRANCHES,LOCAL_NODE,WS6 what becomes rare after t,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
INITIATION_EQUIFINALITY,PROMOTE,WS7 multiple viable configs,EQUIFINAL_MULTI_CONFIG
INITIATION_ARCHETYPES,PROMOTE,WS8 named archetypes,3 named archetypes
INITIATION_SUBSTITUTION,PROMOTE,WS9 substitution graph,REDUNDANT_SENSOR_CLUSTER
HIDDEN_STATE,PROMOTE,WS10 latent factor check,MULTIPLE_LOCAL_COORDINATES
WATERFALL_VALIDATION,PROMOTE,WS11 corrected subtypes,1 named subtypes (repaired)
COMMON_FORCING_MODEL,PROMOTE,WS12 common forcing + thresholds,COMMON_FORCING_WITH_THRESHOLDS
FIELD_FORCING_COORDINATE,PROMOTE,WS13 compact forcing,COMPACT_FORCING_COORDINATE
SATURATION_GEOMETRY,LOCAL_NODE,WS14 onset/ceiling,SATURATION_GEOMETRY_MAPPED
SPATIAL_TEMPORAL_RECHECK,PROMOTE,WS15 axes after age-residualization,INDEPENDENT_CONSTRAINT_DIMENSIONS
DIRECTIONAL_DEEP_MAP,PROMOTE,WS16 direction at each resolution,DIRECTION_DECOMPOSED
UPSIDE_PERMISSION,LOCAL_NODE,WS17 broad-up necessity,PERMISSION_MULTI_COORDINATE
DOWNSIDE_LOCALIZATION,LOCAL_NODE,WS18 local downside species,LOCAL_DOWNSIDE_GEOMETRY
DIRECTIONAL_BRANCH_ENTROPY,PROMOTE,WS19 sign as accumulated constraint,DIRECTION_CONSTRAINED_MOSTLY_AT_STATE + AGE + ENTROPY + BREADTH
DISTURBANCE_ABSORPTION_RESIDUAL,PILOT,WS20 3-stage framing,DAR_FRAMING_COMPARABLE_TO_SHOCK_ALONE
RESIDUAL_DISTURBANCE,LOCAL_NODE,WS21 unresolved ratio,RESIDUAL_PERSISTS
POTENTIAL_REALIZATION,KEEP_LOCAL,WS22 paths = birth x field?,DISTINCT_LOCAL_PATHS
