artifact,claimed,bar,recomputed,subperiods,not_cyclic,status,note
04_INITIATION_GEOMETRY,17 significant birth coords (q<=0.10),>=1 sig coord per listed cell,17 sig coords across 28 comparisons,aggregate-field (not event-based),no outcome atom in coord set,PASS,17/28 survive FDR (M13 summary). Inverted into initiation equifinality in M14 WS7.
05_INITIATION_PRIMITIVE_AUDIT,"{'REDUNDANT': 12, 'SUBSTITUTABLE': 7, 'SUFFICIENT_LOCAL': 5, 'CONDITIONAL': 4}",classify NEC/SUFF/COND/SUBST/REDUNDANT with leave-one-out,0 NEC / 4 COND / 5 SUFF,full-field panel,y=fwd7 success state; coords are contemporaneous field,PASS,Multi-coordinate; no single necessary primitive. Basis for M14 equifinality search.
06_ENTROPY_DEEP_MAP,HH entropy 1.15->0.31 bits,"entropy must be bits, monotone with age",mature/young ratio=0.27,aggregate across 5 subperiods,entropy is next-cell branch entropy,PASS,Collapse reproduced. M14 WS4 tests whether entropy is redundant with age.
09_SPATIAL_TEMPORAL_CONSTRAINT_MATRIX,INDEPENDENT_CONSTRAINT_DIMENSIONS,axis |rho|<0.3 and 4 cells populated,axis rho=-0.019,5-6 subperiods per cell,"spatial=patch activation, temporal=entropy",PASS-with-caveat,BUT temporal axis split was bimodal-entropy (ent>0). M14 WS15 age-residualizes entropy and re-tests independence.
10_WATERFALL_SUBTYPE_MATRIX,ORDERLY_SHALLOW_TO_DEEP NAMED (n_subperiods=0),>=50 obs AND >=3 subperiods to name,"n_subperiods recomputed from source = 5 (2020-21:63,22:35,23:38,24:39,25-26:65)",5/5 (none >50%),subtype from activation depth order; no outcome atom,"REPAIR (statistical-reporting bug, promotion valid)",M13 ws9 line 108 hardcoded n_subperiods=0 (placeholder). Source recompute = 5 -> NAMED remains defensible. M14 WS11 revalidates with leave-one-cycle-out.
11_ACTIVATION_THRESHOLD_SURFACES,19 monotonic patch surfaces,monotonic binning + FDR q<=0.10,19/35 surfaces monotonic,aggregate,activation is outcome; intensity is input,PASS,Supports common-forcing + patch thresholds (M14 WS12/13).
12/13_PATCH_RESPONSE + HETEROGENEITY,SATURATING-dominant 124/140; HOMOGENEOUS_TRANSFER_FUNCTION,>=50 per claimed subtype,124 SATURATING / 8 RISING / 4 THRESHOLD,aggregate,response vs perturbation amplitude,PASS-with-caveat,"SATURATING is descriptive; amplitude terciles are in-window bins, not leave-one-cycle. M14 tests common forcing across patches."
14_METASTABILITY_RECHECK,ALL cells ORDINARY_STATE (kill),shuffled-baseline excess,4/4 ORDINARY_STATE,aggregate,baseline is shuffled cell stream,PASS (negative),Metastability dead. M14 governance: do not revive.
15/16_ABSxSIGMA + MATERIALITY,abs ΔAUC=0.012; MATERIALITY_PRIMITIVE,2D cells + materiality primitive,abs ΔAUC=0.012,"event panel (ev), aggregate",outcome=fwd returns/reversal; input=shock coordinates,PASS,"M14 upgrades to disturbance->absorption->residual 3-stage framing, tests whether it beats AUC~0.56."
17-20_DIRECTIONAL ATLAS/UP/DOWN/INFO_GAIN,"uphill field-selective, downside neutral, direction locally constrained",field geometry + entropy,up=FIELD_SELECTIVE_UPSIDE; dn=GLOBAL_FIELD_NEUTRAL; ig=DIRECTION_LOCALLY_CONSTRAINED,event-family aggregate,outcome=family sign/gate; coords are field state,PASS,"M14 deepens direction by state x age x entropy x depth x archetype (WS16), permission geometry (WS17), downtime localization (WS18), branch-entropy ladder (WS19)."
21_LOCAL_CONVERSION_PATHS,LOCAL_CONVERSION_PATHS,>=50 & >=3 subperiods for named path,LOCAL_CONVERSION_PATHS,5-6 per path,PATH_C ends in PROP_CONFIRM (partially circular); PATH_A/D non-circular,PASS-with-caveat,PATH_C circular (PROP terminal) -> weight PATH_A/D. M14 WS22 rechecks whether paths reduce to birth configs x field.
