object,verdict,action,note
SHOCK_MEMORY_KERNEL,SHORT_MEMORY,PROMOTE,"Gate A: SHORT_MEMORY - 3d/7d half-life kernels dominate (0.639 purged AUC), monotonic decline to 180d (0.572); LF11 summary's 180d claim corrected"
PRIOR_SHOCK_BURDEN,RECENCY_DOMINANT,REPLACE,"Gate B: RECENCY_DOMINANT - days-since-prior (0.6115) beats count (0.6012), decayed burden (0.5937), cumulative magnitude; local memory is primarily recency, not accumulated damage"
REACTIVATION_DRIVERS,PRIOR_CONTAGION_x_RECENCY_DOMINANT,CORRECT,Gate C: PRIOR_CONTAGION_x_RECENCY_DOMINANT (+0.084); prior contagion alone +0.048; fresh shock / burden / churn / peer stress do NOT drive relapse - LF11's stronger multi-factor wording retracted
UPSIDE_PERMISSION_HIERARCHY,"3 contaminated (removed): ['RANK_HEALTH_IMPROVEMENT', 'RECRUITMENT', 'REJOIN_RECOVERY (old)']",REBUILD,"Gate D: 3 of 7 LF11 hierarchy variables leaked (recruitment, rank-health-improvement, rejoin-recovery all ~1.0 spearman with rejoin outcome); hierarchy rebuilt PIT-safe"
LOCAL_CAPACITY_SURFACE,10,PROMOTE,"COMMON_CAPACITY_GEOMETRY: surface shape repeats across subperiods (cell-absorption spearman COMMON_CAPACITY_GEOMETRY) - surface is a stable object, boundaries shift"
CAPACITY_FAMILIES,PARTIAL_ONE_WAY_SUBSTITUTION,PROMOTE,PARTIAL_ONE_WAY_SUBSTITUTION: 5 families largely independent (|rho|<0.3); rank-health partially substitutes for thin liquidity; liquidity cannot rescue weak structural integrity
ABS->PROP->CONT_CHAIN,LOOSE_BYPASSABLE_CHAIN,PROMOTE-DESCRIPTIVE,LOOSE_BYPASSABLE_CHAIN: transitions partial and bypassable; propagation can occur without absorption failure - not a strict feed-forward chain
ABSORPTION x CONTAINMENT CELLS,DISTINCT_LOCAL_ENVIRONMENTS,PROMOTE,DISTINCT_LOCAL_ENVIRONMENTS: absorption-containment combos differ in persistence/rejoin - supports separate OS nodes for absorption vs containment
RECOVERY_CLOCK,DECLINING_ABSORPTION_WITH_TIME,DISSOLVE,"DECLINING_ABSORPTION_WITH_TIME: absorption is highest shortly after shock and declines - selection story, NOT a damage-recovery clock; no clean recovery timescale"
DAMAGE_ACCUMULATION,SELECTION_CONFIRMED,REINTERPRET,"SELECTION_CONFIRMED: cross-sectional freq->absorption gradient collapses to within-asset rho~0.06 - LF11 NO_FRAGILITY_ACCELERATION explained by selection/composition, not fragility nor resilience"
UNIVERSAL_MEMORY_CLOCK,SPECIES_DEPENDENT_MEMORY,DISSOLVE,SPECIES_DEPENDENT_MEMORY: memory-AUC range 0.22 across species; downside memory (0.59) > upside (0.46) - no universal local clock
RELATIONAL_DISTANCE,weak: best AUC 0.4897 (rel_corr_proximity); all < 0.52,PARK,relational distance does not strongly route contagion at this resolution (all AUC < 0.52)
CONTAGION_TEMPORAL_SPECIES,silhouette 0.3592,PROMOTE,temporal species reproduce in round 2; species distinguished by early_reach / recency_burden / shock_magnitude primitives (KW p<0.01)
SPECIES_PRIMITIVES,"distinguishing primitives (KW p<0.01): ['early_reach', 'recency_burden', 'shock_magnitude']",PROMOTE,"early_reach, recency_burden and shock-magnitude separate the temporal species - not just preserved clusters"
EARLY_CONTAGION_NODE,FAST_CONTAGION_REGION,DISSOLVE,"negative EC-vs-rest silhouette / <=1 separated coordinate of 6 => EC is a region of temporal geometry, dissolve node (sil=-0.0569; sep=0/6) - EC dissolves into CONTAGION_TEMPORAL_GEOMETRY as FAST_CONTAGION_REGION (negative EC-vs-rest silhouette, ~no separated coordinates)"
BRANCHING_ANALYSIS,PARK,PARK,branching adds no structural distinction across species (R2 range 0.27); kept descriptive only - no criticality language
SECOND_WAVE,SAME_MECHANISM_RECURRENCE,PROMOTE,SAME_MECHANISM_RECURRENCE: post-contagion events stay downside (0.68) in the same capacity region - reactivation is recurrence of the same local mechanism
PRIOR_CONTAGION_STATE,DECAYS_WITH_RECENCY,PROMOTE,"reactivation decays with time since prior contagion (DECAYS_WITH_RECENCY) - prior contagion is a temporary state variable, consistent with Gate C"
PERSISTENT_DECOUPLING,PD_MECHANISM_MAP,PROMOTE,"mechanisms>=0.58 AUC: ['liquidity', 'new_neighborhood_formation', 'rank_health_decay'] | rank-health decay dominates (0.68), then liquidity (0.61), then failed new-neighborhood formation (0.60); old-peer recovery flat"
DECOUPLING_EXITS,CONTINUED_ISOLATION=1.0 (n=1017) | RANK_DETERIORATION=0.2793 (n=284),PROMOTE-DESCRIPTIVE,dominant exits: continued isolation (100% of PD events) and rank deterioration (28%); no universal decoupling clock
SIGN_ASYMMETRY,gap_gradient,PROMOTE-CONDITIONAL,gap gradient strongest in damaged rank-health x thin liquidity (+correlation-compression overlay widens it); strongest=OVL:HEALTHY:THIN
CORRELATION_COMPRESSION,COINCIDES,KEEP-CANDIDATE,COINCIDES with spread - not established as precursor; no causality claimed
MECHANICAL_SENSORS,DATA_BLOCKED,BLOCKED,5 of 7 sensors rated HIGH dependence on sign-law inference; all require non-free exchange data; no scraping; sign asymmetry remains IRREDUCIBLE_WITH_AVAILABLE_DATA until these arrive
SIGN_LAW,IRREDUCIBLE_WITH_AVAILABLE_DATA,FREEZE-CONDITIONAL,sign asymmetry NOT called primitive while funding/OI/liquidations/depth/flow/margin remain unavailable
UPSIDE_ACCUMULATION,STATE_LOCAL_ACCUMULATION,PROMOTE-DESCRIPTIVE,STATE_LOCAL_ACCUMULATION (max delta 0.0543): non-leaky upside history accumulates only weakly - no downside-style damage clock
UPSIDE_PROPAGATION,SYMMETRIC_RELATIONAL_PATHS,PROMOTE-DESCRIPTIVE,upside rejoin path vs downside decouple path are sign-specific relational outcomes - no forced mirror
LOCAL_ARCHITECTURE,LOOSE_HIERARCHY,PROMOTE,LOOSE_HIERARCHY: structural integrity + current shock + recency/recovery state + relational configuration -> absorb/reorganize/propagate -> contain/reactivate/persist; strict sequencing not claimed
