node,operation,evidence,status
FULL_STATE_LIFECYCLE,PROMOTE,WS1 per cell x age x horizon,171 cell x age x horizon rows
STATE_FAILURE_GEOMETRY,PROMOTE,WS2 earliest divergence,4/4 cells separated
BROAD_SEQUENCE_ATLAS,DESCRIPTIVE,WS3 17-atom words,0 COMMON sequences
PARTIAL_ORDER_GRAPH,DESCRIPTIVE,WS4 pair ordering,2 REQUIRED_ORDER edges
CONSTRAINT_RESOLUTION_ENTROPY,PROMOTE,WS6,ENTROPY_COLLAPSE
WATERFALL_THRESHOLD_HIERARCHY,PROMOTE,WS7 field intensity at first activation,THRESHOLD_HIERARCHY_EARNED
RANK_PATCH_GRAPH,PROMOTE,WS8 nodes/edges,5 patches
PATCH_PERTURBATION_RESPONSE,PROMOTE,WS9,105 patch x perturbation x amplitude cells
PEER_FORMATION_CONTEXT,PROMOTE,WS10,FIELD_CONTEXT_DISTINCT
METASTABILITY,PROMOTE,WS11,1 metastable-like / 2 transit corridor
TRANSFER_FLOW_PILOT,PROMOTE,WS12,TRANSFER_FLOW_PILOT
LONER_FIELD_PLACEMENT,PROMOTE,WS13,DISTINCT_FIELD_PLACEMENT
ABSOLUTE_VS_SIGMA_AMPLITUDE,PROMOTE,WS14,2D amplitude cells built
DIRECTIONAL_ASYMMETRY,PROMOTE,WS15,ASYMMETRIC_FIELD_GEOMETRY
POTENTIAL_REALIZATION,LOCAL_NODE,WS16,LOCAL_CONVERSION_PATH
