node,type,status,note
4-STATE BREADTH x DISPERSION,GLOBAL_STATE,EARNED,HH/HL/LH/LL with age + clocks
STATE_AGE / SURVIVAL QUALITY,COORDINATE,EARNED,birth+selection (MECH-10)
COMPETING-RISK MASS SHIFT,CLOCK,EARNED,HH reentry->propagation (MECH-11)
SEQUENCE GRAMMAR (M11),SEQUENCE,EARNED,BREADTH->CONC_RELEASE->DISPERSION->TAIL->RANK
PERMISSION->REALIZATION,SEQUENCE,LOCAL_NODE,dispersion-first/simultaneous > breadth-first (MECH-10)
WATERFALL ACTIVATION,SEQUENCE,EARNED,"shallow->deep activation order (MECH-11, WS7 re-test)"
PROPAGATION RADIUS,LOCAL,LOCAL_NODE,"median local, no broadcast (M11)"
PRICE_UP_RANK_DOWN,HEALTH,EARNED,"beta-rescue, slow rehab (MECH-10/11)"
EARLY_SNAPBACK / BREADTH_FADE,MOTIF,EARNED,failure geometries (MECH-5/6)
TRUE vs FALSE LONER,PEER,EARNED,LF5/6 + M11 distinct geometry
SHMC / SHHM,MICROSTATE,LOCAL_NODE,opposite 2x2 corners
VOLATILITY,CONTEXT,INTENSITY_ONLY,retention/clock modulator
