Date,Session,Previous_Day_Minus_25,Previous_Day_Minus_50,Previous_Day_High,Previous_Day_Low
2023-01-04,Asian,95.72,98.22,97.04,80.02
2023-01-04,London,95.72,98.22,97.04,80.02
2023-01-04,NY,95.72,98.22,97.04,80.02
2023-01-05,Asian,114.26,117.07,116.87,95.9
2023-01-05,London,114.26,117.07,116.87,95.9
2023-01-05,NY,114.26,117.07,116.87,95.9
2023-01-06,Asian,133.24,136.02,134.98,116.64
2023-01-06,London,133.24,136.02,134.98,116.64
2023-01-06,NY,133.24,136.02,134.98,116.64
2023-01-09,Asian,152.72,155.56,153.81,135.06
2023-01-09,London,152.72,155.56,153.81,135.06
2023-01-09,NY,152.72,155.56,153.81,135.06
2023-01-10,Asian,167.61,169.99,169.19,152.65
2023-01-10,London,167.61,169.99,169.19,152.65
2023-01-10,NY,167.61,169.99,169.19,152.65
2023-01-11,Asian,187.56,190.29,189.17,168.55
2023-01-11,London,187.56,190.29,189.17,168.55
2023-01-11,NY,187.56,190.29,189.17,168.55
2023-01-12,Asian,205.55,207.94,207.49,189.33
2023-01-12,London,205.55,207.94,207.49,189.33
2023-01-12,NY,205.55,207.94,207.49,189.33
2023-01-13,Asian,223.4,226.06,226.95,207.48
2023-01-13,London,223.4,226.06,226.95,207.48
2023-01-13,NY,223.4,226.06,226.95,207.48
2023-01-16,Asian,242.84,245.16,244.47,226.56
2023-01-16,London,242.84,245.16,244.47,226.56
2023-01-16,NY,242.84,245.16,244.47,226.56
2023-01-17,Asian,259.78,262.28,260.58,243.38
2023-01-17,London,259.78,262.28,260.58,243.38
2023-01-17,NY,259.78,262.28,260.58,243.38
2023-01-18,Asian,277.85,280.26,279.66,260.55
2023-01-18,London,277.85,280.26,279.66,260.55
2023-01-18,NY,277.85,280.26,279.66,260.55
2023-01-19,Asian,296.14,299.11,298.91,279.1
2023-01-19,London,296.14,299.11,298.91,279.1
2023-01-19,NY,296.14,299.11,298.91,279.1
2023-01-20,Asian,317.71,320.03,315.38,298.72
2023-01-20,London,317.71,320.03,315.38,298.72
2023-01-20,NY,317.71,320.03,315.38,298.72
2023-01-23,Asian,330.16,332.51,332.41,315.6
2023-01-23,London,330.16,332.51,332.41,315.6
2023-01-23,NY,330.16,332.51,332.41,315.6
2023-01-24,Asian,350.13,353.12,352.04,332.0
2023-01-24,London,350.13,353.12,352.04,332.0
2023-01-24,NY,350.13,353.12,352.04,332.0
2023-01-25,Asian,368.16,370.62,370.84,351.5
2023-01-25,London,368.16,370.62,370.84,351.5
2023-01-25,NY,368.16,370.62,370.84,351.5
2023-01-26,Asian,387.34,389.87,389.89,371.18
2023-01-26,London,387.34,389.87,389.89,371.18
