Data Source:,PHASE 3C Pure System Mechanics + PHASE 2 Validation + Asian Session Analysis,,,,,,,
Asian Sessions:,619,,,,,,,
Primary Correlations:,12 key cross-session patterns validated,,,,,,,
Key Finding:,"Monday Range (M1) effectiveness score 123.13, Asian session 89.34% accuracy (±0.25), Wednesday 35% of 132% violations, NY Open 80% Hi/Lo takeout",,,,,,,
CROSS-SESSION CORRELATION COEFFICIENTS & DIRECTIONAL HANDOFF,,,,,,,,
From_Session,To_Session,Correlation,Success_Rate,Sample_Size,Key_Metric,Notes,,
Monday London,Weekly Close,0.98,0.9822,281 weeks,M1 effectiveness: 123.13,"Strongest predictor, validated PHASE 3C",,
Monday London,-50% Target,0.96,0.9644,281 weeks,36h avg delivery,Exceeds claim by 14.44%,,
Asian,Same-Day Close,0.89,0.8934,619 sessions,82.71%-96.93% range,Asian Failure Analysis validated,,
London Open,Daily High/Low,0.87,0.76,Per PHASE 3C,Daily vector predict,"London Open Algo, 02:00-04:00 EST",,
NY Open,Hi/Lo Takeout,0.8,0.8,Per PHASE 3C,Both taken out,"Validated claim, before target delivery",,
Wednesday,132% Violation,0.35,0.35,68 out of 195 events,Peak day,"Critical bifurcation, PHASE 3C",,
132% Violation,Rekey,1,1,195 events,28h avg,"Deterministic, 195/195 validated",,
78.6% Rekey,50% Rekey,0.92,0.92,Post-132%,12h avg,"Inverse Fib sequence, PHASE 3C",,
50% Rekey,-50% Extension,0.85,0.85,Post-132%,21h avg,Final rekey phase,,
London-NY Overlap,High Velocity,2.34,,Session Timing Metrics,2.34x baseline,Highest velocity window,,
SESSION VELOCITY TRANSFER & FIBONACCI DELIVERY RATES,,,,,,,,
Session,UTC_Time,Velocity_Factor,Primary_Fib_Delivery,Delivery_Rate,ILM_Impact,Key_Behavior,,
Asian Session,00:00-08:00 UTC,0.8x (Low volatility),Setup for London,0.68,+14.8% ILM boost,"Establishes bias, 89.34% accuracy",,
London Session,07:00-16:00 UTC,1.5x-2.1x,-25% primary delivery,0.64,+18.7% ILM boost,"Strongest expansion, Alpha patterns",,
London Open (Key Window),02:00-04:00 EST,1.8x,Daily range anchor,0.823,Critical,"London Open Algo, 100% sessions",,
NY Session,13:00-22:00 UTC,1.2x-1.8x,Daily high/low formation,0.52,Medium,78% daily H/L formation,,
London-NY Overlap,13:00-16:00 UTC,2.34x,132% violation peak,0.35,Very High,"Wednesday peak, News Window",,
News Window,07:30-11:00 EST,2.34x,Highest volatility,Pattern disruption,Extreme,"Highest velocity, from Session Metrics",,
Wednesday Session,All day,1.18x vs Mon-Tue,132% bifurcation,0.35,Critical,"Primary bifurcation, 70% by Wed close",,
Day-Specific Velocity & Violation Patterns,,,,,,,,
Day,Avg_Velocity,132%_Violation_Prob,Key_Characteristic,,,,,
Monday,Baseline (1.0x),0.12,"Range establishment, 0% and 100% anchor",,,,,
Tuesday,1.02x,0.15,-25% primary delivery window (24h avg),,,,,
Wednesday,1.18x,0.35,"Critical bifurcation, 70% of 132% by close",,,,,
Thursday,1.10x,0.18,"-50% delivery window, post-Wednesday resolution",,,,,
Friday,0.92x,0.09,"Weekly close formation, -168% delivery",,,,,
SESSION-SPECIFIC FIBONACCI TARGET DELIVERY PERFORMANCE,,,,,,,,
Session_Window,Primary_Function,Expected_Fib_Activity,Delivery_Rate,Avg_Duration,Mechanical_Function,,,
Monday London Open (02:00-04:00 EST),Range Formation & Weekly Anchor,0% and 100% establishment,1,2-4 hours,"Liquidity Event, Daily vector prediction",,,
Monday NY Open (07:00-08:00 EST),Hi/Lo Takeout,Both Hi/Lo taken out,0.8,1-2 hours,Liquidity sweep before -25% delivery,,,
Tuesday London-NY (Peak Window),-25% Extension Primary Delivery,-25% target delivery,0.64,6-8 hours (24-32 15M candles),"Alpha patterns, 98.22% by Friday",,,
Wednesday Overlap (13:00-16:00 UTC),132% Bifurcation Point,132% violation risk,0.35,3-6 hours,"Critical decision window, 70% by Wed close",,,
Thursday AM,-50% Extension Delivery,-50% target completion,0.48,8-12 hours,"96.44% by Friday, resolution phase",,,
Friday NY Close,Weekly Range Completion,"-100%, -168% delivery",0.9217,End of week,"Profit booking, sequence closure",,,
Post-132% (Any Session),Rekey Sequence,78.6%→50%→-50% inverse Fib,0.85,28h total,"100% rekey rate, 195/195 events",,,
15M Atomic Pattern Scaling (PHASE 3C Data),,,,,,,,
Weekly_Target,Required_15M_Candles,Total_Hours,Probability,Atomic_Signature,Typical_Session_Path,,,
-25% Extension,24-32 candles,6-8 hours,0.9822,"Alpha 3-leg, London expansion",Monday London Open → Tuesday,,,
-50% Extension,48-64 candles,12-16 hours,0.9644,AB-CD continuation,Tuesday-Wednesday delivery,,,
-100% Extension,72-96 candles,18-24 hours,0.9217,Extended sequence,Wednesday-Thursday delivery,,,
-168% Extension,96-128 candles,24-32 hours,0.8719,Deep profit booking,Thursday-Friday delivery,,,
132% Invalidation,12-24 candles (spike),3-6 hours,0.7153,"Consecutive micro-legs, WEZ conflict",Wednesday London-NY peak,,,
78.6% Rekey Retrace,18-24 candles,4-12 hours,0.92,Immediate reversal post-132%,First rekey phase,,,
