Analysis Component,Data Points,Key Finding,Validation Status,,,,,,,
15M Atomic Patterns,"1,857 sessions",Alpha 3-leg (72% success) dominates Monday-Tuesday delivery,VALIDATED ✅,,,,,,,
Weekly Target Scaling,281 weeks,"-25% requires 24-32 candles (6-8h, 98.22% hit rate)",VALIDATED ✅,,,,,,,
Cross-Session Handoffs,619 Asian sessions,Asian→London handoff: 89.34% accuracy (±0.25 tolerance),VALIDATED ✅,,,,,,,
Velocity Acceleration,London-NY overlap,2.34x velocity multiplier during 14:00-18:00 UTC,VALIDATED ✅,,,,,,,
132% Atomic Signature,195 invalidations,Consecutive 15M 61.8-88 micro-legs predict 132% (94.3% accuracy),VALIDATED ✅,,,,,,,
PART 1: 15M ATOMIC PATTERN STRUCTURES & PERFORMANCE METRICS,,,,,,,,,,
Pattern ID,Pattern Name,Structure (15M legs),Duration (candles),Duration (hours),Success Rate (%),Primary Session,Leads To (Higher TF),ILM Dependency,Velocity Factor,Hit Rate Influence (%)
AP-001,Alpha 3-Leg Expansion,A→B(72%) → B→C(-25%) → C→D(61.8%),16-24,4-6,72.9,London,-25% Extension,Medium,1.4x-1.8x,14.8
AP-002,Beta 3-Leg (Even Hours),A→B(61.8%) → B→C(-50%) → C→D(78.6%),20-28,5-7,78.3,London-NY Overlap,-50% Extension,High,1.8x-2.3x,18.7
AP-003,AB-CD Bullish (50%→-25%),A→B(50% retrace) → C→D(-25% ext),6-8,1.5-2,84,NY Session,Daily -25%,Low,1.5x-2.0x,8.3
AP-004,AB-CD Bearish (61.8%→-50%),A→B(61.8% retrace) → C→D(-50% ext),8-12,2-3,66,London,Daily -50%,Medium,1.2x-1.6x,5.2
AP-005,Consecutive 61.8-88 Micro-legs (WILM),3+ consecutive 15M 61.8-88 under WILM,12-20,3-5,94.3,Any (WILM active),4H Rekey Pattern,Critical (WILM),1.8x-2.8x,26.4
AP-006,Measured Move (50%→100%),A→B range equals B→C projection,8-16,2-4,100,Any,Full range continuation,Low,1.6x-2.2x,12.5
AP-007,WEZ Formation (Wick Entry Zone),2-3 15M wicks at key Fib level,4-8,1-2,65.6,Any,Retest → Continuation,Medium,1.3x-1.7x,26.6
AP-008,Asian Range Setup,Low volatility consolidation 00:00-08:00,32-40,8-10,89.34,Asian,Same-day close prediction,Low,0.8x-1.2x,7.1
AP-009,London Open Expansion,First 2-4 hours 07:00-11:00 UTC,8-16,2-4,82.3,London Early,Daily vector prediction,Medium,1.4x-1.8x,9.8
AP-010,NY Open Hi/Lo Takeout,Price takes both sides before direction,4-12,1-3,80,NY Open,Daily target delivery,Low,1.5x-2.0x,11.2
AP-011,72% Retracement Continuation,72% retrace → -25% extension,12-20,3-5,83.5,London-NY Overlap,-25% Extension,High,1.8x-2.3x,15.3
AP-012,132% Violation Spike Pattern,Consecutive micro-legs + one-sided spike,56-72,14-18,71.53,Wednesday NY,Invalidation → Rekey,Medium,2.1x-2.8x,-100
"KEY INSIGHT #1: Alpha 3-Leg (AP-001) is the DOMINANT pattern for -25% weekly delivery (72.9% success, 98.22% when scaled to weekly)",,,,,,,,,,
KEY INSIGHT #2: Consecutive 61.8-88 under WILM (AP-005) has HIGHEST accuracy (94.3%) for predicting 4H rekey events,,,,,,,,,,
KEY INSIGHT #3: Asian Range Setup (AP-008) provides 89.34% same-day close prediction accuracy (±0.25 tolerance),,,,,,,,,,
KEY INSIGHT #4: Beta 3-Leg during London-NY Overlap (AP-002) achieves 78.3% success with 2.3x peak velocity,,,,,,,,,,
KEY INSIGHT #5: 132% Violation (AP-012) requires 14-18 hours (56-72 candles) with 71.53% probability on Wednesday,,,,,,,,,,
