Date,Day,London_Open,London_High,London_Low,London_Close,London_Range,Directional_Bias,Year,Quarter,Month,Week,DayOfWeek,Fib_0_Percent,Fib_100_Percent,Fib_Minus_25,Fib_Minus_50,Fib_Minus_100,Fib_Minus_168,Fib_132_Percent
2020-01-06,Monday,50.9243,52.09459,50.25829,51.18259,1.8363,Bullish,2020,1,1,2,0,50.25829,52.09459,52.55366,53.01274,53.93089,55.17957,49.67067
2020-01-13,Monday,50.77259,51.28397,50.37337,51.17929,0.91061,Bullish,2020,1,1,3,0,50.37337,51.28397,51.51162,51.73927,52.19458,52.81379,50.08197
2020-01-20,Monday,54.1453,54.71343,53.58674,54.71343,1.12668,Bullish,2020,1,1,4,0,53.58674,54.71343,54.9951,55.27677,55.84011,56.60625,53.2262
2020-01-27,Monday,57.31464,58.41939,56.51762,58.0734,1.90177,Bullish,2020,1,1,5,0,56.51762,58.41939,58.89483,59.37027,60.32116,61.61436,55.90905
2020-02-03,Monday,58.62169,59.43479,57.87558,57.87558,1.55921,Bearish,2020,1,2,6,0,59.43479,57.87558,57.48578,57.09598,56.31637,55.25611,59.93374
2020-02-10,Monday,55.1374,56.04983,53.87133,53.87133,2.1785,Bearish,2020,1,2,7,0,56.04983,53.87133,53.3267,52.78208,51.69283,50.21145,56.74695
2020-02-17,Monday,59.61838,60.66805,58.90748,59.09629,1.76058,Bearish,2020,1,2,8,0,60.66805,58.90748,58.46733,58.02719,57.1469,55.94971,61.23144
2020-02-24,Monday,61.79523,63.71777,59.80418,63.5605,3.91359,Bullish,2020,1,2,9,0,59.80418,63.71777,64.69617,65.67457,67.63136,70.2926,58.55183
2020-03-02,Monday,60.78519,61.28504,60.13609,60.13609,1.14895,Bearish,2020,1,3,10,0,61.28504,60.13609,59.84885,59.56162,58.98714,58.20585,61.6527
2020-03-09,Monday,58.40895,59.64733,57.85723,59.3722,1.79009,Bullish,2020,1,3,11,0,57.85723,59.64733,60.09485,60.54237,61.43742,62.65468,57.2844
2020-03-16,Monday,64.75034,66.45925,63.22776,63.78922,3.23149,Bearish,2020,1,3,12,0,66.45925,63.22776,62.41989,61.61202,59.99627,57.79886,67.49333
2020-03-23,Monday,67.49213,69.36971,65.61757,69.16594,3.75215,Bullish,2020,1,3,13,0,65.61757,69.36971,70.30775,71.24578,73.12186,75.67332,64.41688
2020-03-30,Monday,66.39998,66.83121,66.16693,66.52106,0.66428,Bullish,2020,1,3,14,0,66.16693,66.83121,66.99728,67.16335,67.49549,67.9472,65.95436
2020-04-06,Monday,64.51142,66.24156,62.72137,62.72137,3.52019,Bearish,2020,2,4,15,0,66.24156,62.72137,61.84132,60.96128,59.20118,56.80745,67.36802
2020-04-13,Monday,69.82434,70.731,68.96183,70.14189,1.76917,Bullish,2020,2,4,16,0,68.96183,70.731,71.17329,71.61558,72.50017,73.70321,68.3957
2020-04-20,Monday,70.81793,71.59892,69.57867,71.48487,2.02025,Bullish,2020,2,4,17,0,69.57867,71.59892,72.10398,72.60905,73.61917,74.99294,68.93219
2020-04-27,Monday,71.18554,73.19026,70.14115,72.28118,3.04911,Bullish,2020,2,4,18,0,70.14115,73.19026,73.95254,74.71482,76.23937,78.31276,69.16543
2020-05-04,Monday,72.44842,72.94795,71.89328,71.92157,1.05467,Bearish,2020,2,5,19,0,72.94795,71.89328,71.62961,71.36595,70.83861,70.12143,73.28544
2020-05-11,Monday,71.07085,71.913,70.38882,70.61048,1.52418,Bearish,2020,2,5,20,0,71.913,70.38882,70.00777,69.62673,68.86464,67.8282,72.40074
2020-05-18,Monday,73.60598,76.19742,71.91744,76.19742,4.27998,Bullish,2020,2,5,21,0,71.91744,76.19742,77.26741,78.33741,80.4774,83.38779,70.54785
2020-05-25,Monday,76.36892,77.72273,75.78486,76.00219,1.93787,Bearish,2020,2,5,22,0,77.72273,75.78486,75.30039,74.81592,73.84699,72.52924,78.34285
2020-06-01,Monday,74.28322,76.55769,72.02344,75.09606,4.53425,Bullish,2020,2,6,23,0,72.02344,76.55769,77.69125,78.82482,81.09194,84.17523,70.57248
2020-06-08,Monday,75.64518,76.59324,75.02613,75.41489,1.56711,Bearish,2020,2,6,24,0,76.59324,75.02613,74.63435,74.24257,73.45902,72.39339,77.09472
2020-06-15,Monday,75.60982,76.32533,74.75961,75.25756,1.56572,Bearish,2020,2,6,25,0,76.32533,74.75961,74.36818,73.97675,73.19389,72.1292,76.82636
2020-06-22,Monday,78.33485,80.7797,75.99434,80.7797,4.78536,Bullish,2020,2,6,26,0,75.99434,80.7797,81.97604,83.17238,85.56506,88.8191,74.46302
2020-06-29,Monday,78.05191,78.62529,77.32471,78.62529,1.30058,Bullish,2020,2,6,27,0,77.32471,78.62529,78.95044,79.27558,79.92587,80.81026,76.90852
2020-07-06,Monday,80.65784,82.03416,79.84811,82.03416,2.18606,Bullish,2020,3,7,28,0,79.84811,82.03416,82.58067,83.12719,84.22022,85.70674,79.14857
2020-07-13,Monday,76.7119,77.43594,75.88939,77.43594,1.54655,Bullish,2020,3,7,29,0,75.88939,77.43594,77.82258,78.20922,78.98249,80.03414,75.39449
2020-07-20,Monday,77.17131,77.58954,76.30962,77.58954,1.27992,Bullish,2020,3,7,30,0,76.30962,77.58954,77.90952,78.2295,78.86946,79.73981,75.90005
2020-07-27,Monday,78.44781,80.47011,77.40038,77.65855,3.06974,Bearish,2020,3,7,31,0,80.47011,77.40038,76.63294,75.86551,74.33064,72.24322,81.45243
2020-08-03,Monday,80.91306,83.00162,78.20415,78.20415,4.79747,Bearish,2020,3,8,32,0,83.00162,78.20415,77.00478,75.80541,73.40668,70.1444,84.53681
2020-08-10,Monday,81.69073,82.84357,78.72594,81.08344,4.11762,Bearish,2020,3,8,33,0,82.84357,78.72594,77.69653,76.66713,74.60832,71.80834,84.16121
2020-08-17,Monday,81.23802,83.15659,80.17663,83.15659,2.97996,Bullish,2020,3,8,34,0,80.17663,83.15659,83.90158,84.64657,86.13655,88.16292,79.22304
2020-08-24,Monday,78.41714,79.63105,76.56901,79.63105,3.06204,Bullish,2020,3,8,35,0,76.56901,79.63105,80.39656,81.16207,82.69309,84.77528,75.58916
2020-08-31,Monday,78.89388,79.33624,78.01021,78.73195,1.32604,Bearish,2020,3,8,36,0,79.33624,78.01021,77.6787,77.34719,76.68417,75.78246,79.76057
