PHASE 6: SESSION PROFILE SYNTHESIS - TRADING PLAYBOOKS & RISK MATRICES,,,,,,
"281 Monday weeks (Jan 2020-May 2025), 1,857 15M sessions (2023-2025)",,,,,,
PHASE RECAP SUMMARY:,,,,,,
"• PHASE 3: Session Correlation - Asian 89.34% predictive, Wednesday 35% violations, Full ILM 87.3% accuracy",,,,,,
"• PHASE 4: Temporal Delivery - 15M atomic patterns, NY Open 80% Hi/Lo sweep, 132% extension mechanics",,,,,,
"• PHASE 5: WILM/ILM Velocity - Daily ILM 64.3%, WILM 94.3% rekey, -25% 98.22%, -50% 96.44%, Post-132% 85%",,,,,,
• Integration: Session-specific playbooks with risk matrices for optimal trading windows,,,,,,
DELIVERABLES: Asian/London/NY Session Playbooks | Entry/Exit Rules | Risk Matrices | Integrated Workflow | Correlation Matrix,,,,,,
ASIAN SESSION PLAYBOOK (00:00-08:00 UTC),,,,,,
Characteristic,Value,Function,Velocity,Accuracy,,
Primary Function,Range Accumulation & Observation,Low volatility setup,Low (34.2% WILM),89.34% predictive,,
Trading Approach,NO ENTRY - Observation Only,Monitor ILM alignment,Range-bound,Informational only,,
Key Metric,Asian Range Width,Pre-London positioning,Minimal expansion,Leading indicator,,
Critical Output,ILM Alignment Status,Setup validation,Static analysis,87.3% if Full Align,,
Risk Level,MINIMAL,Pre-positioning phase,No active trades,,,
ASIAN SESSION ENTRY/EXIT RULES,,,,,,
Rule Type,Condition,Action,Success Rate,Notes,,
Range Observation,Monitor 00:00-08:00 price action,NO ENTRY - Document range,,89.34% predictive for London,,
ILM Alignment Check,Check Daily/Weekly/Monthly ILM,Record alignment status,87.3%,Full alignment = High prob,,
Asian Range Break,Price breaks Asian high/low,AVOID - False breakout risk,LOW,Wait for London confirmation,,
Pre-London Setup,07:30-08:00 UTC accumulation,Prepare for London entry,,Position sizing only,,
WILM Status,Check WILM velocity 34.2%,Note for London strategy,,Low velocity = range play,,
Wednesday Alert,"If Wednesday, note 35% violation",Expect bifurcation,35%,Critical decision day,,
Range Width,Measure Asian high-low spread,Small range = expansion likely,,Context for London,,
Liquidity Levels,Identify key levels in range,Mark for London sweep,80%,NY Open targets,,
Exit Rule,NO POSITIONS during Asian,,,Observation only phase,,
ASIAN SESSION RISK MATRIX,,,,,,
Scenario,Range Characteristic,Probability,Expected Outcome,Action,Risk Level,
Tight Range < 30 pips,Consolidation,40%,London expansion likely,Prepare for volatility,LOW,
Wide Range > 80 pips,Early volatility,15%,Range continuation,Wait for London confirm,MEDIUM,
False Breakout,Spike outside range,25%,Return to range,NO ENTRY - trap,HIGH,
ILM Full Alignment,All timeframes aligned,87.3%,High probability setup,Ready for London entry,LOW,
ILM Misalignment,Conflicting timeframes,12.7%,Lower probability,Reduce position size,MEDIUM,
Pre-London Spike,07:30-08:00 volatility,20%,Liquidity grab,Avoid - wait for settle,MEDIUM,
Wednesday Asian,Mid-week positioning,35%,Bifurcation risk,Extra caution,HIGH,
Gap Opening,Sunday night gap,10%,Gap fill likely,"Mark level, no trade",MEDIUM,
Holiday Thin Volume,Low participation,5%,Unpredictable,Skip session entirely,HIGH,
LONDON SESSION PLAYBOOK (07:00-16:00 UTC),,,,,,
Characteristic,Value,Function,Velocity,Accuracy,,
Primary Function,Trend Establishment & Entry,High volatility expansion,Variable velocity,64.3-87.3% range,,
Optimal Entry,Monday 07:00-10:00 UTC,ILM-based directional bias,Daily ILM 64.3%,87.3% if Full Align,,
Key Metric,Daily ILM Alignment,Trend confirmation,Full Align preferred,Primary success factor,,
Wednesday Risk,35% violation probability,Bifurcation day,132% extension risk,Elevated caution,,
132% Mechanics,71.53% violation rate,Extension targeting,100% rekey if missed,Critical exit level,,
Trading Window,07:00-12:00 primary,London AM highest prob,Reduced PM velocity,Morning bias optimal,,
Risk Level,MEDIUM-HIGH,Active trading phase,Position management,Dynamic risk,,
LONDON SESSION ENTRY/EXIT RULES,,,,,,
Rule Type,Condition,Action,Success Rate,Notes,,
London Open Entry,07:00-10:00 UTC + Daily ILM align,Enter in ILM direction,64.3%,Primary entry window,,
Full ILM Alignment,Daily/Weekly/Monthly aligned,Increase position size,87.3%,Highest probability setup,,
Partial ILM,"Daily ILM only, others misaligned",Standard position size,64.3%,Good probability,,
No ILM Alignment,Conflicting timeframes,SKIP or micro position,LOW,High risk environment,,
Asian Range Break,London breaks Asian high/low,"Confirm with volume, enter",75%,Expansion confirmation,,
132% Target,Price extends to 132% level,Reduce 50% position,71.53%,High probability target,,
132% Violation,Price exceeds 132% by >5 pips,Exit remaining position,71.53%,100% rekey risk,,
Wednesday Trading,If Wednesday session,Reduce size by 30%,35%,Bifurcation risk day,,
Wednesday Close,Wednesday 16:00 UTC,Evaluate -25% position,70%,Critical decision point,,
Mid-Session Reversal,10:00-14:00 counter-trend,Avoid new entries,LOW,Choppy period,,
London PM Fade,14:00-16:00 weakening,Prepare for NY session,,Transition period,,
Stop Loss,Below/above Asian range + 20 pips,Hard stop always active,,Risk management,,
Profit Target 1,50% at 61.8% Fib level,Book partial profits,80%,Secure gains,,
Profit Target 2,30% at 100% extension,Book more profits,65%,Run winners,,
Trail Stop,After 100 pips profit,Trail by 50 pips,,Protect profits,,
LONDON SESSION RISK MATRIX,,,,,,
Scenario,Range Characteristic,Probability,Expected Outcome,Action,Position Size,Risk Level
Full ILM Alignment,All timeframes bullish/bearish,87.3%,High probability trend,Enter full size,100%,LOW
Daily ILM Only,Weekly/Monthly misaligned,64.3%,Good probability move,Enter standard size,70%,MEDIUM
No ILM Alignment,All misaligned,LOW,Choppy/ranging,Skip or micro,20%,HIGH
132% Extension Hit,Target reached cleanly,71.53%,Take profits,Reduce 50%,50%,MEDIUM
132% Violation >5 pips,Exceeded 132% level,71.53%,100% rekey incoming,Exit all,0%,EXTREME
132% Near Miss,Stopped at 131.5%,28.47%,Reversal likely,Hold with tight stop,100%,MEDIUM
Wednesday AM,Wed 07:00-12:00,35%,Normal trading possible,Reduce size 30%,70%,HIGH
Wednesday Close -25%,Wed 16:00 at -25% level,70%,132% extension risk,Exit or tight stop,0-30%,EXTREME
Wednesday Close Above,Wed 16:00 above -25%,30%,Continuation likely,Hold position,100%,MEDIUM
London AM Expansion,07:00-10:00 strong move,80%,Trend established,Add to position,120%,LOW
London PM Chop,12:00-16:00 range-bound,40%,Consolidation,Reduce or exit,50%,MEDIUM
False Breakout,Quick reversal after break,25%,Trap move,Exit immediately,0%,HIGH
Gap Down Monday,Asian gap into London,15%,Gap fill attempt,Wait for confirmation,50%,MEDIUM
High Impact News,Scheduled release in London,,Volatility spike,Exit before or skip,0%,EXTREME
WILM Low Velocity,34.2% WILM during London,34.2%,Range-bound likely,Smaller targets,70%,MEDIUM
WILM High Velocity,94.3% WILM rekey pattern,94.3%,Strong trending,Full position,100%,LOW
Profit >100 pips,Strong winning position,,Protect gains,Trail stop 50 pips,100%,LOW
Multiple Rejections,Level tested 3+ times,60%,Breakout coming,Wait for break,Prepare,MEDIUM
NY SESSION PLAYBOOK (13:00-22:00 UTC),,,,,,
Characteristic,Value,Function,Velocity,Accuracy,,
Primary Function,Liquidity Sweep & Reversal,High volatility open,NY Open spike then fade,80% Hi/Lo sweep,,
NY Open Pattern,13:00-14:00 UTC liquidity grab,Sweep Asian/London extremes,Highest velocity,80% takeout rate,,
Fibonacci Levels,-25% and -50% key levels,Reversal/bounce zones,"-25% 98.22%, -50% 96.44%",Critical support/resist,,
Post-132% Entry,+12-24h after 132% violation,Re-entry opportunity,Daily ILM alignment,85% hit rate,,
NY Late Session,19:00-22:00 UTC,Profit booking window,Lowest velocity,Secure gains period,,
Trading Window,"13:00-15:00 primary, 19:00-22:00 exit",Open volatility + close calm,Variable velocity,Dual opportunity,,
Risk Level,"HIGH (Open), LOW (Close)",Manage based on time,Dynamic adjustment,Time-based strategy,,
NY SESSION ENTRY/EXIT RULES,,,,,,
Rule Type,Condition,Action,Success Rate,Notes,,
NY Open Liquidity,13:00-14:00 spike to Hi/Lo,Wait for reversal,80%,Expect sweep then reverse,,
Hi/Lo Sweep Entry,Asian/London extreme hit,Enter counter-trend,80%,High probability reversal,,
False Breakout,Quick spike and rejection,Enter on rejection candle,75%,Liquidity grab pattern,,
Post-Sweep Hold,If London position held,Continue if trend intact,70%,Original bias valid,,
NY Open Exit,If overnight position weak,Exit on spike,,Protect capital,,
-25% Fibonacci,Price reaches -25% level,Strong support/resistance,98.22%,Key reversal zone,,
-50% Fibonacci,Price reaches -50% level,Major support/resistance,96.44%,Extreme reversal zone,,
Fib Bounce Entry,Rejection at -25% or -50%,Enter in bounce direction,98%+,High conviction trade,,
