Fibonacci Level,Hit Rate (%),Avg Time to Hit (hours),Most Common Day,IF THIS LEVEL HITS → Next Most Probable Level,Conditional Probability (%),Typical Delivery Window
-25% Extension,0.9822,24,Monday-Tuesday,-50% Extension,0.92,Mon London Open → Wed Close
-50% Extension,0.9643999999999999,36,Tuesday-Wednesday,-100% Extension,0.85,Tue NY Open → Thu AM
-100% Extension,0.9217,48,Wednesday-Thursday,-168% Extension,0.78,Wed Overlap → Fri AM
-168% Extension,0.8719,60,Thursday-Friday,Week Complete,0.95,Thu AM → Fri Close
132% Violation,0.7153,42,Wednesday Peak,REKEY to 78.6%,0.92,Wed NY Session
TEMPORAL DELIVERY SIGNATURES - KEY PATTERNS,,,,,,
Pattern 1: NORMAL WEEKLY FLOW,,,,,,
Sequence:,Monday Range → -25% (24h) → -50% (36h) → -100% (48h) → Close,,,,,
Probability:,68.3% of weeks follow this sequence,,,,,
Session Atomics:,"4-5 London sessions, 3-4 NY overlaps",,,,,
Pattern 2: INVALIDATION SIGNATURE,,,,,,
Sequence:,Monday Range → 100% Break (no -25% follow-through) → 132% Violation,,,,,
Probability:,71.53% when -25% misses by Wed close,,,,,
Session Atomics:,"2-3 sessions, concentrated Wed NY window",,,,,
Pattern 3: REKEY SEQUENCE (Post-132%),,,,,,
Sequence:,132% Hit → New Anchor → 78.6% retrace (92%) → 50% consolidation (85%) → -50% target (78%),,,,,
Total Time:,24-48 hours after 132% violation,,,,,
Session Atomics:,6-8 15M sessions compressed into 2 daily sessions,,,,,
PART 2: REKEY vs NON-REKEY TEMPORAL TRIGGER CONDITIONS,,,,,,
Condition,Timing Window,Probability of Rekey,Sample Size,Session Signature,,
-50% NOT hit by Wed Close,Wed 16:00 EST checkpoint,0.75,68 occurrences,"Wed close below -25%, Thu Asian gap",,
-25% NOT hit by Wed Close,Wed 16:00 EST checkpoint,0.7,45 occurrences,"Mon-Wed consolidation, Wed spike",,
100% Break WITHOUT -25% follow,Tue-Wed sessions,0.65,52 occurrences,Sharp reversal in NY session,,
-100% hit by Thursday AM,Thu 08:00 EST,0.85,201 occurrences,"London expansion, NY continuation",,
132% Violated at ANY TIME,Immediate,1,195 occurrences,Single spike candle or cascade,,
WEDNESDAY CLOSE AS CRITICAL BIFURCATION POINT,,,,,,
IF Condition,THEN Outcome,,,,,
-25% HIT by Wed Close,,132% Risk = 30% (normal continuation),,,,
-25% MISS by Wed Close,,132% Risk = 70% (invalidation likely),,,,
-50% HIT by Wed Close,,-100% Probability = 88% by Friday,,,,
-50% MISS by Wed Close,,Rekey to 78.6% = 75% (mean reversion),,,,
PART 3: POST-132% INVALIDATION - CELLULAR BEHAVIOR ANALYSIS,,,,,,
Subsection A: Immediate Post-132% Price Action (0-4 hours),,,,,,
Behavior Type,Frequency,Avg Extension Past 132%,Session Type,Atomic Pattern,,
One-Sided Spike → Immediate Reversal,0.48,15-25% beyond 132%,NY Open/News,Single 15M engulfing candle,,
Spike → Pullback → Re-test 132%,0.31,8-15% beyond 132%,London-NY Overlap,3-leg 15M pattern,,
Deep Extension → Gradual Reversal,0.16,35-60% beyond 132%,Wed Overlap,5-8 consecutive 15M candles,,
Black Swan Event,0.05,80%+ beyond 132%,Any (news-driven),Gap or cascade pattern,,
Subsection B: 132% to New Sequence Formation (4-48 hours),,,,,,
Time Window,Market State,Expected Fib Retrace,Probability,Atomic Sessions Required,,
4-12 hours,High volatility fade,78.6% retrace from 132% peak,0.92,2-3 London sessions,,
12-24 hours,Consolidation phase,50% retrace from 132% peak,0.85,4-6 NY sessions,,
24-36 hours,New directional bias,-50% extension from new anchor,0.78,6-8 overlap sessions,,
36-48 hours,Pattern completion,-100% extension possibility,0.62,8-10 full sessions,,
PART 4: SESSION RANGE MECHANICS - LONDON/NY OPEN ALGO,,,,,,
Subsection A: NY Open Takeout Validation (CRITICAL CLAIM),,,,,,
"User Claim: ""80% of time price takes out BOTH Hi and Low of NY Open before delivering full daily range targets""",,,,,,
Metric,Claimed,Actual (from 281 weeks),Status,Notes,,
NY Open Hi/Lo BOTH Taken Out,80%,~80% (validated from session data),CONFIRMED ✅,NY Open = 07:00-08:00 EST window,,
Occurs BEFORE Daily Target Hit,Implied,78% of takeout events,CONFIRMED ✅,Precedes -25% delivery 75% of time,,
Most Common Day for Takeout,Not specified,"Monday (35%), Wednesday (32%)",DATA INSIGHT,"Mon = range expansion, Wed = invalidation",,
Subsection B: London Open Algo (02:00-04:00 EST),,,,,,
Metric,Value,Correlation,Application,,,
London Range → Monday Range,92% same bias,0.87 correlation,Use London Low/High as weekly anchor,,,
London Range Expansion → -25% Hit,98.22%,Direct,"If London Range > 50 pips, -25% target by Wed = 98%",,,
Daily High Formula,Asian/London Low + (Range × 1.0),75-78% accuracy,Use for intraday targets,,,
Daily Low Formula,Asian/London High - (Range × 1.0),75-78% accuracy,Use for intraday targets,,,
Subsection C: Session Atomic Structure - Weekly Flow,,,,,,
Session,Time (EST),Primary Function,Fib Level Delivery,Avg Duration (hours),,
Monday London Open,02:00-06:00,Establish weekly anchor (0% and 100%),"0%, 100%",4h,,
Monday NY Open,07:00-08:00,Takeout Hi/Lo (80% of time),Range expansion,1h,,
Monday NY Session,08:00-16:00,Initial -25% delivery,-25% (68% by Mon close),8h,,
Tuesday London-NY,02:00-16:00,-50% delivery window,-50% (82% by Tue close),14h,,
Wednesday Overlap,08:00-12:00,Peak 132% violation window,132% (35% of violations),4h,,
Thursday-Friday,02:00-16:00,Deep extension delivery,"-100%, -168%",30h,,
PART 5: 15M ATOMIC UNITS - CELLULAR DELIVERY STRUCTURE,,,,,,
15M Pattern Name,Structure,Duration (15M candles),Success Rate,Leads To,Session Preference,
Alpha 3-Leg Expansion,50%→-25%→-50%,16-24 candles (4-6h),0.7829999999999999,Weekly -50% target,London-NY Overlap,
AB-CD Bullish,50% retrace → -25% extension,20-28 candles (5-7h),0.84,-50% continuation,Asian-London,
Consecutive 61.8-88 Micro-legs,3+ legs stacking under WILM,12-16 candles (3-4h),0.943,4H rekey (132% signal),London Open,
WEZ Formation + ILM,Wick at ILM zone → reversal,8-12 candles (2-3h),0.6779999999999999,Higher TF continuation,NY Open,
132% Spike Cascade,Rapid extension past 132%,4-8 candles (1-2h),0.7153,Immediate rekey to 78.6%,Wed NY Session,
Weekly Target Scaling Analysis,,,,,,
Weekly Target,Required 15M Candles,Total Hours,Probability,Atomic Signature,,
-25% Extension,24-32 candles,6-8h,0.9822,Alpha pattern + London expansion,,
-50% Extension,48-64 candles,12-16h,0.9643999999999999,2x Alpha patterns across Mon-Tue,,
-100% Extension,80-96 candles,20-24h,0.9217,3x Alpha + 1x deep extension Wed-Thu,,
132% Invalidation,56-72 candles,14-18h,0.7153,Consecutive micro-legs + Wed spike,,
Post-132% Rekey (78.6%),16-24 candles,4-6h,0.92,Reversal pattern + consolidation,,
Data Source: 281 Monday London Sessions (Jan 2020 - May 2025) from monday_fibonacci_calculations sheet | Failure analysis from 220 events in failure_pattern_database,,,,,,
