Asian Prediction Success:,512 (82.71%),,,,,,,
Asian Prediction Failures:,107 (17.29%),,,,,,,
Analysis Period:,2023-2025 (15M data) + 2020-2025 (Monday weekly),,,,,,,
Total Weeks Analyzed:,281,,,,,,,
Tolerance Levels Tested:,"±0.15, ±0.25, ±0.50",,,,,,,
"EXACT FIBONACCI TARGET HIT RATES - ALL LEVELS (281 Weeks, Jan 2020 - May 2025)",,,,,,,,
Fib Level,Claimed Hit Rate,Actual Hit Rate,Hits Count,Total Weeks,Variance,Status,Avg Time to Hit,Notes
Fib -25%,90%,0.9822,276,281,0.0822,EXCEEDS CLAIM,24 hours,Strongest predictor
Fib -50%,82%,0.9644,271,281,0.1444,EXCEEDS CLAIM,36-39 hours,Exceptional reliability
Fib -100%,Not Claimed,0.9217,259,281,,VALIDATED,48 hours,Strong extension
Fib -168%,Not Claimed,0.8719,245,281,,VALIDATED,60 hours,Deep extension
Fib 132% Violation,95%,0.7153,201,281,-0.2347,REQUIRES REVISION,33-42 hours,100% REKEY RATE (195/195)
Fib 0%,100%,1,281,281,0,PERFECT,0 hours (anchor),Monday Range anchor
Fib 100%,100%,1,281,281,0,PERFECT,0 hours (anchor),Monday Range anchor
ASIAN SESSION PREDICTIVE ACCURACY ACROSS THREE TOLERANCES,,,,,,,,
Tolerance,Correct Predictions,Failed Predictions,Total Asian Sessions,Accuracy %,Delta from Baseline,Status,,
±0.15 (Baseline),512,107,619,0.8271,0,VALIDATED,,
±0.25 (Expanded),553,66,619,0.8934,0.0663,STRONG IMPROVEMENT,,
±0.50 (Widest),600,19,619,0.9693,0.1422,EXCEPTIONAL,,
KEY FINDING:,"Asian session shows strong predictive power with accuracy improving significantly at wider tolerances, suggesting ±0.25 as optimal balance between precision and reliability.",,,,,,,
INVESTIGATING THE 17.29% ASIAN SESSION FAILURES (107 Sessions),,,,,,,,
FAILURE PATTERN CATEGORIES,,,,,,,,
Failure Category,Count,% of Failures,Typical Signature,Rekey Probability,Associated Fib Level,,,
Wednesday 132% Violation During Asian,37,0.346,Asian range expansion followed by 132% hit same day,100%,132% Level,,,
Asian Range Contraction (< 0.5 Monday Range),28,0.262,"Narrow Asian range, fails to predict direction",45%,No specific level,,,
