-25%,29,Largest Pullback,Medium,Largest average pullback at shallow extension
-50%,27.8,Consistent Mid-Range,Medium,Reliable mid-point behavior
132%,26.8,Invalidation Zone,High,Rekey trigger pullback zone
168%,24.2,Smallest Pullback,Low,"Fastest delivery, smallest retracement"
SECTION 2: KEY METRICS SUMMARY,,,,
Total Level Hits Analyzed:,796,,,
Pullback Range:,24-29 pips across all levels,,,
Key Finding:,"Average pullbacks range 24-29 pips, enabling predictable stop loss placement",,,
SECTION 3: TRADING IMPLICATIONS,,,,
-25%,32,Wait for pullback completion,1:2.5,
-50%,30,Scale in at level,1:2.0,
132%,29,Exit immediately,N/A (Rekey),
168%,27,Final target zone,1:3.0,
