output,status,recommendation,requires
true_false_loner_taxonomy,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,tradability_audit
pre_event_divergence,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,conditional_models
post_event_peer_paths,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,classification_validation
sigma_recovery_clock,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,conditioning_analysis
price_rank_health_matrix,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,stability_validation
health_stress_response,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,perturbation_design
active_liquidity,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,joint_model
broad_up_down_mirror,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,peer_controlled_recheck
hh_true_peer_anatomy,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,field_context_integration
basket_dispersion,DESCRIPTIVE,DESCRIPTIVE,none
triangle_pilot,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,subperiod_validation
local_sequences,PARTIAL,PARTIAL,purged_fdr_validation
