path,class/function,role,classification,canonical_match,scientific_difference,execution_risk,repair_required,notes
quant-lab/engines/triangular_basis_live.py,TriangularBasisLiveEngine,strategy wrapper (basis/z/ATR/session/intent lifecycle),ADOPT_AS_IS,exact (z parity 2.25e-12 / 0 entry mismatch),none in normalization,low,"config upgrade only (separate class)",causal previous-200 ddof=0 normalization is exact; wrapper is thin and delegates math
quant-lab/engines/triangular_basis_live.py,TriangularBasisLiveEngine._default_config,forward config (entry/exit thresholds),ADOPT_WITH_MECHANICAL_REPAIR,NOT canonical (2.5/0 vs 3.0/-0.25),entry 2.5 vs 3.0 + exit 0.0 vs signed -0.25,low,"set entry 3.0 + signed exit + daily-loss cap",old control config; P7 primary NOT implemented
quant-lab/engines/triangular_basis_live.py,_check_close_condition,exit geometry,ADOPT_WITH_MECHANICAL_REPAIR,partial (control symmetric correct; P7 signed not expressible),single BASIS_EXIT_Z cannot express SHORT -0.25 / LONG +0.25,high if misconfigured,"add signed exit (SHORT z<=-0.25, LONG z>=+0.25)",proven by synthetic test: naive EXIT_Z=-0.25 exits LONG at 0.0
quant-lab/engines/triangular_basis_live.py,_build_entry_intent,direction/size mapping,ADOPT_AS_IS,exact,none,low,none,z>0 SHORT (GA- GN+ AN-); z<0 LONG; strict > threshold
quant-lab/engines/triangular_basis_live.py,_default_config + loop,daily-loss cap,-REPLACE (missing),missing -500 pips/session-day cap,missing risk gate,medium,add daily-loss cap,canonical daily loss cap absent from live wrapper
quant-lab/engines/triangular_execution_contract.py,BrokerLegIntent/BasketExecutionIntent/ContractSpec,typed contract,ADOPT_AS_IS,exact (model_weight != lots),none,low,none,clean typed contract separating model weight from MT5 lots
quant-lab/engines/triangular_execution_contract.py,model_weight_to_notional/notional_to_mt5_lots,weight->notional->lot,ADOPT_AS_IS,correct mechanics,none,low,verify quote_to_account_rate is live (R4),mechanics correct; conversion rate must be live not frozen
quant-lab/engines/triangular_execution_contract.py,compute_currency_exposure/assess_basket_neutrality,neutrality assessment,ADOPT_AS_IS,correct measurement,measures but does NOT project to neutral,low,wire in canonical project_basket as the weight INPUT,measures residual from RAW weights (34.84% median) - gate passes only for TB-B
quant-lab/engines/triangular_execution_contract.py,size_and_assess_basket/find_minimum_viable_notional,sizing search,ADOPT_AS_IS,correct execution scalar,none,low,use TB-B weights as input,$500 notional 0/405 pass (raw weights); TB-B weights needed for low notional
quant-lab/mt5/triangular_execution_layer.py,TriangularExecutionLayer,atomic basket execution,ADOPT_AS_IS,matches R5 spec (3-fill verify / BROKEN_HEDGE flatten),none,low (mock-tested),"persistence wiring (R6)",state machine PENDING->PRECHECK->SENDING->VERIFYING->OPEN + BROKEN_HEDGE->ABORTED_FLAT; no per-leg SL/TP
quant-lab/mt5/triangular_execution_layer.py,_precheck_all_three/_verify_fills,_supported_filling_modes,preflight + fill truth + fill modes,ADOPT_AS_IS,correct,reads broker filling_mode dynamically,low,none,order_check all 3 before send; PLACED != FILLED
quant-lab/mt5/triangular_execution_layer.py,_get_contract,broker metadata,ADOPT_AS_IS,dynamic (mt5.symbol_info),none,low,none,reads trade_contract_size/volume_min/max/step/point/digits at runtime
quant-lab/mt5/triangular_basis_executor.py,run_loop + CLI --mode,orchestration + execution mode,ADOPT_WITH_MECHANICAL_REPAIR,mode default is trade,none,CRITICAL (can send orders by default),default --mode shadow + require explicit trade flag + hard LIVE disable,--mode choices [replay,shadow,trade] default=trade is a fail-open safety defect
quant-lab/mt5/triangular_basis_executor.py,verify_demo_identity + netting warn,demo gate,ADOPT_WITH_MECHANICAL_REPAIR,verify present but --once path continues on failure,netting only warns (R0 says fail closed),medium,exit on demo-identity failure in all paths + fail closed on netting-overlap,--once catches AssertionError and continues
quant-lab/engines/mt5_triangular_data_feed.py,TriangularDataFeed + SYMBOL_MAP,3-leg synchronized bar feed,ADOPT_WITH_MECHANICAL_REPAIR,bar sync correct (closed-bar + common timestamp),hardcoded .PRO map + no staleness/age gate,medium,runtime symbol probe + max_quote_age/max_cross_leg_skew rejection,up to 5-bar lookback skew tolerated; no tick age/staleness rejection (R2 gap)
quant-lab/engines/mt5_triangular_data_feed.py,_est_hour/_mt5_time_to_datetime,time semantics,ADOPT_AS_IS,fixed UTC-5 matches canonical,none,low,none,utcfromtimestamp + fixed -5h consistent with engine _est_hour
quant-lab/engines/tb_live_parity.py,run_path_a/run_path_b,historical parity harness,ADOPT_AS_IS (for control),validates old 2.5/0 only,does not cover P7 config,low,extend for P7 (3.0/-0.25),405/405 PASS old config; independent bar replay then compare (not precomputed-event feeding)
quant-lab/engines/tb_live_exec_sim.py,mock MT5 harness,execution simulator,ADOPT_AS_IS,n/a (infra test),none,low,none,covers partial-fill/failure scenarios without broker
quant-lab/engines/tb_live_exec_seal.py,real order_check preflight,broker execution seal,ADOPT_AS_IS,order_check only (no order_send),none,low,none,real contract/ticks/conversion via mt5.symbol_info
quant-lab/engines/tb_live_shadow_04a.py + triangular_basis_shadow_guard.py,shadow runtime + guard,shadow mode,ADOPT_AS_IS,order_send monkeypatched off,none,low,align to R7 runner,non-bypassable shadow guard present
quant-lab/engines/triangular_basis_engine.py,Config (in-file),legacy engine config,REPLACE (do not import as truth),DRIFTED (100/3.0/5.0),100/3.0/5.0 vs canonical 200/2.5/6.0,high if imported raw,wrapper must keep overriding; do not use in R3,sealed pipeline (tb_p5_validate 200/2.5/6.0) is truth; this file is stale
quant-lab/configs/strategy_registry.py,get_magic/verify_unique_magnetics,magic registry,ADOPT_AS_IS,correct (TB magic 31082026),none,low,none,magic collision check used by executor
