node,type,status,note
GLOBAL FIELD STATE (HH/HL/LH/LL),GLOBAL_STATE,EARNED,MECH-9..15
CONSTRAINT CONDITION (HA/LA x HE/LE),AXIS,EARNED,MECH-14 WS15 age-residualized; spatial x temporal independent
16-CELL MARKET FIELD MATRIX,SURFACE,PASS_MECH15_REDUCED_MATRIX,recommended surface = 6 cells
STATE x AGE INTERACTION,OVERLAY,EARNED,MECH-14 WS2; MECH-15 WS7/8
AGE-RESIDUALIZED CONSTRAINT-ENTROPY,COORDINATE,EARNED,MECH-14 WS4
COMMON FORCING + PATCH THRESHOLDS,FORCING,EARNED,MECH-14 WS12; MECH-15 WS10/11/20
INITIATION EQUIFINALITY + ARCHETYPES,LOCAL,EARNED,MECH-14 WS7/8; MECH-15 WS13/14
WATERFALL SUBTYPES,SEQUENCE,REPAIRED,n_subperiods corrected; threshold ordering under common forcing
DIRECTIONAL CONSTRAINT,ASYMMETRY,EARNED,sign is 2nd-order accumulated constraint
DISTURBANCE->ABSORPTION->RESIDUAL,DISTURBANCE,PILOT,pilot only
RELATIONAL STATE (Agent 2),OVERLAY,DOWNSTREAM,not part of core matrix
ASSET HEALTH (PRD),OVERLAY,DOWNSTREAM,not part of core matrix
