node,operation,strength,source,note
P:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,NEW_NODE,LOCAL_SEQUENCE,WS2,"n=56, lift=2.805, q=0.0"
P:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,NEW_NODE,LOCAL_SEQUENCE,WS2,"n=51, lift=2.654, q=0.0"
BREADTH_DIVERGENCE_acceleration,NEW_NODE,ROBUST,WS3,earliest at +5D
BREADTH_DIVERGENCE_btc_ret30,NEW_NODE,ROBUST,WS3,earliest at +0D
BREADTH_DIVERGENCE_dispersion,NEW_NODE,ROBUST,WS3,earliest at +0D
BREADTH_DIVERGENCE_level,NEW_NODE,ROBUST,WS3,earliest at +0D
BREADTH_DIVERGENCE_pos_ret_share,NEW_NODE,ROBUST,WS3,earliest at +0D
BREADTH_DIVERGENCE_velocity,NEW_NODE,ROBUST,WS3,earliest at +0D
BREADTH_TRANSMISSION_STAGE,NEW_NODE,6_earliest_coords,WS3,
TWO_CLOCK_PROSPECTIVE,NEW_NODE,"CIF reentry=0.416, prop=0.216",WS5,
TERMINATION_MICROSEQUENCE,DESCRIPTIVE_ONLY,n_abrupt=0,WS6,
RETEST_RELOAD,DESCRIPTIVE_ONLY,MECH-5 WS3 null preserved,MECH-5,
ACCUMULATION_LIKE,MERGE,absorbed by breadth (MECH-4/5),MECH-4,
VOLATILITY_INCREMENTAL_GATE,DISSOLVE,no incremental success/failure info (MECH-5),MECH-5,
MOTIF_SUBFAMILY,NULL,0 significant subfamily splits,WS4,
