component,status,role
anchors,CAUSAL_STATE_PRIMITIVE,SURVIVES
volatility,CAUSAL_STATE_PRIMITIVE,SURVIVES
morphic_coordinates,CAUSAL_STATE_PRIMITIVE,SURVIVES
sigma_state,CAUSAL_STATE_PRIMITIVE,SURVIVES
state_transition,CAUSAL_DESCRIPTIVE_PRIMITIVE,SURVIVES
acceptance,PRUNED_PREDICTIVE,PRUNED
rkey_a,PRUNED_PREDICTIVE,PRUNED
rkey_b,PRUNED_PREDICTIVE,PRUNED
rkey_c,ARCHIVED_INSUFFICIENT_N,ARCHIVED
model_a,REJECTED_REDUNDANT,REJECTED
model_b,REJECTED_REDUNDANT,REJECTED
model_c,ARCHIVED_CONDITIONAL_NOT_INCREMENTAL,ARCHIVED
model_d,BLOCKED_LOGIC_SPEC,BLOCKED
model_e,BLOCKED_LOGIC_SPEC,BLOCKED
generate_all_signals,BLOCKED_AGGREGATE,BLOCKED
