output,status,recommendation,requires
dynamic_relational_state,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,network_time_series
peer_lifetime_paradox_resolution,COMPUTED,PROMOTE_AS_PRIMARY_OBJECT,continuous_state_series
membership_entropy,COMPUTED,KEEP_TIGHT,entropy_drift_audit
reorg_response_curves,COMPUTED,PROMOTE_AS_PRIMARY_LENS,amplitude_conditioning
timing_precedence,COMPUTED,PROMOTE_AS_LOCAL_SENSOR,lead_time_validation
false_loner_decomposition,COMPUTED,MERGE_WITH_LF6_FALSE_LONER_ONTOLOGY,none
true_loner_subtypes,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,purged_fdr
rejoin_contagion_decoupling_lattice,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,purged_fdr
directional_relational_asymmetry,PRIORITY,PROMOTE_AS_PRIMARY_OBJECT,symmetric_replication
prd_relational_health,PARTIAL,PURGED_FDR_VALIDATION,peer_forward_validation
relational_state_info_gain,COMPUTED,FALSIFIED_AS_PREDICTOR_KEEP_AS_OBJECT,predictive_robustness_audit
