edge,label,evidence
CAPACITY->ABSORPTION,SUPPORTED,capacity surface (09): absorption rises with structural x recovery bands; PC1-3 reconstruct absorption (06)
CAPACITY->PROPAGATION,SUPPORTED,propagation reconstruction with 2-3 capacity components (06); bottleneck surface (08)
RECENCY->PROPAGATION,SUPPORTED,short (3-7d) memory discriminates forward outcomes (03); recency x shock interaction AMPLIFIES (14)
SHOCK_MAGNITUDE->EARLY_REACH,SUPPORTED,mechanism surface: shock magnitude rho 0.27 on radius; early reach driven by magnitude+stress (12/13)
EARLY_REACH->CONTAGION_TEMPO,SUPPORTED,species trajectories differ in static reach (15); fast region defined by latency<=1d high reach (17)
ABSORPTION->PROPAGATION,REDUNDANT-BYPASSABLE,absorbed events never propagate but propagation occurs without absorption failure (10)
PROPAGATION->CONTAINMENT,SUPPORTED,0.79 of contagion events contained; 0.21 decouple (10); 2x2 distinct environments (11)
PROPAGATION->DECOUPLING,CONDITIONAL,decoupling downstream of contagion only 0.21; 0.22 of decoupling has NO contagion (10/21)
RANK_HEALTH_DECAY->DECOUPLING,SUPPORTED,decoupling via independent health pathway (21); decoupling classification HEALTH_DECAY (22)
CONTAGION_TEMPO->REACTIVATION,SUPPORTED,reactivation concentrates in 0-7d after prior contagion (0.93 vs 0.68 baseline) (19)
REACTIVATION->DECOUPLING,NULL,reactivation rate high in all species (0.59-0.74) but decoupling share differs by species (19/18) — no clean edge
SIGN_ASYMMETRY->PROPAGATION,SUPPORTED-CONDITIONAL,downside propagation gap emerges in thin-liquidity low-rank cells (24); significant residual after controls (28)
SIGN_ASYMMETRY->DECOUPLING,CONDITIONAL-REVERSED,decoupling/reactivation gaps run upside-higher in this partition (27/25) — stage matters
LIQUIDITY<->RANK_HEALTH,CONDITIONAL,"coupled but distinct (05); rank health partially substitutes liquidity, liquidity cannot rescue structure (07)"
STRUCTURAL_INTEGRITY->CAPACITY_FAMILIES,SUPPORTED,structural bottleneck: weakness not rescued by liquidity/rank health (08)
VERDICT,LOOSE_RELATION_MAP,edges are SUPPORTED/CONDITIONAL/NULL — no causal DAG claim; several links are bypassable (absorption->propagation) and one reversed (sign->decoupling)
