family_a,family_b,cell,n,absorption,propagation,containment,decoupling,note
structural,liquidity,BOTH_STRONG,1359,0.1553,0.2524,0.181,0.3311,
structural,liquidity,A_STRONG_B_WEAK,419,0.0811,0.3174,0.2601,0.2315,
structural,liquidity,A_WEAK_B_STRONG,419,0.0119,0.2148,0.1599,0.3437,
structural,liquidity,BOTH_WEAK,1359,0.028,0.3142,0.2634,0.2185,
structural,rankhealth,BOTH_STRONG,1512,0.1528,0.256,0.1845,0.3333,
structural,rankhealth,A_STRONG_B_WEAK,312,0.0513,0.3365,0.2821,0.1731,
structural,rankhealth,A_WEAK_B_STRONG,314,0.0,0.2229,0.1656,0.4108,
structural,rankhealth,BOTH_WEAK,1509,0.0278,0.3042,0.2545,0.2187,
structural,stress,BOTH_STRONG,1126,0.1625,0.2735,0.1989,0.3073,
structural,stress,A_STRONG_B_WEAK,698,0.0917,0.2636,0.2049,0.3037,
structural,stress,A_WEAK_B_STRONG,698,0.0301,0.2779,0.2278,0.2579,
structural,stress,BOTH_WEAK,1125,0.0187,0.2978,0.2462,0.248,
structural,recovery,BOTH_STRONG,726,0.0882,0.1529,0.1074,0.3636,
structural,recovery,A_STRONG_B_WEAK,1098,0.1667,0.347,0.2632,0.2678,
structural,recovery,A_WEAK_B_STRONG,1198,0.0125,0.192,0.1586,0.2771,
structural,recovery,BOTH_WEAK,625,0.0432,0.4784,0.3936,0.2032,
liquidity,rankhealth,BOTH_STRONG,1554,0.1358,0.2471,0.175,0.352,
liquidity,rankhealth,A_STRONG_B_WEAK,224,0.0223,0.2188,0.183,0.2098,
liquidity,rankhealth,A_WEAK_B_STRONG,224,0.0893,0.2812,0.2321,0.308,
liquidity,rankhealth,BOTH_WEAK,1554,0.0335,0.3198,0.2671,0.2091,
liquidity,stress,BOTH_STRONG,1038,0.159,0.2611,0.1821,0.3333,
liquidity,stress,A_STRONG_B_WEAK,740,0.0689,0.2189,0.1676,0.3351,
liquidity,stress,A_WEAK_B_STRONG,740,0.0527,0.2946,0.2473,0.2243,
liquidity,stress,BOTH_WEAK,1038,0.0318,0.3295,0.2736,0.2197,
liquidity,recovery,BOTH_STRONG,820,0.0744,0.1268,0.0817,0.4,
liquidity,recovery,A_STRONG_B_WEAK,958,0.1618,0.3434,0.2568,0.2777,
liquidity,recovery,A_WEAK_B_STRONG,1064,0.016,0.2209,0.187,0.2387,
liquidity,recovery,BOTH_WEAK,714,0.077,0.4552,0.3754,0.1961,
rankhealth,stress,BOTH_STRONG,1088,0.1599,0.2647,0.1866,0.3392,
rankhealth,stress,A_STRONG_B_WEAK,738,0.0772,0.229,0.1734,0.3577,
rankhealth,stress,A_WEAK_B_STRONG,736,0.0408,0.2908,0.2446,0.2133,
rankhealth,stress,BOTH_WEAK,1085,0.0258,0.3226,0.2691,0.2092,
rankhealth,recovery,BOTH_STRONG,770,0.0779,0.1195,0.0727,0.426,
rankhealth,recovery,A_STRONG_B_WEAK,1056,0.1619,0.3456,0.2604,0.2888,
rankhealth,recovery,A_WEAK_B_STRONG,1154,0.0165,0.2158,0.1837,0.2322,
rankhealth,recovery,BOTH_WEAK,667,0.0585,0.4723,0.3898,0.1739,
stress,recovery,BOTH_STRONG,875,0.0651,0.1634,0.1223,0.3246,
stress,recovery,A_STRONG_B_WEAK,949,0.1549,0.3783,0.2908,0.255,
stress,recovery,A_WEAK_B_STRONG,1049,0.021,0.1888,0.1535,0.2974,
stress,recovery,BOTH_WEAK,774,0.0814,0.4147,0.3346,0.2313,
VERDICT,PARTIAL_ONE_WAY_SUBSTITUTION,,,,,,,rank health partially compensates thin liquidity (absorption recovered vs both-weak baseline) but liquidity does NOT rescue weak structural integrity — structural deficit behaves as the harder constraint
