n_components,outcome,purged_auc,cum_variance,eigenvalues,note
1,absorbed,0.7528,0.5388,2.6946,
1,propagated,0.514,0.5388,2.6946,
1,stg_containment,0.5421,0.5388,2.6946,
1,stg_decoupling,0.5749,0.5388,2.6946,
2,absorbed,0.7635,0.7387,"2.6946, 0.9998",
2,propagated,0.7131,0.7387,"2.6946, 0.9998",
2,stg_containment,0.7097,0.7387,"2.6946, 0.9998",
2,stg_decoupling,0.6197,0.7387,"2.6946, 0.9998",
3,absorbed,0.7626,0.9093,"2.6946, 0.9998, 0.8536",
3,propagated,0.7504,0.9093,"2.6946, 0.9998, 0.8536",
3,stg_containment,0.7507,0.9093,"2.6946, 0.9998, 0.8536",
3,stg_decoupling,0.6305,0.9093,"2.6946, 0.9998, 0.8536",
4,absorbed,0.7668,0.9781,"2.6946, 0.9998, 0.8536, 0.344",
4,propagated,0.7518,0.9781,"2.6946, 0.9998, 0.8536, 0.344",
4,stg_containment,0.7513,0.9781,"2.6946, 0.9998, 0.8536, 0.344",
4,stg_decoupling,0.6303,0.9781,"2.6946, 0.9998, 0.8536, 0.344",
5,absorbed,0.7667,1.0,"2.6946, 0.9998, 0.8536, 0.344, 0.1095",
5,propagated,0.7533,1.0,"2.6946, 0.9998, 0.8536, 0.344, 0.1095",
5,stg_containment,0.7563,1.0,"2.6946, 0.9998, 0.8536, 0.344, 0.1095",
5,stg_decoupling,0.6479,1.0,"2.6946, 0.9998, 0.8536, 0.344, 0.1095",
PC1,top_loadings,,,cap_rankhealth=0.5667; cap_liquidity=0.5359,
PC2,top_loadings,,,cap_recovery=0.7639; cap_stress=-0.4976,
PC3,top_loadings,,,cap_stress=0.8174; cap_recovery=0.5685,
VERDICT,,3_COORDINATES_SUFFICE,0.9093,,PC1-3 capture majority of family variance; absorption/persistence reconstruct adequately with 3 coordinates (structural + resource/liquidity + stress/recency)
