case,ok,retcode,error_category,reason
not connected,false,,NOT_CONNECTED,"not connected"
invalid quantity,false,,INVALID_REQUEST,"zero quantity"
symbol unavailable,false,,SYMBOL_UNAVAILABLE,"symbol unavailable: <symbol>"
fill unresolved,false,,UNSUPPORTED_CAPABILITY,"fill policy unresolved: <policy>"
order_check None,false,,ORDER_CHECK_FAILED,"order_check returned None"
order_check reject,false,10030,ORDER_CHECK_FAILED,"order_check failed (retcode=10030)"
order_send None,false,,TRANSPORT_ERROR,"order_send returned None"
order_send reject,false,10030,ORDER_REJECTED,"order rejected (retcode=10030)"
order_send success retcode 0,true,0,NONE,""
order_send success 10009,true,10009,NONE,""
cancel success,true,10009,NONE,""
cancel failure,false,10030,ORDER_REJECTED,"cancel rejected (retcode=10030)"
close success,true,10009,NONE,""
close failure,false,10030,ORDER_REJECTED,"close rejected (retcode=10030)"
