output,status,recommendation,requires
peer_validity_reclassification,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,network_time_series
peer_family_dependence,COMPUTED,REDUCE_PEER_VIEWS,redundancy_validation
dynamic_peer_formation,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,formation_driver_validation
absolute_vs_sigma_shock_matrix,COMPUTED,PROMOTE_AS_PRIMARY_LENS,amplitude_conditioning
false_loner_artifact_audit,COMPUTED,MERGE_WITH_LF6_FALSE_LONER_ONTOLOGY,none
upside_loner_classification,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,upside_validation
up_down_asymmetry,PRIORITY,PROMOTE_AS_PRIMARY_OBJECT,symmetric_replication
loner_state_machine,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,markov_relaxation
early_warning_loner_audit,L2_DESCRIPTIVE,PROMOTE_AS_LOCAL_SENSOR,purged_fdr
global_local_asset_triangle,COMPUTED,KEEP_TIGHT,held_out_replication
local_sequence_atlas,PARTIAL,PURGED_FDR_VALIDATION,subperiod_validation
