strategy_id,family_id,variant_type,asset,source_state_ids,mechanism_type,expected_resolution_path,execution_object,direction_logic,entry_state,entry_trigger,decision_timestamp_rule,execution_timestamp_rule,exit_rule,invalidation_rule,time_exit,max_holding_period,cost_model,funding_accounting,control_id,direction_evidence,moving_leg,alt_risk,threshold_ref,exit_precedence,required_data,causality_notes,known_failure_modes,status
ALPHA1_S001,FAM_A,PRIMARY_MECHANISM,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE', 'ETH_B3_ELEVATED_NEGATIVE', 'ETH_B4_EXTREME_NEGATIVE']",EXTREME_NEGATIVE_BASIS_DISLOCATION,"basis drifts to normal band; resolution slow (>4h), may expand first",perp,long_perp_when_extreme_neg_basis,B4_EXTREME_NEGATIVE or B3_ELEVATED_NEGATIVE,STATE_ENTRY — first bar close where basis crosses below p90_abs threshold,bar close (1h),next bar open (1h+tick),E1: basis normalizes to B1_NORMAL or weaker; or E3: time exit,basis expands beyond p99_abs or moves to B_EXTREME_POS; funding stays positive while basis negative,8h,24h,BASE_COST,FULL,ALPHA1_C006,MECH_2_STATE_INFO: B4 SMD=-0.94/-0.73,PERP_TOWARD_SPOT,spot declines toward perp,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",state at t uses only information available by t (causal basis lagged 5m to 1h depending on resolution),basis expands further; funding does not confirm; systemic stress overrides,PREREGISTERED_FOR_ALPHA2
ALPHA1_S002,FAM_A,ALTERNATIVE_EXPRESSION,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE', 'ETH_B3_ELEVATED_NEGATIVE', 'ETH_B4_EXTREME_NEGATIVE']",EXTREME_NEGATIVE_BASIS_DISLOCATION,"basis drifts to normal band; resolution slow (>4h), may expand first",spot+perp hedge,long_perp_short_spot (capture basis normalization),B4_EXTREME_NEGATIVE,STATE_ENTRY — basis enters extreme negative,bar close (1h),next bar open (1h+tick),E2: basis resolves >50% toward zero; or E3: time exit,basis expands further >p99_abs; spot-perp correlation breaks,24h,48h,BASE_COST,FULL,,MECH_2_STATE_INFO: B4 SMD=-0.94/-0.73,PERP_TOWARD_SPOT,spot declines toward perp,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",state at t uses only information available by t (causal basis lagged 5m to 1h depending on resolution),basis expands further; funding does not confirm; systemic stress overrides,PREREGISTERED_FOR_ALPHA2
ALPHA1_S003,FAM_A,ALTERNATIVE_EXPRESSION,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE', 'ETH_B3_ELEVATED_NEGATIVE', 'ETH_B4_EXTREME_NEGATIVE']",EXTREME_NEGATIVE_BASIS_DISLOCATION,"basis drifts to normal band; resolution slow (>4h), may expand first",perp,long_perp_on_basis_transition_extreme,B4_EXTREME_NEGATIVE,STATE_TRANSITION — basis transitions from B3_ELEVATED_NEGATIVE to B4_EXTREME_NEGATIVE,bar close (1h),next bar open (1h+tick),E1: state exits B4; or E3: time exit,basis immediately reverts to B3 within 1h (false transition); funding direction contradicts,4h,12h,BASE_COST,FULL,,MECH_2_STATE_INFO: B4 SMD=-0.94/-0.73,PERP_TOWARD_SPOT,spot declines toward perp,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",state at t uses only information available by t (causal basis lagged 5m to 1h depending on resolution),basis expands further; funding does not confirm; systemic stress overrides,PREREGISTERED_FOR_ALPHA2
ALPHA1_S004,FAM_B,PRIMARY_MECHANISM,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME']",NEGATIVE_BASIS_CROWDING_CONFIRMED,basis normalizes from negative extreme with funding mean-reversion; FAST or EXPANSION_FIRST,perp,long_perp_when_both_extreme_neg (basis+funding),B4_EXTREME_NEGATIVE + F_NEG_EXTREME or F_NEG_ELEVATED,STATE_CONFIRMATION — basis extreme AND funding extreme (both confirmed at bar close),bar close (1h),next bar open (1h+tick),E1: basis exits extreme band; or E4: funding exits extreme band (whichever first); or E3: time exit,either basis or funding worsens further beyond entry severity,8h,24h,BASE_COST,FULL,ALPHA1_C002,MECH_2_FUNDING_CROWDING: ER=0.94-1.02 bits,PERP_TOWARD_SPOT (funding tailwind),crowding intensifies,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",basis and funding both available at bar close; no future leak,crowding intensifies rather than unwinds; funding stays extreme; basis expands beyond prior peak,PREREGISTERED_FOR_ALPHA2
ALPHA1_S005,FAM_B,ALTERNATIVE_EXPRESSION,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME']",NEGATIVE_BASIS_CROWDING_CONFIRMED,basis normalizes from negative extreme with funding mean-reversion; FAST or EXPANSION_FIRST,perp,long_perp_on_persistent_crowding (hold through consecutive extreme bars),B4_EXTREME_NEGATIVE + F_NEG_EXTREME,STATE_PERSISTENCE — 2+ consecutive bars in extreme state,bar close (1h) after second consecutive bar,next bar open (1h+tick),E1: basis exits extreme; or E4: funding exits extreme band; or E3: time exit,basis expands >2x entry severity; funding flips sign,24h,48h,BASE_COST,FULL,,MECH_2_FUNDING_CROWDING: ER=0.94-1.02 bits,PERP_TOWARD_SPOT (funding tailwind),crowding intensifies,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",basis and funding both available at bar close; no future leak,crowding intensifies rather than unwinds; funding stays extreme; basis expands beyond prior peak,PREREGISTERED_FOR_ALPHA2
ALPHA1_S006,FAM_B,ALTERNATIVE_EXPRESSION,BTC_ETH,"['BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME']",NEGATIVE_BASIS_CROWDING_CONFIRMED,basis normalizes from negative extreme with funding mean-reversion; FAST or EXPANSION_FIRST,perp,"long_perp_on_funding_deepening (entry at elevated, hold into extreme)",B4_EXTREME_NEGATIVE + F_NEG_ELEVATED,STATE_ACCELERATION — funding transitions from ELEVATED to EXTREME while basis stays extreme,bar close (1h),next bar open (1h+tick),E1: basis exits extreme; or E4: funding exits both elevated and extreme bands; or E3: time exit,funding reverts to normal without basis resolution,8h,24h,BASE_COST,FULL,,MECH_2_FUNDING_CROWDING: ER=0.94-1.02 bits,PERP_TOWARD_SPOT (funding tailwind),crowding intensifies,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding",basis and funding both available at bar close; no future leak,crowding intensifies rather than unwinds; funding stays extreme; basis expands beyond prior peak,PREREGISTERED_FOR_ALPHA2
ALPHA1_S007,FAM_C,PRIMARY_MECHANISM,BTC_ETH,"['BTC_B0_NORMAL+F_NEG_ELEVATED+V_HIGH', 'BTC_B0_NORMAL+F_NORMAL+V_HIGH', 'BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL', 'BTC_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME', 'BTC_B0_NORMAL+F_NORMAL+V_EXTREME', 'BTC_B0_NORMAL+F_NEG_EXTREME+V_NORMAL', 'BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL', 'ETH_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL']",BASIS_FUNDING_VOLATILITY_COMPOSITE,"vol compresses first, then basis/funding follow; SLOW or PERSISTENT",perp,long_perp_on_triple_confirmation (extreme basis + extreme funding + high vol),basis extreme neg + funding extreme/elevated neg + vol HIGH or EXTREME,STATE_CONFIRMATION — all three axes confirmed at bar close,bar close (1h),next bar open (1h+tick),E1: basis exits extreme; or E4: vol compresses to NORMAL or LOW; or E3: time exit,any dimension worsens beyond entry severity,24h,48h,BASE_COST,FULL,ALPHA1_C003,MECH_2_STATE_INFO: L3 vol compression precedes resolution,PERP_TOWARD_SPOT (vol-aided),triple persist,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding,realized_volatility_24h","vol, basis, and funding all available at bar close with no future leak",vol stays elevated without basis resolution; triple dislocation persists through multiple funding cycles,PREREGISTERED_FOR_ALPHA2
ALPHA1_S008,FAM_C,ALTERNATIVE_EXPRESSION,BTC_ETH,"['BTC_B0_NORMAL+F_NEG_ELEVATED+V_HIGH', 'BTC_B0_NORMAL+F_NORMAL+V_HIGH', 'BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL', 'BTC_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME', 'BTC_B0_NORMAL+F_NORMAL+V_EXTREME', 'BTC_B0_NORMAL+F_NEG_EXTREME+V_NORMAL', 'BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL', 'ETH_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME', 'ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL']",BASIS_FUNDING_VOLATILITY_COMPOSITE,"vol compresses first, then basis/funding follow; SLOW or PERSISTENT",spot+perp hedge,"long_perp_short_spot; exit half on vol compression, remainder on basis resolution",basis extreme neg + funding extreme/elevated neg + vol EXTREME,STATE_CONFIRMATION — triple extreme at bar close,bar close (1h),next bar open (1h+tick),E2: partial exit (50%) when vol exits EXTREME band; remainder on basis normalization; or E3: time exit,basis expands >p99_abs; vol increases further,24h,72h,BASE_COST,FULL,,MECH_2_STATE_INFO: L3 vol compression precedes resolution,PERP_TOWARD_SPOT (vol-aided),triple persist,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","perp_price,spot_price,basis,funding,realized_volatility_24h","vol, basis, and funding all available at bar close with no future leak",vol stays elevated without basis resolution; triple dislocation persists through multiple funding cycles,PREREGISTERED_FOR_ALPHA2
ALPHA1_S009,FAM_D,PRIMARY_MECHANISM,ETH,"['ETH_ETH_LED', 'ETH_ETH_SPECIFIC']",ETH_LED_RELATIVE_DISLOCATION,"ETH normalizes relative to BTC; ETH leads, BTC follows",ETH perp,long_ETH_perp_when_ETH_specific_or_led_stress,ETH_LED or ETH_SPECIFIC,STATE_ENTRY — relative state becomes ETH_LED or ETH_SPECIFIC or SYSTEMIC_STRESS,bar close (1h),next bar open (1h+tick),E1: ETH state returns to NORMAL_CROSS_STATE or SYNCHRONIZED; or E3: time exit,state transitions to BTC_LED; ETH stress becomes ISOLATED_BTC,24h,48h,BASE_COST,FULL,ALPHA1_C004,MECH_2_BTC_ETH_SYSTEMIC: ETH-led,PERP_TOWARD_SPOT,stress becomes systemic,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","ETH_perp_price,ETH_spot_price,BTC_perp_price,BTC_spot_price,ETH_basis,BTC_basis,ETH_funding,BTC_funding",relative state from MECH-2 uses only information at t,ETH stress becomes systemic; relative dislocation narrows via BTC worsening,PREREGISTERED_FOR_ALPHA2
ALPHA1_S010,FAM_D,ALTERNATIVE_EXPRESSION,ETH,"['ETH_ETH_LED', 'ETH_ETH_SPECIFIC']",ETH_LED_RELATIVE_DISLOCATION,"ETH normalizes relative to BTC; ETH leads, BTC follows",BTC/ETH relative basket,long_ETH_perp_short_BTC_perp_on_ETH_led_stress,ETH_LED or ETH_SPECIFIC,STATE_ENTRY — ETH_LED or ETH_SPECIFIC confirmed,bar close (1h),next bar open (1h+tick),E1: state returns to SYNCHRONIZED or NORMAL_CROSS_STATE; or E3: time exit,state becomes SYSTEMIC_STRESS (both assets stressed); relative basis narrows via BTC dislocation,24h,48h,BASE_COST,FULL,,MECH_2_BTC_ETH_SYSTEMIC: ETH-led,RELATIVE_ETH_TO_BTC,stress becomes systemic,ALPHA1_1_THRESHOLD_V1 / MECH_2_STATE_DEFINITIONS.json,"1=INVALIDATION,2=STATE_EXIT,3=PARTIAL,4=TIME","ETH_perp_price,ETH_spot_price,BTC_perp_price,BTC_spot_price,ETH_basis,BTC_basis,ETH_funding,BTC_funding",relative state from MECH-2 uses only information at t,ETH stress becomes systemic; relative dislocation narrows via BTC worsening,PREREGISTERED_FOR_ALPHA2
