capability,CoinMarketCap,CoinPaprika,CoinGecko,DexScreener,DexPaprika,Binance,Bybit,OKX,Hyperliquid,Nomics
historical rank,"PRIMARY_VERIFIED: internal data-api listings/historical returns PIT ranked snapshots; 500 rows verified for 5 dates; web-only, no key; deep pagination untested","PARTIAL: free plan: 1-year rolling per-coin daily window, NO rank in historical rows; deep history PAID (402)",UNUSABLE: no rank history; market_chart capped at 365d (error 10012); no-key access unstable (401/429),UNUSABLE: no ranking; unreachable from env (timeout),UNUSABLE: no ranking endpoint,UNUSABLE: CEX data; no rank history,UNUSABLE: no rank history,UNUSABLE: no rank history,UNUSABLE: no global rank history,ARCHIVE_ONLY: defunct; not operational
historical market cap,PRIMARY_VERIFIED: snapshot quotes.marketCap verified vs known 2024-06-01 values (BTC 1.334T),PARTIAL: 1yr free window; deep PAID,PARTIAL: 365d cap; per-coin market_chart,UNUSABLE: FDV current only; unreachable from env,CURRENT_ONLY: fdv current; no history,UNUSABLE: no market cap,UNUSABLE: no market cap,UNUSABLE: no market cap,UNUSABLE: no market cap,ARCHIVE_ONLY: defunct
historical volume,PRIMARY_VERIFIED: snapshot quotes.volume24h at snapshot date,PARTIAL: volume_24h in 1yr window,PARTIAL: total_volumes in 365d window,CURRENT_ONLY: 24h volume current; no history,PARTIAL: 24h/7d/30d current windows,"UNUSABLE: CEX trade volume, not mcap universe",UNUSABLE,UNUSABLE,UNUSABLE: dayNtlVlm current only,ARCHIVE_ONLY
stable ID,PRIMARY_VERIFIED: id + slug stable across snapshots; renames keep id (LUNA/LUNC both present),SECONDARY_VERIFIED: slug id; renames handled (luna-terra symbol=LUNC),SECONDARY_VERIFIED: id + platforms; registry incl. dead coins,"PARTIAL: address-keyed, token-level",PARTIAL: address-keyed,"CURRENT_ONLY: symbols, not canonical","CURRENT_ONLY: symbols, not canonical","CURRENT_ONLY: instId, not canonical","CURRENT_ONLY: coin names, not canonical",ARCHIVE_ONLY
contract address,PARTIAL: contracts available via other CMC endpoints; not probed in DATA-0,UNVERIFIED: not probed; endpoint exists,SECONDARY_VERIFIED: platforms map in /coins/list (probed),PRIMARY_VERIFIED: address-keyed API; unreachable from env (timeout),PRIMARY_VERIFIED: address-keyed API (probed),UNUSABLE: CEX,UNUSABLE: CEX,UNUSABLE: CEX,UNUSABLE: CEX-like perp venue,ARCHIVE_ONLY
sector,HISTORICAL_APPROXIMATION: snapshot tags vary by date (drift test: BTC tags 2024=30 vs 2026=37) — date-associated but taxonomy drift unverified,UNMAPPED: type coin/token only,"CURRENT_ONLY: categories taxonomy, no history",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,ARCHIVE_ONLY
historical perp listing,UNUSABLE: no perp listing data,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,PARTIAL: exchangeInfo onboardDate documented; LIVE GEO-BLOCKED from env (451); archive first-bar 2020-01+,DOCUMENTED_NOT_LIVE: launchTime documented; 403 CloudFront from env,PRIMARY_VERIFIED: listTime verified; 454 swaps; earliest 2018-08-28,SECONDARY_VERIFIED: meta current + fundingHistory first-ts (INFERRED first-data); earliest 2023-05-12,ARCHIVE_ONLY
historical perp delisting,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,"PARTIAL: archive retains delisted monthly files (SRMUSDT 2022-10, FTTUSDT 2022-11 verified); announcement archive",DOCUMENTED_NOT_LIVE: status Closed documented; live blocked,NOT_SUPPORTED: delisted swaps silently omitted (200 + empty data),SECONDARY_VERIFIED: isDelisted flags + last funding ts; 55 delisted coins recovered incl. FTT/JELLY/OM,ARCHIVE_ONLY
perp OHLC,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,PRIMARY_VERIFIED_ARCHIVE: data.binance.vision USD-M monthly klines 2020-01+ incl. delisted symbols,BLOCKED_FROM_ENV: 403 from env,PARTIAL: history-candles deep for some (BTC-USDT-SWAP 2020 verified) but retention instrument-dependent (BTC-USD-SWAP 2018 empty),PARTIAL: candles exist but zero-volume backfill BEFORE first funding (BTC candles from 2020-08 while funding starts 2023-05-12) — must not infer listing from candles,ARCHIVE_ONLY
perp funding,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,UNUSABLE,PRIMARY_VERIFIED_ARCHIVE: fundingRate monthly files 2020-01+ incl. delisted (SRMUSDT 2022-10 verified),BLOCKED_FROM_ENV: 403 from env,PARTIAL: funding-rate-history recent window only,PRIMARY_VERIFIED: fundingHistory oldest window verified; 232/232 coins; first ts 2023-05-12,ARCHIVE_ONLY
