venue,chain,venue_type,market_type,access_type,us_access,kyc_required,api,websocket,historical_api,live_market_data,live_execution,funding,open_interest,liquidations,L2,options,LP_state,nautilus_support,history_start,cost_reconstructable,status,notes
Uniswap v3,Ethereum,DEX,AMM/spot,GLOBAL_ACCESS,GLOBAL_ACCESS,no,official subgraph RPC,events,no REST,AMM pool price,no,no,no,no,no,no,REUSE_DIRECTLY,REFERENCE_ONLY,2021-05-05,yes,ACCEPT_PRIMARY,Longest history BTC/ETH/stable AMM. Subgraph + RPC for historical swaps/LP state. pool addresses: WBTC/USDC WETH/USDC WBTC/WETH
Uniswap v3,Base,DEX,AMM/spot,GLOBAL_ACCESS,GLOBAL_ACCESS,no,official subgraph RPC,events,no REST,AMM pool price,no,no,no,no,no,no,REUSE_DIRECTLY,REFERENCE_ONLY,2023-08-01,yes,ACCEPT_PRIMARY,Low-cost EVM lab. Same Uniswap v3 contracts. cbBTC/USDC WETH/USDC
Aerodrome,Base,DEX,AMM/spot+CL,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Aerodrome API + subgraph,events,no REST,AMM pool price + ve-AL + incentives,no,no,no,no,no,REUSE_DIRECTLY,NOT_RELEVANT,2023-08-01,yes,ACCEPT_PRIMARY,CL liquidity with ve-tokenomics. High activity on Base. veAL epoch data available.
PancakeSwap,BNB Chain,DEX,AMM/spot,GLOBAL_ACCESS,GLOBAL_ACCESS,no,subgraph + RPC,events,no REST,AMM pool price,no,no,no,no,no,no,REFERENCE_ONLY,NOT_RELEVANT,2020-04-23,yes,ACCEPT_SECONDARY,High-volume EVM DEX. PancakeSwap v3 CL pools. BNB/BTCB/ETH pairs available.
Raydium,Solana,DEX,AMM/spot+CL,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Raydium API + on-chain RPC,events,no REST,AMM pool price,no,no,no,no,no,no,NOT_RELEVANT,NOT_RELEVANT,2022-02-24,yes,ACCEPT_SECONDARY,High-frequency Solana DEX. CL and constant-product pools. OpenBook integration for orderbook-hybrid.
Orca,Solana,DEX,AMM/spot+CL,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Orca API + on-chain RPC,events,no REST,AMM pool price,no,no,no,no,no,no,NOT_RELEVANT,NOT_RELEVANT,2021-08-30,yes,ACCEPT_SECONDARY,Whirlpools CL on Solana. Clean API. Good BTC/ETH/SOL/stable coverage.
Hyperliquid,Hyperliquid L1,CEX-on-chain,perp+spot,GLOBAL_ACCESS,US_ACCESS,no,REST + WebSocket,yes,candles_snapshot REST,yes perp mark/bid/ask,fyes perp,ffunding rate history,foi history,fn/a on-chain liquidations,no,no,REUSE_DIRECTLY,REUSE_DIRECTLY,2023-05-01,yes,ACCEPT_PRIMARY,Primary benchmark venue. Full on-chain order book. BTC/ETH/SOL perps. Spot recently added. Maker 0.02% taker 0.025%. Funding every 1h.
Aster,BNB Chain,DEX-perp,perp,GLOBAL_ACCESS,US_ACCESS,no,REST + WebSocket,yes,limited,yes perp,fyes perp,ffunding,foi,flimited,no,no,NOT_RELEVANT,REFERENCE_ONLY,2024-01-01,partial,ACCEPT_SECONDARY,BNB-chain native perp. Smaller than HL. Cross-margin. BTC/ETH perps.
Drift,Solana,DEX-perp,perp,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Drift SDK + RPC,yes,on-chain history,yes perp mark,fyes perp,ffunding,foi,flimited,no,no,NOT_RELEVANT,REFERENCE_ONLY,2021-07-01,yes,ACCEPT_SECONDARY,Solana-native perp. Good SDK. Dynamic AMM + order book hybrid. BTC/ETH/SOL.
Jupiter Perps,Solana,DEX-perp,perp,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Jupiter API,yes,limited,yes perp,fyes perp,ffunding,foi,flimited,no,no,NOT_RELEVANT,NOT_RELEVANT,2023-10-01,partial,WATCH,Gets liquidity from Drift. Thin standalone research value.
