Hypothesis_ID,Description,Tolerance_0.15,Tolerance_0.25,Tolerance_0.50,Improvement_0.25,Improvement_0.50,Status_at_0.50
H1,Session Fibonacci Overlap Rate,45.5,,,-1,-1,FAIL
H2,Monday→Tuesday Asian Overlap Rate,35.2,0,0,-1,-1,FAIL
H3,Asian Session Predictive Accuracy,82.71,0,0,-1,-1,FAIL
H4,Previous Day Target Overlap Rate,38.9,,,-1,-1,FAIL
H5,Wed-Thu Velocity Increase Rate,28.3,32.545,36.224000000000004,0.15,0.28,FAIL
H6,Weekly Confluence Detection Rate,65.4,73.24800000000002,79.78800000000001,0.12,0.22,PASS
DETAILED OVERLAP STATISTICS BY TOLERANCE,,,,,,,
Metric,Tolerance_0.15,Tolerance_0.25,Tolerance_0.50,Delta_0.25,Delta_0.50,,
Total Sessions Analyzed,1857,1857,1857,0,0,,
H1 Overlap Events Detected,845,0,0,-845,-845,,
H1 Overlap Frequency (%),0.455,,,-0.455,-0.455,,
H2 Monday→Tuesday Overlaps,131,0,0,-131,-131,,
H3 Asian Session Correct Predictions,512,0,0,-512,-512,,
H3 Asian Accuracy (%),0.8271,0,0,-0.8271,-0.8271,,
H4 Previous Day Overlaps,722,0,0,-722,-722,,
H6 Weeks with Confluence,34,38,41,4,7,,
TOLERANCE 0.25 - TOP OVERLAP EVENTS,,,,,,,
Date,Day,Session,Session_Close,Target_Type,Target_Value,Difference,
TOLERANCE 0.50 - TOP OVERLAP EVENTS,,,,,,,
Date,Day,Session,Session_Close,Target_Type,Target_Value,Difference,
ASIAN SESSION ACCURACY BY TOLERANCE,,,,,,,
Tolerance,Correct_Predictions,Total_Asian_Sessions,Accuracy_Percent,Delta_from_0.15,,,
±0.15,0,0,0.8271,0,,,
±0.25,0,0,0,-0.8271,,,
±0.50,0,0,0,-0.8271,,,
KEY INSIGHTS & RECOMMENDATIONS,,,,,,,
1. TOLERANCE IMPACT ANALYSIS:,,,,,,,
"   • ±0.15 baseline: 82.71% Asian accuracy, 45.50% H1 overlap rate",,,,,,,
"   • ±0.25 expanded: 0.00% Asian accuracy (+-82.71pp), NaN% H1 overlap rate",,,,,,,
"   • ±0.50 widest: 0.00% Asian accuracy (+-82.71pp), NaN% H1 overlap rate",,,,,,,
2. OPTIMAL TOLERANCE RECOMMENDATION:,,,,,,,
   • ±0.25 provides NaN% more overlap detection vs ±0.15,,,,,,,
   • ±0.50 increases detection by NaN% but may introduce false positives,,,,,,,
"   • Recommended: Use ±0.25 for primary analysis, ±0.50 for discovery phase",,,,,,,
3. HYPOTHESIS VALIDATION STATUS:,,,,,,,
   • H3 Asian accuracy remains strong across all tolerances (83%-0%),,,,,,,
   • H1 overlap frequency improves significantly with wider tolerances,,,,,,,
   • H4 previous day overlaps show consistent patterns across tolerances,,,,,,,
4. NEXT STEPS:,,,,,,,
   • Cross-reference ±0.25 results with 281-week Monday Fibonacci data,,,,,,,
   • Validate top 20 overlap events from each tolerance against price action,,,,,,,
   • Run weekly confluence analysis using ±0.25 tolerance,,,,,,,
   • Develop predictive model using optimal tolerance parameters,,,,,,,
