Component,Value / Description,,,,
Total Validation Scope,"281 Monday weeks (Jan 2020-May 2025) + 1,857 15M sessions (2023-2025)",,,,
Core Hypothesis Status,VALIDATED - 4 of 5 top claims passing with 87-98% success rates,,,,
Primary Findings,M1 optimal (123.13 effectiveness) | -25%: 98.22% | -50%: 96.44% | 132%: 71.53% violation rate,,,,
Model Components,"5 Integrated Systems: (1) Decision Tree, (2) Risk Framework, (3) Execution Checklist, (4) Performance KPIs, (5) Weekly Workflow",,,,
Expected Outcomes,87.3% Full ILM success | 80% NY Open sweep | 85% post-132% rekey | 98.22% -25% delivery,,,,
Critical Insights,Wednesday 35% violations (bifurcation point) | London Early primary entry | Post-132% optimal re-entry at 50%,,,,
Success Factors,ILM alignment mandatory | 132% immediate exit | Monday Range foundation | Wednesday high alert,,,,
Model Status,"PRODUCTION READY - Validated across 281 weeks and 1,857 sessions",,,,
═══════════════════════════════════════════════════════════════════════════,,,,,
PART 1: UNIFIED TRADING DECISION TREE,,,,,
1.1 PRE-MONDAY PREPARATION (Sunday Evening / Monday Asian Session),,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Check last week's 132% status,Review if 132% violated previous Monday,Rekey mode active,Normal mode,71.53% / 28.47%,Track rekey progress
Review quarterly context,Identify current quarter,Q4/Q1 → High reliability zone,Q2/Q3 → Standard reliability,Q4: 98.46% / Q1-Q3: 86-93%,Seasonal bias confirmed
Identify ILM alignment,Check Daily+IELM+WILM status,Daily+IELM+WILM aligned → Aggressive stance,Partial/None → Cautious/Avoid,87.3% Full / 64.3% Daily / 31.5% None,Critical filter
1.2 MONDAY LONDON OPEN (07:00-10:00 UTC / 2AM-5AM EST) - PRIMARY ENTRY WINDOW,,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Measure Monday Range,Calculate: High - Low,Set range value,,100% deterministic,Always required
Determine Directional Bias,Close > Open → Bullish | Close < Open → Bearish,Bullish or Bearish confirmed,,100% deterministic,Defines Fib direction
Calculate Fibonacci Levels,"Bullish: 0%=Low, 100%=High, Extensions above","Extensions: -25%, -50%, -100%, -168%","Bearish: 0%=High, 100%=Low, Extensions below",98.22% -25% / 96.44% -50%,Use formulas
Calculate 132% Invalidation Level,Bullish: 132% below Low | Bearish: 132% above High,Set invalidation level,,71.53% violation rate,Critical stop reference
Set Optimal Stop Loss,132% Level + 48% buffer,Place stop order,,95% coverage,Covers 95% violations
Check Full ILM Alignment,Daily+IELM+WILM all aligned?,ENTER 100% position,Daily only → ENTER 50% position,87.3% Full / 64.3% Daily,Primary filter
Entry Confirmation,Wait for 72% retracement,Confirm ILM zone interaction,Wait for setup,83.5% continuation,Entry trigger
