Date,Year,Quarter,Month,Week_Number,Day_of_Week,Session,Session_Open,Session_High,Session_Low,Session_Close,Session_Range,Directional_Bias,Fib_0_Percent,Fib_100_Percent,Fib_Minus_25,Fib_Minus_50,Fib_Minus_100,Fib_Minus_168,Fib_132_Percent,Thursday_Daily_Range,Previous_Day_Minus_25,Previous_Day_Minus_50,Previous_Day_High,Previous_Day_Low
2023-01-03,2023,1,1,1,Tuesday,Asian,80.25,84.49,80.02,84.49,4.47,Bullish,80.02,84.49,85.61,86.72,88.96,92.0,78.59,18.34,,,,
2023-01-03,2023,1,1,1,Tuesday,London,83.3,93.21,83.18,93.21,10.03,Bullish,83.18,93.21,95.72,98.22,103.24,110.06,79.97,18.34,,,,
2023-01-03,2023,1,1,1,Tuesday,NY,90.14,97.04,90.02,96.45,7.02,Bullish,90.02,97.04,98.8,100.55,104.06,108.83,87.77,18.34,,,,
2023-01-04,2023,1,1,1,Wednesday,Asian,96.06,101.46,95.9,101.29,5.56,Bullish,95.9,101.46,102.85,104.24,107.02,110.8,94.12,18.34,95.72,98.22,97.04,80.02
2023-01-04,2023,1,1,1,Wednesday,London,100.46,111.44,100.17,111.38,11.27,Bullish,100.17,111.44,114.26,117.07,122.71,130.37,96.56,18.34,95.72,98.22,97.04,80.02
2023-01-04,2023,1,1,1,Wednesday,NY,107.86,116.87,107.69,116.61,9.18,Bullish,107.69,116.87,119.17,121.46,126.05,132.29,104.75,18.34,95.72,98.22,97.04,80.02
2023-01-05,2023,1,1,1,Thursday,Asian,117.08,120.75,116.64,120.75,4.11,Bullish,116.64,120.75,121.78,122.81,124.86,127.65,115.32,18.34,114.26,117.07,116.87,95.9
2023-01-05,2023,1,1,1,Thursday,London,119.65,130.46,119.35,130.35,11.11,Bullish,119.35,130.46,133.24,136.02,141.57,149.12,115.79,18.34,114.26,117.07,116.87,95.9
2023-01-05,2023,1,1,1,Thursday,NY,127.39,134.98,127.32,134.56,7.66,Bullish,127.32,134.98,136.89,138.81,142.64,147.85,124.87,18.34,114.26,117.07,116.87,95.9
2023-01-06,2023,1,1,1,Friday,Asian,135.75,140.78,135.06,140.78,5.72,Bullish,135.06,140.78,142.21,143.64,146.5,150.39,133.23,18.34,133.24,136.02,134.98,116.64
2023-01-06,2023,1,1,1,Friday,London,139.12,149.88,138.53,149.58,11.35,Bullish,138.53,149.88,152.72,155.56,161.23,168.95,134.9,18.34,133.24,136.02,134.98,116.64
2023-01-06,2023,1,1,1,Friday,NY,145.87,153.81,145.77,153.08,8.04,Bullish,145.77,153.81,155.82,157.83,161.85,167.32,143.2,18.34,133.24,136.02,134.98,116.64
2023-01-09,2023,1,1,2,Monday,Asian,152.88,156.77,152.65,156.77,4.12,Bullish,152.65,156.77,157.8,158.83,160.89,163.69,151.33,19.47,152.72,155.56,153.81,135.06
2023-01-09,2023,1,1,2,Monday,London,155.86,165.24,155.75,165.24,9.49,Bullish,155.75,165.24,167.61,169.99,174.73,181.18,152.71,19.47,152.72,155.56,153.81,135.06
2023-01-09,2023,1,1,2,Monday,NY,161.46,169.19,161.23,168.97,7.96,Bullish,161.23,169.19,171.18,173.17,177.15,182.56,158.68,19.47,152.72,155.56,153.81,135.06
2023-01-10,2023,1,1,2,Tuesday,Asian,168.71,175.09,168.55,174.64,6.54,Bullish,168.55,175.09,176.72,178.36,181.63,186.08,166.46,19.47,167.61,169.99,169.19,152.65
2023-01-10,2023,1,1,2,Tuesday,London,174.0,184.83,173.91,184.83,10.92,Bullish,173.91,184.83,187.56,190.29,195.75,203.18,170.42,19.47,167.61,169.99,169.19,152.65
2023-01-10,2023,1,1,2,Tuesday,NY,181.13,189.17,180.97,189.17,8.2,Bullish,180.97,189.17,191.22,193.27,197.37,202.95,178.35,19.47,167.61,169.99,169.19,152.65
2023-01-11,2023,1,1,2,Wednesday,Asian,189.56,195.03,189.33,195.03,5.7,Bullish,189.33,195.03,196.45,197.88,200.73,204.61,187.51,19.47,187.56,190.29,189.17,168.55
2023-01-11,2023,1,1,2,Wednesday,London,193.79,203.16,193.6,203.16,9.56,Bullish,193.6,203.16,205.55,207.94,212.72,219.22,190.54,19.47,187.56,190.29,189.17,168.55
2023-01-11,2023,1,1,2,Wednesday,NY,199.97,207.49,199.74,207.48,7.75,Bullish,199.74,207.49,209.43,211.37,215.24,220.51,197.26,19.47,187.56,190.29,189.17,168.55
2023-01-12,2023,1,1,2,Thursday,Asian,207.83,211.26,207.48,211.26,3.78,Bullish,207.48,211.26,212.2,213.15,215.04,217.61,206.27,19.47,205.55,207.94,207.49,189.33
2023-01-12,2023,1,1,2,Thursday,London,210.37,220.74,210.09,220.63,10.65,Bullish,210.09,220.74,223.4,226.06,231.39,238.63,206.68,19.47,205.55,207.94,207.49,189.33
2023-01-12,2023,1,1,2,Thursday,NY,217.4,226.95,216.85,226.5,10.1,Bullish,216.85,226.95,229.47,232.0,237.05,243.92,213.62,19.47,205.55,207.94,207.49,189.33
2023-01-13,2023,1,1,2,Friday,Asian,226.81,232.61,226.56,232.61,6.05,Bullish,226.56,232.61,234.12,235.64,238.66,242.77,224.62,19.47,223.4,226.06,226.95,207.48
