Month,Year,Quarter,Weeks_In_Month,Week_1_Date,Week_1_High,Week_1_Low,Week_1_Range,Week_1_Bias,Month_High,Month_Low,Month_Range,Week_1_Formed_High,Week_1_Formed_Low,Week_1_Formed_Pivot,Multiplier
2020-1,2020,1,4,2020-01-06,52.09459,50.25829,1.8363,Bullish,58.41939,50.25829,8.161099999999998,,True,True,4.4443173773348565
2020-10,2020,4,4,2020-10-05,77.7157,75.86246,1.85324,Bullish,78.35295,72.66315,5.689800000000005,,,,3.070190585137384
2020-11,2020,4,5,2020-11-02,79.60639,75.91518,3.69121,Bullish,79.60639,69.30721,10.299180000000007,True,,True,2.7901907504585237
2020-12,2020,4,4,2020-12-07,73.4328,71.55928,1.87352,Bullish,73.4328,65.61093,7.821870000000004,True,,True,4.174959434647083
2020-2,2020,1,4,2020-02-03,59.43479,57.87558,1.55921,Bearish,63.71777,53.87133,9.846440000000001,,,,6.315018502959833
2020-3,2020,1,5,2020-03-02,61.28504,60.13609,1.14895,Bearish,69.36971,57.85723,11.512479999999996,,,,10.020000870359892
2020-4,2020,2,4,2020-04-06,66.24156,62.72137,3.52019,Bearish,73.19026,62.72137,10.468889999999995,,True,True,2.9739559512412668
2020-5,2020,2,4,2020-05-04,72.94795,71.89328,1.05467,Bearish,77.72273,70.38882,7.333910000000003,,,,6.953748565902133
2020-6,2020,2,5,2020-06-01,76.55769,72.02344,4.53425,Bullish,80.7797,72.02344,8.756260000000012,,True,True,1.9311374538236779
2020-7,2020,3,4,2020-07-06,82.03416,79.84811,2.18606,Bullish,82.03416,75.88939,6.144769999999994,True,,True,2.8108880817543866
2020-8,2020,3,5,2020-08-03,83.00162,78.20415,4.79747,Bearish,83.15659,76.56901,6.5875799999999884,,,,1.3731362572355823
2020-9,2020,3,4,2020-09-07,83.77605,80.09335,3.6827,Bullish,85.26502,77.43707,7.827950000000001,,,,2.1256007820349203
2021-1,2021,1,4,2021-01-04,66.12165,64.27038,1.85127,Bullish,66.12165,59.48625,6.635400000000004,True,,True,3.5842421688894675
2021-10,2021,4,4,2021-10-04,22.93233,21.87654,1.05579,Bearish,23.78029,19.21999,4.560300000000002,,,,4.319324865740348
2021-11,2021,4,5,2021-11-01,18.21628,17.72806,0.48822,Bearish,25.83256,17.72806,8.104500000000002,,True,True,16.600098316332804
2021-12,2021,4,4,2021-12-06,22.95997,21.82916,1.13081,Bearish,26.76264,18.72767,8.034970000000001,,,,7.105499597633555
2021-2,2021,1,4,2021-02-01,62.20956,58.45838,3.75119,Bearish,62.20956,54.94169,7.267870000000002,True,,True,1.9374838384619286
2021-3,2021,1,5,2021-03-01,58.53742,57.51493,1.02249,Bullish,58.53742,44.82599,13.71143,True,,True,13.409842639047817
2021-4,2021,2,4,2021-04-05,46.70412,44.69959,2.00453,Bearish,46.70412,42.19707,4.507050000000007,True,,True,2.248432300838604
2021-5,2021,2,5,2021-05-03,40.22534,39.39975,0.82559,Bearish,40.22534,33.1376,7.087740000000004,True,,True,8.58506038106082
2021-6,2021,2,4,2021-06-07,31.65465,30.53579,1.11886,Bearish,33.21086,28.18389,5.026969999999995,,,,4.492939241728183
2021-7,2021,3,4,2021-07-05,31.3492,30.30232,1.04688,Bullish,31.3492,26.64275,4.70645,True,,True,4.4956919608742165
2021-8,2021,3,5,2021-08-02,26.45162,25.75764,0.69398,Bullish,26.5108,18.02107,8.489729999999998,,,,12.233392893166947
2021-9,2021,3,4,2021-09-06,23.13969,22.36151,0.77818,Bullish,23.13969,20.3764,2.7632900000000014,True,,True,3.5509650723483017
2022-1,2022,1,5,2022-01-03,22.79464,21.86455,0.9301,Bearish,28.34782,21.86455,6.483269999999997,,True,True,6.970508547468011
2022-10,2022,4,5,2022-10-03,74.29327,71.41084,2.88242,Bearish,78.67179,70.33928,8.33251,,,,2.890803560896746
2022-11,2022,4,4,2022-11-07,77.57375,73.29021,4.28353,Bullish,83.4713,73.29021,10.181089999999998,,True,True,2.3767990419116938
2022-12,2022,4,4,2022-12-05,79.28233,77.18888,2.09345,Bearish,84.0913,77.18888,6.902420000000006,,True,True,3.297150636509115
2022-2,2022,1,4,2022-02-07,26.49195,26.07222,0.41973,Bearish,29.7061,26.07222,3.633879999999998,,True,True,8.657660877230596
2022-3,2022,1,4,2022-03-07,30.64182,29.2127,1.42912,Bullish,37.16096,29.2127,7.948260000000001,,True,True,5.561646327810122
2022-4,2022,2,4,2022-04-04,34.89574,33.63913,1.25661,Bearish,43.37252,33.63913,9.73339,,True,True,7.745752460986305
2022-5,2022,2,5,2022-05-02,41.28274,39.78917,1.49357,Bearish,50.05528,39.78917,10.266110000000005,,True,True,6.873537899127596
2022-6,2022,2,4,2022-06-06,49.09194,47.60345,1.4885,Bearish,55.99787,47.60345,8.394419999999997,,True,True,5.639516291568691
2022-7,2022,3,4,2022-07-04,54.37316,53.4879,0.88527,Bullish,62.20016,53.4879,8.712259999999993,,True,True,9.841359133371732
