Week_Number,Year,Thursday_Date,Thursday_High,Thursday_Low,Thursday_Range
1,2023,2023-01-05,134.98,116.64,18.34
2,2023,2023-01-12,226.95,207.48,19.47
3,2023,2023-01-19,315.38,298.72,16.66
4,2023,2023-01-26,409.92,389.11,20.81
5,2023,2023-02-02,501.09,484.31,16.78
6,2023,2023-02-09,590.45,571.69,18.76
7,2023,2023-02-16,684.55,665.89,18.66
8,2023,2023-02-23,782.5,764.41,18.09
9,2023,2023-03-02,878.79,860.93,17.86
10,2023,2023-03-09,965.93,948.17,17.76
11,2023,2023-03-16,1059.64,1040.86,18.78
12,2023,2023-03-23,1147.9,1129.42,18.48
13,2023,2023-03-30,1239.9,1224.23,15.67
14,2023,2023-04-06,1332.82,1315.64,17.18
15,2023,2023-04-13,1422.71,1405.38,17.33
16,2023,2023-04-20,1516.99,1497.47,19.52
17,2023,2023-04-27,1607.02,1584.08,22.94
18,2023,2023-05-04,1698.14,1679.63,18.51
19,2023,2023-05-11,1788.66,1769.12,19.54
20,2023,2023-05-18,1883.21,1864.69,18.52
21,2023,2023-05-25,1979.53,1960.61,18.92
22,2023,2023-06-01,2079.18,2059.92,19.26
23,2023,2023-06-08,2177.78,2158.2,19.58
24,2023,2023-06-15,2269.12,2250.37,18.75
25,2023,2023-06-22,2359.16,2336.91,22.25
26,2023,2023-06-29,2455.12,2434.91,20.21
27,2023,2023-07-06,2542.79,2525.91,16.88
28,2023,2023-07-13,2635.1,2618.51,16.59
29,2023,2023-07-20,2730.02,2712.91,17.11
30,2023,2023-07-27,2819.48,2802.31,17.17
31,2023,2023-08-03,2909.13,2890.68,18.45
32,2023,2023-08-10,3000.19,2982.14,18.05
33,2023,2023-08-17,3100.06,3079.91,20.15
34,2023,2023-08-24,3193.7,3175.7,18.0
35,2023,2023-08-31,3286.81,3269.13,17.68
36,2023,2023-09-07,3379.68,3357.9,21.78
37,2023,2023-09-14,3472.54,3452.25,20.29
38,2023,2023-09-21,3563.73,3545.31,18.42
39,2023,2023-09-28,3655.89,3638.93,16.96
40,2023,2023-10-05,3748.18,3731.42,16.76
41,2023,2023-10-12,3838.16,3819.69,18.47
42,2023,2023-10-19,3924.36,3907.57,16.79
43,2023,2023-10-26,4014.48,3994.57,19.91
44,2023,2023-11-02,4108.54,4089.6,18.94
45,2023,2023-11-09,4196.27,4179.68,16.59
46,2023,2023-11-16,4294.83,4275.86,18.97
47,2023,2023-11-23,4382.25,4365.3,16.95
48,2023,2023-11-30,4480.0,4460.36,19.64
49,2023,2023-12-07,4567.24,4550.01,17.23
50,2023,2023-12-14,4659.58,4642.58,17.0
51,2023,2023-12-21,4746.33,4727.45,18.88
52,2023,2023-12-28,4840.15,4822.88,17.27
1,2024,2024-01-04,4932.04,4912.05,19.99
2,2024,2024-01-11,5024.41,5004.57,19.84
3,2024,2024-01-18,5120.33,5101.47,18.86
4,2024,2024-01-25,5215.19,5195.48,19.71
5,2024,2024-02-01,5307.78,5289.53,18.25
6,2024,2024-02-08,5394.74,5375.36,19.38
7,2024,2024-02-15,5483.81,5465.94,17.87
8,2024,2024-02-22,5575.43,5555.58,19.85
9,2024,2024-02-29,5665.1,5646.34,18.76
10,2024,2024-03-07,5753.73,5737.1,16.63
11,2024,2024-03-14,5845.17,5825.59,19.58
12,2024,2024-03-21,5929.27,5912.36,16.91
13,2024,2024-03-28,6023.18,6003.01,20.17
14,2024,2024-04-04,6118.99,6102.69,16.3
15,2024,2024-04-11,6211.1,6191.19,19.91
16,2024,2024-04-18,6303.08,6281.38,21.7
17,2024,2024-04-25,6397.62,6377.7,19.92
18,2024,2024-05-02,6484.44,6464.45,19.99
19,2024,2024-05-09,6575.43,6554.8,20.63
20,2024,2024-05-16,6667.62,6649.37,18.25
21,2024,2024-05-23,6752.0,6734.63,17.37
22,2024,2024-05-30,6845.98,6825.82,20.16
23,2024,2024-06-06,6940.76,6921.8,18.96
24,2024,2024-06-13,7032.55,7013.19,19.36
25,2024,2024-06-20,7122.58,7104.48,18.1
26,2024,2024-06-27,7214.06,7194.17,19.89
27,2024,2024-07-04,7304.21,7284.73,19.48
28,2024,2024-07-11,7395.85,7373.5,22.35
