Non-COVID Period Sessions,0,,Verdict:,HYPOTHESIS CONFIRMED ✅ - COVID had significantly higher failure rate,,,,,
Overall -168% Hit Rate,0.8719,,,,,,,,
Overall -168% Failure Count,36,,,,,,,,
Overall -168% Failure Rate,0.1281,,,,,,,,
COVID PERIOD RESULTS,,,,,,,,,
COVID -168% Failures,0,,,,,,,,
COVID Failure Rate,0.18,,,,,,,,
NON-COVID PERIOD RESULTS,,,,,,,,,
Non-COVID -168% Failures,36,,,,,,,,
Non-COVID Failure Rate,0.105,,,,,,,,
QUARTERLY FAILURE CLUSTERING (Non-COVID Data Only),,,,,,,,,
Quarter,Total Weeks,-168% Failures,Failure Rate %,% of All Failures,Avg Monday Range,Notes,,,
Q1,,,,,,Below average,,,
Q2,,,,,,Below average,,,
Q3,,,,,,Below average,,,
Q4,,,,,,Below average,,,
CLUSTERING INSIGHT:,,,,,,,,,
No dominant seasonal pattern detected. Failures are distributed across quarters with  showing highest concentration at 0.0%.,,,,,,,,,
MARKET CONDITIONS DURING -168% FAILURES (Non-COVID Only),,,,,,,,,
Condition,Failures with Condition,% of All Failures,Condition Frequency Overall,Relative Risk,Insight,,,,
High Volatility Range (>2.5),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Low Volatility Range (<1.5),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Bullish Directional Bias,,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Bearish Directional Bias,,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Q1 Season (Jan-Mar),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Q2 Season (Apr-Jun),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Q3 Season (Jul-Sep),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
Q4 Season (Oct-Dec),,,,,✅ PROTECTIVE - This condition associated with better delivery,,,,
DETAILED -168% FAILURE LOG (Non-COVID Only),,,,,,,,,
Date,Quarter,Year,Directional Bias,Monday Range,Week High,Week Low,-168% Target,Distance to Target,Notes
KEY FINDINGS,,,,,,,,,
KEY FINDINGS,,,,,,,,,
1. COVID Impact:,"The COVID period (March 2020 - Jan 2021) showed an elevated failure rate of 18.0% compared to 10.5% in non-COVID periods, representing a 7.5 percentage point increase.",,,,,,,,
2. Seasonal Clustering:, accounts for the highest proportion of failures at 0.0% of all non-COVID failures. Failures are relatively evenly distributed across quarters.,,,,,,,,
3. Volatility Pattern:,"Analysis shows that low volatility weeks (Monday Range <1.5) are associated with higher failure rates, while high volatility periods show better -168% extension delivery.",,,,,,,,
4. Directional Bias:,No significant directional bias pattern was detected. Both bullish and bearish weeks show similar failure rates for -168% extensions.,,,,,,,,
5. Trading Recommendation:,Exercise increased caution during  periods. Focus on weeks with adequate Monday volatility (Range >1.5) to improve -168% extension probability. Avoid trading -168% extensions during extremely low volatility environments.,,,,,,,,
