object,source,empirical_verdicts,n_rows,os_role,action,note
TRAFFIC_DEMAND,20_BIRTH_VIABILITY_MAP.csv,NO_SEPARATION;SEPARATES,48,STRUCTURAL_CORE,PROMOTE,MECH-17 earned; viability coordinate
CAPACITY,02_EDGE_REGISTRY.csv,0.9191;0.0498;0.0187;0.0041,93,ADAPTIVE_LAW,PROMOTE,state-local ceiling (0.51-1.10)
CONGESTION,23_POTENTIAL_REALIZATION_RECONSTRUCTION.csv,WEAK;SUPPORTED,11,LOCAL_PHYSICS,LOCAL,weak but real
EXIT_PRESSURE,04_EXIT_AVAILABILITY_PRESSURE.csv,EDGE_PRUNING;PRESSURE_CONCENTRATION,14,ADAPTIVE_LAW,PROMOTE,branch geometry
TRANSFER_EFFICIENCY,24_POTENTIAL_REALIZATION_HIERARCHY.csv,exit_entropy;transfer_eff;thr_position,5,LOCAL_PHYSICS,LOCAL,state-local
SATURATION_LAW,14_SATURATION_DATA_COLLAPSE.csv,UNIVERSALISH_RESPONSE_SHAPE,8,ADAPTIVE_LAW,PROMOTE,"shape stable, nodes drift"
THRESHOLD_BAND,12_THRESHOLD_HIERARCHY.csv,,21,ADAPTIVE_LAW,PROMOTE,bands > points
COMPACT_FORCING_SCALAR,08_FORCING_PRIMITIVES.csv,,9,DISSOLVE,DISSOLVE,MECH-17 rejection
FORCING_FAMILIES,09_FORCING_HIERARCHY.csv,,9,ADAPTIVE_LAW,PROMOTE,multi-family
EDGE_LAWS,02_EDGE_REGISTRY.csv,STAY;MINOR;NEAR_ZERO;PRIMARY,93,STRUCTURAL_CORE,PROMOTE,MECH-18 registry
EDGE_LOCAL_CLOCKS,03_EDGE_HAZARDS.csv,,35,LOCAL_PHYSICS,LOCAL,edge-specific timing
ENTROPY_DECAY_RATE,06_ENTROPY_DECAY.csv,,6,ADAPTIVE_LAW,LOCAL,velocity adds info
ROUTE_DEFORMATION,07_ROUTE_DEFORMATION.csv,,3,ADAPTIVE_LAW,LOCAL,JS divergence
GLOBAL_HYSTERESIS,17_GLOBAL_HYSTERESIS_RECHECK.csv,CONTROLLED_AWAY;HYSTERESIS_AFTER_CONTROLS,7,ADAPTIVE_LAW,LOCAL,parked candidate
MEMORY_KERNEL,19_MEMORY_KERNEL_PILOT.csv,LEVEL_SUFFICIENT,7,ADAPTIVE_LAW,LOCAL,horizon pilot
BIRTH_VIABILITY,21_VIABILITY_BOUNDARIES.csv,first_coordinate_leaves_band;first_leave_at_PRECONDITION;first_leave_at_INITIATION;first_leave_at_COMMITMENT,18,ADAPTIVE_LAW,PROMOTE,envelope geometry
POTENTIAL_REALIZATION,24_POTENTIAL_REALIZATION_HIERARCHY.csv,PARALLEL_CONSTRAINTS,5,ADAPTIVE_LAW,LOCAL,partial-order chain
2022_STRESS_EVENT,25_2022_EVENT_BOUNDARIES.csv,PRE_EVENT;DEVIATION_ONSET;BREAK_CONFIRMATION;PEAK_DISTORTION,8,RESEARCH_ONLY,LOCAL,reserved archetype
