component,causal_status,pruned_role,survives_pruning,p7_input
volatility,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
anchors,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
coordinates/morphic,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
coordinates/frozen_sigma,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
sigma_states,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
acceptance,CAUSAL_REALTIME,PRUNED_PREDICTIVE (DESCRIPTIVE_ONLY),False,NO
rekey/RKEY_A,CAUSAL_REALTIME,PRUNED_PREDICTIVE (not required for coordinate maintenance),False,NO
rekey/RKEY_B,CAUSAL_DELAYED_CONFIRMATION,PRUNED_PREDICTIVE (not required for coordinate maintenance),False,NO
rekey/RKEY_C,CAUSAL_REALTIME,INSUFFICIENT_N (archived; not promoted),False,NO
signals/model_A_escape,CAUSAL_DELAYED_CONFIRMATION,SURVIVES,True,PENDING_FALSIFICATION
signals/model_B_breakout,CAUSAL_REALTIME,SURVIVES,True,PENDING_FALSIFICATION
signals/model_C_recursive,CAUSAL_DELAYED_CONFIRMATION,SURVIVES,True,PENDING_FALSIFICATION
signals/model_D_mtf,BLOCKED_LOGIC_SPEC,BLOCKED_LOGIC_SPEC,False,NO
signals/model_E_trend_score,BLOCKED_LOGIC_SPEC,BLOCKED_LOGIC_SPEC,False,NO
