file,coupling_class,mt5_calls,coupling_kind,canonical_tb_runtime_path,recommended_disposition,notes
quant-lab/runtime/tb_worker.py,ACCOUNT-PROFILE + MT5-SPECIFIC,terminal_info; history_deals_get; positions_get; account_info,top-level import MetaTrader5,yes,MOVE_MT5_ADAPTER,"Worker imports MT5 directly for connection liveness, owned-deal PnL, owned-position scan, and NAV equity. All four call sites map to BrokerSession.connect/account_state/positions/deals/history."
quant-lab/engines/tb_r6_demo_canary.py,MT5-SPECIFIC + ACCOUNT-PROFILE + TEST HARNESS,account_info; terminal_info; symbol_info; symbol_info_tick; order_check; positions_get; orders_get; history_deals_get; order_send (monkeypatched),top-level import MetaTrader5,yes,MOVE_MT5_ADAPTER + SPLIT,"DemoEnvironment (identity gate), quote_health, size_check, probe_filling_modes, broker_truth, and order-send accounting all live here. This module is the densest coupling: environment+identity+truth+accounting+canary in one file."
quant-lab/mt5/triangular_execution_layer.py,MT5-SPECIFIC,symbol_info; symbol_info_tick; order_check; order_send; positions_get; orders_get,lazy import MetaTrader5 inside module,yes,MOVE_MT5_ADAPTER,"The execution adapter. order_send is the only write path. positions_get/orders_get used for verification + reconcile_open_baskets. Must be wrapped behind BrokerSession submit_order/cancel_order/reconcile_snapshot."
quant-lab/tb_live/snapshot.py,MT5-SPECIFIC (data-only),initialize; terminal_info; symbol_info; symbol_select; copy_rates_from_pos; symbol_info_tick; shutdown,lazy import MetaTrader5 inside MT5MarketDataAdapter,yes,MOVE_MT5_ADAPTER,"Already a clean data-only adapter (no order_send by construction). This is the seed for the BrokerSession market-data facet; generalize its explicit whitelist."
quant-lab/mt5/execution_layer.py,MT5-SPECIFIC (legacy),symbol_info; symbol_info_tick; order_send; positions_get; orders_get; copy_rates_from_pos,top-level import MetaTrader5,no,DEFER,"Legacy symmetry-trap executor (ST_ magic/comment, magic 20260531). Not the TB runtime path."
quant-lab/mt5/symmetry_trap_executor.py,MT5-SPECIFIC (legacy),initialize; login; account_info; symbol_info; symbol_info_tick; symbol_select; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel."
quant-lab/mt5/symmetry_trap_executor_fixed.py,MT5-SPECIFIC (legacy),initialize; login; account_info; symbol_info; symbol_info_tick; symbol_select; positions_get; orders_get; copy_rates_from_pos; order_send; history_deals_get; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel. Contains DEMO_LOGIN/DEMO_PASSWORD/DEMO_SERVER constants - credential/account coupling to audit in R1 (no plaintext in git)."
quant-lab/mt5/symmetry_trap_executor_multi.py,MT5-SPECIFIC (legacy),initialize; account_info; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel."
quant-lab/mt5/p90_executor.py,MT5-SPECIFIC (legacy),initialize; account_info; symbol_info; symbol_info_tick; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel."
quant-lab/mt5/p90_cascade_executor.py,MT5-SPECIFIC (legacy),initialize; account_info; symbol_info; symbol_info_tick; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel."
quant-lab/mt5/p90_scanner.py,MT5-SPECIFIC (legacy),initialize; symbol_info; copy_rates_range; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel."
quant-lab/mt5/occ_buffer_signal.py,MT5-SPECIFIC (legacy),initialize; login; account_info; symbol_info; copy_rates_from_pos; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy/parallel. login() with password - credential coupling to audit."
quant-lab/mt5/production_runtime.py,MT5-SPECIFIC (legacy),initialize; login; account_info; symbol_info; symbol_info_tick; symbol_select; positions_get; orders_get; copy_rates_from_pos; order_send; history_deals_get; shutdown,top-level import MetaTrader5,no,DO_NOT_TOUCH,"Legacy production path with demo_login/demo_password config. Must not be activated; leave untouched and do not migrate in R0/R1."
quant-lab/mt5/mt5_status.py,MT5-SPECIFIC (tool),initialize; account_info; positions_get; shutdown,top-level import MetaTrader5,no,DEFER,"Diagnostic tool."
quant-lab/mt5/mt5_account_tracker.py,MT5-SPECIFIC (tool),initialize; account_info; shutdown,top-level import MetaTrader5,no,DEFER,"Diagnostic tool."
quant-lab/mt5/dmr_*.py,MT5-SPECIFIC (legacy),initialize; account_info; symbol_info; symbol_info_tick; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy DMR executors/engines."
quant-lab/mt5/cerebus_live.py,MT5-SPECIFIC (legacy),initialize; account_info; symbol_info; symbol_info_tick; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,top-level import MetaTrader5,no,DEFER,"Legacy Cerebus live path."
quant-lab/engines/mt5_data_feed.py,MT5-SPECIFIC (legacy),copy_rates_from_pos,top-level import MetaTrader5,no,DEFER,"Legacy data feed."
quant-lab/engines/mt5_triangular_data_feed.py,MT5-SPECIFIC (legacy),initialize; copy_rates_from_pos; symbol_info_tick; shutdown,lazy import MetaTrader5,no,DEFER,"Legacy triangular data feed; superseded by tb_live/snapshot.py MT5MarketDataAdapter."
quant-lab/engines/tb_r4_real_mt5.py,MT5-SPECIFIC (audit harness),terminal_info; account_info; symbol_info_tick; copy_rates_from_pos; positions_get; orders_get; history_orders_get; history_deals_get,top-level/lazy import MetaTrader5,no,DEFER,"R4 audit/replay harness; not the live runtime path."
quant-lab/engines/tb_r5_shadow.py,MT5-SPECIFIC (shadow harness),symbol_info_tick; positions_get,lazy import MetaTrader5,no,DEFER,"R5 shadow harness; not the live runtime path."
quant-lab/mt5/triangular_basis_executor.py,MT5-SPECIFIC (legacy),initialize; account_info; symbol_info; symbol_info_tick; positions_get; orders_get; copy_rates_from_pos; order_send; shutdown,lazy import MetaTrader5,no,DEFER,"Legacy triangular executor; superseded by triangular_execution_layer.py."
